"sample_id","date","longitude","latitude","doc","salinity","temperature","wavelength","acdom","study_id","doc_unit","filter_size","season"
"C1-2005-S01","06/18/2005 12:00:00 AM",NA,NA,477.64,0.1,15.5827,340,11.8996,"massicotte2011","µmol/l",0.2,"summer"
"C1-2005-S03","06/18/2005 12:00:00 AM",NA,NA,281.333,0.11,17.2357,340,5.1449,"massicotte2011","µmol/l",0.2,"summer"
"C1-2005-S05","06/18/2005 12:00:00 AM",NA,NA,246.472,0.14,17.4125,340,2.32373,"massicotte2011","µmol/l",0.2,"summer"
"C1-2005-S06","06/18/2005 12:00:00 AM",NA,NA,321.611,0.14,17.456,340,5.45811,"massicotte2011","µmol/l",0.2,"summer"
"C1-2005-S07","06/18/2005 12:00:00 AM",NA,NA,573.42,0.1,16.8632,340,16.0289,"massicotte2011","µmol/l",0.2,"summer"
"C1-2005-S08","06/18/2005 12:00:00 AM",NA,NA,393.389,0.14,16.94,340,8.51189,"massicotte2011","µmol/l",0.2,"summer"
"C1-2005-S11","06/18/2005 12:00:00 AM",NA,NA,224.972,0.13,17.84,340,2.69451,"massicotte2011","µmol/l",0.2,"summer"
"C1-2005-S12","06/18/2005 12:00:00 AM",NA,NA,275.972,0.12,17.2475,340,4.95606,"massicotte2011","µmol/l",0.2,"summer"
"C1-2005-S13","06/18/2005 12:00:00 AM",NA,NA,431.278,0.1,16.734,340,12.0539,"massicotte2011","µmol/l",0.2,"summer"
"C1-2005-S15","06/19/2005 12:00:00 AM",NA,NA,720.222,0.13,16.376,340,8.78134,"massicotte2011","µmol/l",0.2,"summer"
"C1-2005-S16","06/19/2005 12:00:00 AM",NA,NA,294.222,0.11,16.975,340,5.55023,"massicotte2011","µmol/l",0.2,"summer"
"C1-2005-S17","06/19/2005 12:00:00 AM",NA,NA,534.26,0.01,16.26,340,19.131,"massicotte2011","µmol/l",0.2,"summer"
"C1-2005-S18","06/19/2005 12:00:00 AM",NA,NA,293.639,0.12,17.552,340,6.69712,"massicotte2011","µmol/l",0.2,"summer"
"C1-2005-S19","06/19/2005 12:00:00 AM",NA,NA,291.17,0,0,340,5.48344,"massicotte2011","µmol/l",0.2,"summer"
"C1-2005-S20","06/19/2005 12:00:00 AM",NA,NA,349.25,0.1,17.05,340,9.53442,"massicotte2011","µmol/l",0.2,"summer"
"C1-2005-S21","06/20/2005 12:00:00 AM",NA,NA,434.194,0.11,16.83,340,12.4707,"massicotte2011","µmol/l",0.2,"summer"
"C1-2005-S22","06/20/2005 12:00:00 AM",NA,NA,351.278,0.11,17.03,340,8.66619,"massicotte2011","µmol/l",0.2,"summer"
"C1-2005-S23","06/20/2005 12:00:00 AM",NA,NA,358.028,0.1,17.06,340,9.73708,"massicotte2011","µmol/l",0.2,"summer"
"C1-2005-S24","06/20/2005 12:00:00 AM",NA,NA,359.306,0.11,17.27,340,8.09274,"massicotte2011","µmol/l",0.2,"summer"
"C1-2005-S25","06/21/2005 12:00:00 AM",NA,NA,387.528,0.11,17.005,340,7.79105,"massicotte2011","µmol/l",0.2,"summer"
"C1-2005-S26","06/21/2005 12:00:00 AM",NA,NA,286.667,3,15.38,340,5.50878,"massicotte2011","µmol/l",0.2,"summer"
