"Longitude_GEO","Date","Description","StationID","CruiseID","Latitude_GEO","Deep_Max","Latitude_Decimal","Longitude_Decimal","Transect"
"-70°45.586","05/29/2006 12:00:00 AM",,"C1-2006-S48A","C1-2006","47°3.502",0.0000000000000000e+00,4.7058399999999999e+01,-7.0759799999999998e+01,14
,,,"C1-2005-S28",,,,,,
,,,"C1-2005-S29",,,,,,
"-70°43.359","05/29/2006 12:00:00 AM",,"C1-2006-S46A","C1-2006","46°58.039",0.0000000000000000e+00,4.6967300000000002e+01,-7.0722600000000000e+01,14
"-70°43.359","05/29/2006 12:00:00 AM",,"C1-2006-S46C","C1-2006","46°58.039",0.0000000000000000e+00,4.6967300000000002e+01,-7.0722600000000000e+01,14
"-70°43.359","05/29/2006 12:00:00 AM",,"C1-2006-S46D","C1-2006","46°58.039",0.0000000000000000e+00,4.6967300000000002e+01,-7.0722600000000000e+01,14
"-70°45.586","05/29/2006 12:00:00 AM",,"C1-2006-S48C","C1-2006","47°3.502",0.0000000000000000e+00,4.7058399999999999e+01,-7.0759799999999998e+01,14
"-70°45.586","05/29/2006 12:00:00 AM",,"C1-2006-S48D","C1-2006","47°3.502",0.0000000000000000e+00,4.7058399999999999e+01,-7.0759799999999998e+01,14
"-70°43.359","05/29/2006 12:00:00 AM",,"C1-2006-S46B","C1-2006","46°58.039",0.0000000000000000e+00,4.6967300000000002e+01,-7.0722600000000000e+01,14
"-70°45.586","05/29/2006 12:00:00 AM",,"C1-2006-S48B","C1-2006","47°3.502",0.0000000000000000e+00,4.7058399999999999e+01,-7.0759799999999998e+01,14
"72° 55.000'","06/18/2005 12:00:00 AM",,"C1-2005-S01","C1-2005","46° 12.941'",,,,
"72° 54.497'","06/18/2005 12:00:00 AM",,"C1-2005-S02","C1-2005","46° 12.541'",,,,
"72° 53.913'","06/18/2005 12:00:00 AM",,"C1-2005-S03","C1-2005","46° 11.926'",,,,
"72° 53.537'","06/18/2005 12:00:00 AM",,"C1-2005-S04","C1-2005","46° 11.526'",,,,
"72° 52.569'","06/18/2005 12:00:00 AM",,"C1-2005-S05","C1-2005","46° 10.677'",,,,
"72° 51.798'","06/18/2005 12:00:00 AM",,"C1-2005-S06","C1-2005","46° 09.812'",,,,
"72° 50.830'","06/18/2005 12:00:00 AM",,"C1-2005-S07","C1-2005","46° 08.744'",,,,
"72° 42.798'","06/18/2005 12:00:00 AM",,"C1-2005-S08","C1-2005","46° 13.109'",,,,
"72° 44.024'","06/18/2005 12:00:00 AM",,"C1-2005-S09","C1-2005","46° 14.233'",,,,
"72° 43.324'","06/18/2005 12:00:00 AM",,"C1-2005-S10","C1-2005","46° 13.806'",,,,
"72° 44.746'","06/18/2005 12:00:00 AM",,"C1-2005-S11","C1-2005","46° 14.642'",,,,
"72° 45.501'","06/18/2005 12:00:00 AM",,"C1-2005-S12","C1-2005","46° 15.322'",,,,
"72° 45.976'","06/18/2005 12:00:00 AM",,"C1-2005-S13","C1-2005","46° 15.708'",,,,
"72° 29.231'","06/19/2005 12:00:00 AM",,"C1-2005-S15","C1-2005","46° 21.436'",,,,
"72° 29.853'","06/19/2005 12:00:00 AM",,"C1-2005-S16","C1-2005","46° 21.682'",,,,
"72° 29.989'","06/19/2005 12:00:00 AM",,"C1-2005-S17","C1-2005","46° 21.738'",,,,
"71° 43.641'","06/19/2005 12:00:00 AM",,"C1-2005-S18","C1-2005","46° 38.091'",,,,
"71° 43.639'","06/19/2005 12:00:00 AM",,"C1-2005-S19","C1-2005","46° 38.408'",,,,
"71° 43.633'","06/19/2005 12:00:00 AM",,"C1-2005-S20","C1-2005","46° 39.343'",,,,
"71° 16.050'","06/20/2005 12:00:00 AM",,"C1-2005-S21","C1-2005","46° 44.867'",,,,
"71° 16.256'","06/20/2005 12:00:00 AM",,"C1-2005-S22","C1-2005","46° 45.048'",,,,
"71° 16.440'","06/20/2005 12:00:00 AM",,"C1-2005-S23","C1-2005","46° 45.179'",,,,
"70° 53.445'","06/20/2005 12:00:00 AM",,"C1-2005-S24","C1-2005","46° 54.279'",,,,
"70° 43.108'","06/21/2005 12:00:00 AM",,"C1-2005-S25","C1-2005","46° 58.076'",,,,
"70° 45.374'","06/21/2005 12:00:00 AM",,"C1-2005-S26","C1-2005","47° 03.546'",,,,
"70° 31.135'","06/21/2005 12:00:00 AM",,"C1-2005-S27","C1-2005","47° 19.347'",,,,
"70° 14.917'","06/21/2005 12:00:00 AM",,"C1-2005-S30","C1-2005","47° 27.830'",,,,
"72° 29.989'","08/23/2005 12:00:00 AM",,"C2-2005-S17","C2-2005","46° 21.738'",,,,
"71° 43.641'","08/23/2005 12:00:00 AM",,"C2-2005-S18","C2-2005","46° 38.091'",,,,
"71° 43.639'","08/23/2005 12:00:00 AM",,"C2-2005-S19","C2-2005","46° 38.408'",,,,
"72° 54.550'","08/22/2005 12:00:00 AM",,"C2-2005-S01","C2-2005","46° 12.419'",,,,
"72° 54.521'","08/22/2005 12:00:00 AM",,"C2-2005-S02","C2-2005","46° 12.116'",,,,
"72° 53.913'","08/22/2005 12:00:00 AM",,"C2-2005-S03","C2-2005","46° 11.725'",,,,
"72° 53.537'","08/22/2005 12:00:00 AM",,"C2-2005-S04","C2-2005","46° 11.026'",,,,
"72° 52.569'","08/22/2005 12:00:00 AM",,"C2-2005-S05","C2-2005","46° 10.677'",,,,
"72° 51.798'","08/22/2005 12:00:00 AM",,"C2-2005-S06","C2-2005","46° 09.812'",,,,
"72° 51.249'","08/22/2005 12:00:00 AM",,"C2-2005-S07","C2-2005","46° 09.215'",,,,
"72° 42.092’","08/22/2005 12:00:00 AM",,"C2-2005-S08","C2-2005","46° 13.931'",,,,
