study_id,sample_id,date,time,latitude,longitude,depth,doc,doc_unit,acdom,wavelength,suva
amon2012,PS70/328-3,02/09/07,04:07:00 PM,87.8206,-170.3263,24.7,230.3,µmol/l,1.73773,350,3.94768
amon2012,PS70/326-1,01/09/07,07:44:00 PM,88.0309,169.9938,24.7,226.4616667,µmol/l,1.62465,350,4.12396
amon2012,PS70/407-4,23/09/07,12:25:00 PM,76.1819,122.1658,9.9,218.785,µmol/l,1.28626,350,4.15159
amon2012,PS70/319-1,31/08/07,02:21:00 AM,88.6675,153.7096,29.7,214.9466667,µmol/l,1.3666,350,4.4051
amon2012,PS70/324-1,01/09/07,06:00:00 AM,88.0749,160.8143,24.7,211.1083333,µmol/l,1.54894,350,3.89945
amon2012,PS70/373-2,17/09/07,12:03:00 PM,84.1964,108.9488,31.7,211.1083333,µmol/l,1.28102,350,3.27865
amon2012,PS70/328-3,02/09/07,04:07:00 PM,87.8206,-170.3263,6.9,195.755,µmol/l,1.69825,350,3.78036
amon2012,PS70/373-2,17/09/07,12:03:00 PM,84.1964,108.9488,10.9,195.755,µmol/l,1.08079,350,4.10812
amon2012,PS70/307-1,26/08/07,09:51:00 PM,86.3011,94.349,29.7,191.9166667,µmol/l,1.15089,350,3.80574
amon2012,PS70/328-3,02/09/07,04:07:00 PM,87.8206,-170.3263,50.4,191.9166667,µmol/l,1.52162,350,3.9826
amon2012,PS70/326-1,01/09/07,07:44:00 PM,88.0309,169.9938,36.6,188.0783333,µmol/l,1.65653,350,3.67031
amon2012,PS70/352-3,10/09/07,04:30:00 PM,86.6437,177.5724,24.7,184.24,µmol/l,1.36489,350,3.97102
amon2012,PS70/320-1,31/08/07,11:42:00 AM,88.4111,150.3259,31.7,180.4016667,µmol/l,1.10686,350,4.58956
amon2012,PS70/308-1,27/08/07,01:06:00 PM,86.6971,99.3088,35.6,172.725,µmol/l,1.18484,350,3.89924
amon2012,PS70/320-1,31/08/07,11:42:00 AM,88.4111,150.3259,24.7,172.725,µmol/l,1.41095,350,3.78469
amon2012,PS70/381-1,19/09/07,05:52:00 AM,82.1941,119.5781,24.7,168.8866667,µmol/l,1.21156,350,3.74724
amon2012,PS70/312-1,29/08/07,02:19:00 PM,88.1245,120.1469,44.5,161.21,µmol/l,0.98877,350,4.51064
amon2012,PS70/407-4,23/09/07,12:25:00 PM,76.1819,122.1658,2,161.21,µmol/l,1.36521,350,3.66245
amon2012,PS70/358-1,11/09/07,11:41:00 PM,86.5064,151.9629,24.7,157.3716667,µmol/l,1.33166,350,3.63457
amon2012,PS70/373-2,17/09/07,12:03:00 PM,84.1964,108.9488,99.9,157.3716667,µmol/l,0.72198,350,3.1857
amon2012,PS70/391-1,21/09/07,04:50:00 PM,78.1296,124.2423,24.7,153.5333333,µmol/l,1.07005,350,3.68206
amon2012,PS70/362-1,12/09/07,03:32:00 PM,86.4063,140.9547,19.8,149.695,µmol/l,1.29514,350,3.55174
amon2012,PS70/381-1,19/09/07,05:52:00 AM,82.1941,119.5781,38.6,149.695,µmol/l,1.29559,350,3.36527
amon2012,PS70/382-1,19/09/07,01:27:00 PM,81.3575,120.7191,24.7,149.695,µmol/l,1.31118,350,3.37101
amon2012,PS70/391-1,21/09/07,04:50:00 PM,78.1296,124.2423,9.9,149.695,µmol/l,1.15767,350,3.38612
amon2012,PS70/314-1,30/08/07,01:35:00 AM,88.1661,130.0572,24.7,145.8566667,µmol/l,1.16563,350,3.8949
amon2012,PS70/383-1,19/09/07,08:47:00 PM,80.6558,122.2054,29.7,145.8566667,µmol/l,0.99024,350,3.77685
amon2012,PS70/405-1,23/09/07,03:09:00 AM,76.6565,122.6351,9.9,145.8566667,µmol/l,1.17258,350,3.51363
amon2012,PS70/407-4,23/09/07,12:25:00 PM,76.1819,122.1658,15.8,145.8566667,µmol/l,1.23515,350,3.70805
amon2012,PS70/307-1,26/08/07,09:51:00 PM,86.3011,94.349,50.4,142.0183333,µmol/l,1.08468,350,3.68771
amon2012,PS70/312-1,29/08/07,02:19:00 PM,88.1245,120.1469,6.9,142.0183333,µmol/l,1.12322,350,4.16661
amon2012,PS70/314-1,30/08/07,01:35:00 AM,88.1661,130.0572,48.5,142.0183333,µmol/l,0.91836,350,4.05068
amon2012,PS70/365-1,15/09/07,01:20:00 AM,86.4097,127.4094,21.8,142.0183333,µmol/l,1.36194,350,3.23068
amon2012,PS70/312-1,29/08/07,02:19:00 PM,88.1245,120.1469,24.7,138.18,µmol/l,1.46972,350,3.06182
amon2012,PS70/335-1,05/09/07,04:39:00 AM,86.3628,-139.3294,9.9,138.18,µmol/l,1.32352,350,3.49068
amon2012,PS70/375-1,17/09/07,10:42:00 PM,83.833,112.7238,10.9,138.18,µmol/l,1.27916,350,3.31466
amon2012,PS70/358-1,11/09/07,11:41:00 PM,86.5064,151.9629,39.6,134.3416667,µmol/l,1.21796,350,3.41554
amon2012,PS70/382-1,19/09/07,01:27:00 PM,81.3575,120.7191,9.9,134.3416667,µmol/l,1.13453,350,3.59621
amon2012,PS70/316-1,30/08/07,09:46:00 AM,88.1792,139.6037,54.4,130.5033333,µmol/l,1.07914,350,3.57692
amon2012,PS70/331-1,03/09/07,07:43:00 PM,87.6533,-157.5887,50.4,130.5033333,µmol/l,1.11904,350,3.48514
amon2012,PS70/365-1,15/09/07,01:20:00 AM,86.4097,127.4094,49.5,130.5033333,µmol/l,1.11569,350,3.51353
amon2012,PS70/371-2,16/09/07,12:48:00 PM,84.6553,102.7332,50.4,130.5033333,µmol/l,0.86794,350,3.68688
amon2012,PS70/326-1,01/09/07,07:44:00 PM,88.0309,169.9938,75.2,122.8266667,µmol/l,1.78954,350,1.72112
amon2012,PS70/400-1,22/09/07,06:57:00 AM,77.3822,123.4134,18.8,122.8266667,µmol/l,1.12933,350,3.27626
amon2012,PS70/324-1,01/09/07,06:00:00 AM,88.0749,160.8143,75.2,118.9883333,µmol/l,1.16199,350,3.08093
amon2012,PS70/371-2,16/09/07,12:48:00 PM,84.6553,102.7332,24.7,118.9883333,µmol/l,0.86894,350,4.32714
amon2012,PS70/301-3,24/08/07,01:13:00 PM,84.557,89.7583,24.7,115.15,µmol/l,0.93984,350,2.8941
amon2012,PS70/335-1,05/09/07,04:39:00 AM,86.3628,-139.3294,75.2,111.3116667,µmol/l,1.05823,350,3.02391
amon2012,PS70/346-1,08/09/07,02:23:00 PM,84.796,-149.0864,9.9,111.3116667,µmol/l,1.25957,350,3.36622
amon2012,PS70/405-1,23/09/07,03:09:00 AM,76.6565,122.6351,50.5,111.3116667,µmol/l,1.16275,350,2.9585
amon2012,PS70/301-3,24/08/07,01:13:00 PM,84.557,89.7583,45.5,107.4733333,µmol/l,0.88497,350,3.11874
amon2012,PS70/328-3,02/09/07,04:07:00 PM,87.8206,-170.3263,75.2,107.4733333,µmol/l,1.10939,350,2.90251
amon2012,PS70/383-1,19/09/07,08:47:00 PM,80.6558,122.2054,9.9,107.4733333,µmol/l,1.024,350,3.30078
amon2012,PS70/373-2,17/09/07,12:03:00 PM,84.1964,108.9488,50.4,103.635,µmol/l,1.02935,350,3.08932
amon2012,PS70/243-1,02/08/07,12:49:00 AM,81.7343,34.0165,124.6,99.79666667,µmol/l,0.62409,350,2.43555
amon2012,PS70/264-1,12/08/07,10:47:00 AM,83.6542,60.4253,500,99.79666667,µmol/l,0.69781,350,2.17823
amon2012,PS70/255-3,04/08/07,02:57:00 AM,82.5151,33.907,700.3,95.95833333,µmol/l,0.65755,350,2.22036
amon2012,PS70/232-1,30/07/07,07:44:00 PM,76.0006,34.0003,24.7,92.12,µmol/l,0.81876,350,
amon2012,PS70/263-1,11/08/07,11:26:00 PM,84.167,60.9592,50.4,92.12,µmol/l,0.75027,350,2.13255
amon2012,PS70/271-2,15/08/07,12:59:00 PM,82.5031,60.7951,300.5,92.12,µmol/l,0.66552,350,2.25388
amon2012,PS70/326-1,01/09/07,07:44:00 PM,88.0309,169.9938,150.3,92.12,µmol/l,0.75038,350,2.29217
amon2012,PS70/331-1,03/09/07,07:43:00 PM,87.6533,-157.5887,70.2,92.12,µmol/l,0.90904,350,3.10218
amon2012,PS70/371-2,16/09/07,12:48:00 PM,84.6553,102.7332,199.7,92.12,µmol/l,0.66515,350,1.98451
amon2012,PS70/384-1,20/09/07,03:21:00 AM,79.9952,123.4553,24.7,92.12,µmol/l,0.99262,350,2.86111
amon2012,PS70/301-3,24/08/07,01:13:00 PM,84.557,89.7583,90,88.28166667,µmol/l,0.74662,350,2.518
amon2012,PS70/312-1,29/08/07,02:19:00 PM,88.1245,120.1469,75.2,88.28166667,µmol/l,0.82572,350,2.54322
amon2012,PS70/400-1,22/09/07,06:57:00 AM,77.3822,123.4134,50.5,88.28166667,µmol/l,0.85972,350,2.65203
amon2012,PS70/263-1,11/08/07,11:26:00 PM,84.167,60.9592,150.3,84.44333333,µmol/l,0.74366,350,1.96327
amon2012,PS70/342-1,07/09/07,04:55:00 AM,84.4995,-138.4126,119.7,84.44333333,µmol/l,0.82004,350,2.80475
amon2012,PS70/403-1,22/09/07,09:00:00 PM,77.1485,123.1247,24.7,84.44333333,µmol/l,0.94817,350,2.67884
amon2012,PS70/266-1,14/08/07,12:05:00 AM,83.1349,61.7695,300.5,80.605,µmol/l,0.6058,350,2.17894
amon2012,PS70/276-3,17/08/07,06:24:00 AM,82.0893,68.947,599.7,80.605,µmol/l,0.6902,350,2.11533
amon2012,PS70/342-1,07/09/07,04:55:00 AM,84.4995,-138.4126,117.7,80.605,µmol/l,0.95078,350,2.44009
amon2012,PS70/365-1,15/09/07,01:20:00 AM,86.4097,127.4094,75.2,80.605,µmol/l,0.82127,350,2.70312
amon2012,PS70/338-3,05/09/07,08:46:00 PM,85.7002,-135.02,75.2,76.76666667,µmol/l,0.81777,350,2.81251
amon2012,PS70/358-1,11/09/07,11:41:00 PM,86.5064,151.9629,76.2,76.76666667,µmol/l,0.73637,350,3.12341
amon2012,PS70/381-1,19/09/07,05:52:00 AM,82.1941,119.5781,99.9,76.76666667,µmol/l,0.72664,350,2.33952
amon2012,PS70/387-1,21/09/07,04:06:00 AM,78.637,124.6114,100.9,76.76666667,µmol/l,0.74824,350,2.35219
amon2012,PS70/271-2,15/08/07,12:59:00 PM,82.5031,60.7951,199.8,72.92833333,µmol/l,0.68331,350,2.01959
amon2012,PS70/298-1,23/08/07,11:03:00 AM,83.801,88.047,50.4,72.92833333,µmol/l,0.71252,350,2.58238
amon2012,PS70/316-1,30/08/07,09:46:00 AM,88.1792,139.6037,99.9,72.92833333,µmol/l,0.92162,350,2.17009
amon2012,PS70/340-1,06/09/07,07:28:00 PM,85.1117,-137.4019,109.8,72.92833333,µmol/l,0.87804,350,2.52835
amon2012,PS70/375-1,17/09/07,10:42:00 PM,83.833,112.7238,99.9,72.92833333,µmol/l,0.76256,350,2.46537
amon2012,PS70/385-2,20/09/07,12:16:00 PM,79.346,124.3636,19.8,72.92833333,µmol/l,1.02241,350,2.32783
amon2012,PS70/400-1,22/09/07,06:57:00 AM,77.3822,123.4134,76.2,72.92833333,µmol/l,0.79736,350,2.58351
amon2012,PS70/400-1,22/09/07,06:57:00 AM,77.3822,123.4134,99.9,72.92833333,µmol/l,0.86542,350,2.14925
amon2012,PS70/266-1,14/08/07,12:05:00 AM,83.1349,61.7695,24.7,69.09,µmol/l,0.70593,350,2.2665
amon2012,PS70/273-1,16/08/07,03:18:00 AM,82.2126,64.7596,99.9,69.09,µmol/l,0.62591,350,2.10892
amon2012,PS70/308-1,27/08/07,01:06:00 PM,86.6971,99.3088,198.7,69.09,µmol/l,0.65259,350,2.11466
amon2012,PS70/324-1,01/09/07,06:00:00 AM,88.0749,160.8143,150.3,69.09,µmol/l,0.7845,350,2.065
amon2012,PS70/384-1,20/09/07,03:21:00 AM,79.9952,123.4553,50.5,69.09,µmol/l,0.96885,350,2.37395
amon2012,PS70/232-1,30/07/07,07:44:00 PM,76.0006,34.0003,50.5,65.25166667,µmol/l,0.77942,350,1.77055
amon2012,PS70/257-1,05/08/07,10:00:00 AM,83.4968,34.0466,3384.6,65.25166667,µmol/l,0.60744,350,1.64625
amon2012,PS70/264-1,12/08/07,10:47:00 AM,83.6542,60.4253,2500.7,65.25166667,µmol/l,0.61027,350,1.80249
amon2012,PS70/298-1,23/08/07,11:03:00 AM,83.801,88.047,200.7,65.25166667,µmol/l,0.70865,350,1.94735
amon2012,PS70/312-1,29/08/07,02:19:00 PM,88.1245,120.1469,150.3,65.25166667,µmol/l,0.93084,350,1.58996
amon2012,PS70/312-1,29/08/07,02:19:00 PM,88.1245,120.1469,199.7,65.25166667,µmol/l,0.78015,350,1.66634
amon2012,PS70/314-1,30/08/07,01:35:00 AM,88.1661,130.0572,75.2,65.25166667,µmol/l,0.7585,350,2.47857
amon2012,PS70/320-1,31/08/07,11:42:00 AM,88.4111,150.3259,9.9,65.25166667,µmol/l,0.72881,350,1.94837
amon2012,PS70/322-2,31/08/07,07:06:00 PM,88.132,150.1771,300.5,65.25166667,µmol/l,0.68074,350,1.76278
amon2012,PS70/324-1,01/09/07,06:00:00 AM,88.0749,160.8143,199.7,65.25166667,µmol/l,0.69843,350,2.09041
amon2012,PS70/345-1,08/09/07,08:12:00 AM,84.6942,-145.4291,75.2,65.25166667,µmol/l,0.83465,350,2.46811
amon2012,PS70/346-1,08/09/07,02:23:00 PM,84.796,-149.0864,24.7,65.25166667,µmol/l,0.88363,350,2.67079
amon2012,PS70/383-1,19/09/07,08:47:00 PM,80.6558,122.2054,299.6,65.25166667,µmol/l,0.64441,350,2.01736
amon2012,PS70/403-1,22/09/07,09:00:00 PM,77.1485,123.1247,106.8,65.25166667,µmol/l,0.84449,350,2.29725
amon2012,PS70/405-1,23/09/07,03:09:00 AM,76.6565,122.6351,86.1,65.25166667,µmol/l,1.26955,350,1.70139
amon2012,PS70/276-3,17/08/07,06:24:00 AM,82.0893,68.947,19.8,61.41333333,µmol/l,0.88631,350,1.8278
amon2012,PS70/276-3,17/08/07,06:24:00 AM,82.0893,68.947,45.5,61.41333333,µmol/l,0.7498,350,2.08055
amon2012,PS70/319-1,31/08/07,02:21:00 AM,88.6675,153.7096,500,61.41333333,µmol/l,1.05884,350,1.18999
amon2012,PS70/382-1,19/09/07,01:27:00 PM,81.3575,120.7191,99.9,61.41333333,µmol/l,0.71123,350,2.27776
amon2012,PS70/391-1,21/09/07,04:50:00 PM,78.1296,124.2423,50.5,61.41333333,µmol/l,0.8525,350,2.20529
amon2012,PS70/263-1,11/08/07,11:26:00 PM,84.167,60.9592,19.8,57.575,µmol/l,0.77411,350,1.65352
amon2012,PS70/276-3,17/08/07,06:24:00 AM,82.0893,68.947,194.8,57.575,µmol/l,0.75276,350,1.51443
amon2012,PS70/306-1,26/08/07,09:54:00 AM,85.9237,91.1799,199.7,57.575,µmol/l,0.67155,350,1.90603
amon2012,PS70/314-1,30/08/07,01:35:00 AM,88.1661,130.0572,124.6,57.575,µmol/l,0.96216,350,1.66292
amon2012,PS70/316-1,30/08/07,09:46:00 AM,88.1792,139.6037,300.5,57.575,µmol/l,0.77775,350,1.62005
