PE UV       SUBTECH     SPECTRUM    ASCII       PEDS        4.00        	
-1	
Ki201b040810.Sample.Raw.asc	
10.8.2020	
10:50:41.00	
10.8.2020	
10:50:41.00	
Hermanni Kaartokallio	
	
200.000000	
1	
Lambda 650	
650N8121101	
PerkinElmer UV WinLab 6.0.2.0723 / 1.61.00 Lambda 650	
	
0	
0	
2	
0	
0	
UV/VIS	
1	
1	
1	
uv/vis/nir detector	
0	
0	
0	
0	
Fix	
 	
0	
0.24	
0	
0	
0	
 	
 	
 	
0	
 	
0	
319.2	
0	
Front	
100	
 	
 	
 	
0	
0	
0	
 	
0	
 	
 	
 	
0	
 	
 	
0	
0	
0	
0	
0	
 	
 	
 	
 	
0	
0	
#HDR	
-1	
-1	
#GR	
nm	
A	
1.0	
0.0	
800.000000	
-1.000000	
601	
8	
3.660601	
0.038359	
#DATA	
800.000000	0.082168
799.000000	0.082582
798.000000	0.082870
797.000000	0.083158
796.000000	0.083792
795.000000	0.084168
794.000000	0.084717
793.000000	0.085295
792.000000	0.085645
791.000000	0.086148
790.000000	0.086719
789.000000	0.087222
788.000000	0.087682
787.000000	0.088124
786.000000	0.088592
785.000000	0.089074
784.000000	0.089598
783.000000	0.090048
782.000000	0.090535
781.000000	0.091008
780.000000	0.091288
779.000000	0.091774
778.000000	0.092326
777.000000	0.092759
776.000000	0.093145
775.000000	0.093434
774.000000	0.093704
773.000000	0.093968
772.000000	0.094210
771.000000	0.094521
770.000000	0.094690
769.000000	0.094792
768.000000	0.094957
767.000000	0.095167
766.000000	0.095341
765.000000	0.095554
764.000000	0.095698
763.000000	0.095723
762.000000	0.095684
761.000000	0.095838
760.000000	0.095943
759.000000	0.095890
758.000000	0.095800
757.000000	0.095894
756.000000	0.095697
755.000000	0.095642
754.000000	0.095662
753.000000	0.095616
752.000000	0.095572
751.000000	0.095342
750.000000	0.095105
749.000000	0.095158
748.000000	0.094999
747.000000	0.094807
746.000000	0.094646
745.000000	0.094555
744.000000	0.094347
743.000000	0.094153
742.000000	0.093897
741.000000	0.093391
740.000000	0.092815
739.000000	0.092156
738.000000	0.091105
737.000000	0.089943
736.000000	0.088517
735.000000	0.086816
734.000000	0.084848
733.000000	0.082568
732.000000	0.080135
731.000000	0.077681
730.000000	0.075171
729.000000	0.072777
728.000000	0.070654
727.000000	0.068728
