PE UV       SUBTECH     SPECTRUM    ASCII       PEDS        4.00        	
-1	
Ki203a040810.Sample.Raw.asc	
10.8.2020	
11:07:06.00	
10.8.2020	
11:07:06.00	
Hermanni Kaartokallio	
	
200.000000	
1	
Lambda 650	
650N8121101	
PerkinElmer UV WinLab 6.0.2.0723 / 1.61.00 Lambda 650	
	
0	
0	
2	
0	
0	
UV/VIS	
1	
1	
1	
uv/vis/nir detector	
0	
0	
0	
0	
Fix	
 	
0	
0.24	
0	
0	
0	
 	
 	
 	
0	
 	
0	
319.2	
0	
Front	
100	
 	
 	
 	
0	
0	
0	
 	
0	
 	
 	
 	
0	
 	
 	
0	
0	
0	
0	
0	
 	
 	
 	
 	
0	
0	
#HDR	
-1	
-1	
#GR	
nm	
A	
1.0	
0.0	
800.000000	
-1.000000	
601	
8	
3.623499	
0.036574	
#DATA	
800.000000	0.079248
799.000000	0.079570
798.000000	0.080036
797.000000	0.080340
796.000000	0.080893
795.000000	0.081267
794.000000	0.081756
793.000000	0.082289
792.000000	0.082573
791.000000	0.082950
790.000000	0.083567
789.000000	0.084061
788.000000	0.084341
787.000000	0.084750
786.000000	0.085257
785.000000	0.085579
784.000000	0.085964
783.000000	0.086550
782.000000	0.086956
781.000000	0.087312
780.000000	0.087548
779.000000	0.088030
778.000000	0.088497
777.000000	0.088766
776.000000	0.089065
775.000000	0.089484
774.000000	0.089620
773.000000	0.089896
772.000000	0.090295
771.000000	0.090584
770.000000	0.090707
769.000000	0.090942
768.000000	0.091113
767.000000	0.091260
766.000000	0.091411
765.000000	0.091598
764.000000	0.091748
763.000000	0.091703
762.000000	0.091657
761.000000	0.091855
760.000000	0.091903
759.000000	0.091809
758.000000	0.091846
757.000000	0.091895
756.000000	0.091712
755.000000	0.091644
754.000000	0.091636
753.000000	0.091598
752.000000	0.091492
751.000000	0.091340
750.000000	0.091268
749.000000	0.091320
748.000000	0.091162
747.000000	0.091095
746.000000	0.091022
745.000000	0.090883
744.000000	0.090695
743.000000	0.090616
742.000000	0.090468
741.000000	0.089965
740.000000	0.089516
739.000000	0.088973
738.000000	0.088028
737.000000	0.086942
736.000000	0.085670
735.000000	0.083987
734.000000	0.081998
733.000000	0.079809
732.000000	0.077475
731.000000	0.075003
730.000000	0.072418
729.000000	0.070101
728.000000	0.068036
727.000000	0.066012
726.000000	0.064198
725.000000	0.062740
724.000000	0.061391
723.000000	0.059952
722.000000	0.058670
721.000000	0.057523
720.000000	0.056290
719.000000	0.055150
718.000000	0.054173
717.000000	0.053151
716.000000	0.052015
715.000000	0.050970
714.000000	0.050118
713.000000	0.049297
712.000000	0.048419
711.000000	0.047701
710.000000	0.047171
709.000000	0.046557
708.000000	0.045881
707.000000	0.045438
706.000000	0.045036
705.000000	0.044504
704.000000	0.044109
703.000000	0.043752
702.000000	0.043354
701.000000	0.042984
700.000000	0.042691
699.000000	0.042481
698.000000	0.042148
697.000000	0.041787
696.000000	0.041623
695.000000	0.041457
694.000000	0.041171
693.000000	0.041086
692.000000	0.041104
691.000000	0.040894
690.000000	0.040703
689.000000	0.040709
688.000000	0.040595
687.000000	0.040419
686.000000	0.040546
685.000000	0.040647
684.000000	0.040552
683.000000	0.040506
682.000000	0.040568
681.000000	0.040627
680.000000	0.040657
679.000000	0.040763
678.000000	0.040839
677.000000	0.040848
676.000000	0.040814
675.000000	0.040891
674.000000	0.041025
673.000000	0.040985
672.000000	0.040963
671.000000	0.041065
670.000000	0.041039
669.000000	0.040961
668.000000	0.041056
667.000000	0.041183
666.000000	0.041125
665.000000	0.040990
664.000000	0.041038
663.000000	0.041068
662.000000	0.041080
661.000000	0.041037
660.000000	0.041038
659.000000	0.040903
658.000000	0.040672
657.000000	0.040620
656.000000	0.040675
655.000000	0.040462
654.000000	0.040259
653.000000	0.040118
652.000000	0.039950
