PE UV       SUBTECH     SPECTRUM    ASCII       PEDS        4.00        	
-1	
KY200180810.Sample.Raw.asc	
10.9.2002	
13:58:42.00	
10.9.2002	
13:58:42.00	
Hermanni Kaartokallio	
	
200.000000	
1	
Lambda 650	
650N8121101	
PerkinElmer UV WinLab 6.0.2.0723 / 1.61.00 Lambda 650	
	
0	
0	
2	
0	
0	
UV/VIS	
1	
1	
1	
uv/vis/nir detector	
0	
0	
0	
0	
Fix	
 	
0	
0.24	
0	
0	
0	
 	
 	
 	
0	
 	
0	
319.2	
0	
Front	
100	
 	
 	
 	
0	
0	
0	
 	
0	
 	
 	
 	
0	
 	
 	
0	
0	
0	
0	
0	
 	
 	
 	
 	
0	
0	
#HDR	
-1	
-1	
#GR	
nm	
A	
1.0	
0.0	
800.000000	
-1.000000	
601	
8	
10.000000	
0.062522	
#DATA	
800.000000	0.087747
799.000000	0.088397
798.000000	0.088984
797.000000	0.089171
796.000000	0.089866
795.000000	0.090338
794.000000	0.090789
793.000000	0.091376
792.000000	0.092162
791.000000	0.092426
790.000000	0.093057
789.000000	0.093653
788.000000	0.094062
787.000000	0.094546
786.000000	0.095066
785.000000	0.095343
784.000000	0.096003
783.000000	0.096315
782.000000	0.096775
781.000000	0.097331
780.000000	0.097746
779.000000	0.097699
778.000000	0.098298
777.000000	0.098716
776.000000	0.099073
775.000000	0.099394
774.000000	0.099758
773.000000	0.099829
772.000000	0.100020
771.000000	0.100432
770.000000	0.100746
769.000000	0.100973
768.000000	0.101138
767.000000	0.101213
766.000000	0.101613
765.000000	0.101702
764.000000	0.101825
763.000000	0.102002
762.000000	0.102112
761.000000	0.101951
760.000000	0.102298
759.000000	0.102431
758.000000	0.102359
757.000000	0.102342
756.000000	0.102622
755.000000	0.102555
754.000000	0.102644
753.000000	0.102682
752.000000	0.102944
751.000000	0.103036
750.000000	0.102907
749.000000	0.102903
748.000000	0.103250
747.000000	0.103218
746.000000	0.103226
745.000000	0.103394
744.000000	0.103441
743.000000	0.103241
742.000000	0.103309
741.000000	0.103133
740.000000	0.102821
739.000000	0.102373
738.000000	0.101704
737.000000	0.100691
736.000000	0.099470
735.000000	0.097942
734.000000	0.096262
733.000000	0.094186
732.000000	0.091880
731.000000	0.089524
730.000000	0.087333
729.000000	0.084965
728.000000	0.082913
727.000000	0.081242
726.000000	0.079723
725.000000	0.078259
724.000000	0.077116
723.000000	0.076072
722.000000	0.074971
721.000000	0.073937
720.000000	0.072964
719.000000	0.071929
718.000000	0.071072
717.000000	0.070176
716.000000	0.069379
715.000000	0.068559
714.000000	0.067666
713.000000	0.066888
712.000000	0.066364
711.000000	0.065755
710.000000	0.065258
709.000000	0.064918
708.000000	0.064483
707.000000	0.064079
706.000000	0.063839
705.000000	0.063571
704.000000	0.063332
703.000000	0.063161
702.000000	0.063025
