PE UV       SUBTECH     SPECTRUM    ASCII       PEDS        4.00        	
-1	
KY201A180810.Sample.Raw.asc	
10.9.2002	
13:53:39.00	
10.9.2002	
13:53:39.00	
Hermanni Kaartokallio	
	
200.000000	
1	
Lambda 650	
650N8121101	
PerkinElmer UV WinLab 6.0.2.0723 / 1.61.00 Lambda 650	
	
0	
0	
2	
0	
0	
UV/VIS	
1	
1	
1	
uv/vis/nir detector	
0	
0	
0	
0	
Fix	
 	
0	
0.24	
0	
0	
0	
 	
 	
 	
0	
 	
0	
319.2	
0	
Front	
100	
 	
 	
 	
0	
0	
0	
 	
0	
 	
 	
 	
0	
 	
 	
0	
0	
0	
0	
0	
 	
 	
 	
 	
0	
0	
#HDR	
-1	
-1	
#GR	
nm	
A	
1.0	
0.0	
800.000000	
-1.000000	
601	
8	
10.000000	
0.059361	
#DATA	
800.000000	0.086707
799.000000	0.087183
798.000000	0.087807
797.000000	0.088099
796.000000	0.088551
795.000000	0.089057
794.000000	0.089468
793.000000	0.090085
792.000000	0.090746
791.000000	0.091069
790.000000	0.091525
789.000000	0.092130
788.000000	0.092598
787.000000	0.092989
786.000000	0.093609
785.000000	0.094152
784.000000	0.094483
783.000000	0.094809
782.000000	0.095413
781.000000	0.095849
780.000000	0.096189
779.000000	0.096409
778.000000	0.096885
777.000000	0.097174
776.000000	0.097443
775.000000	0.097915
774.000000	0.098203
773.000000	0.098331
772.000000	0.098384
771.000000	0.098908
770.000000	0.099094
769.000000	0.099294
768.000000	0.099497
767.000000	0.099736
766.000000	0.099732
765.000000	0.099880
764.000000	0.100053
763.000000	0.100180
762.000000	0.100255
761.000000	0.100260
760.000000	0.100446
759.000000	0.100599
758.000000	0.100460
757.000000	0.100567
756.000000	0.100835
755.000000	0.100731
754.000000	0.100694
753.000000	0.100819
752.000000	0.100972
751.000000	0.101046
750.000000	0.101115
749.000000	0.101062
748.000000	0.101181
747.000000	0.101174
746.000000	0.101327
745.000000	0.101409
744.000000	0.101374
743.000000	0.101228
742.000000	0.101199
741.000000	0.101015
740.000000	0.100635
739.000000	0.100197
738.000000	0.099679
737.000000	0.098612
736.000000	0.097245
735.000000	0.095724
734.000000	0.093936
733.000000	0.091840
732.000000	0.089625
731.000000	0.087346
730.000000	0.084925
729.000000	0.082505
728.000000	0.080506
727.000000	0.078924
726.000000	0.077356
725.000000	0.075815
724.000000	0.074663
723.000000	0.073606
722.000000	0.072409
721.000000	0.071388
720.000000	0.070499
719.000000	0.069452
718.000000	0.068416
717.000000	0.067583
716.000000	0.066767
715.000000	0.065880
714.000000	0.065138
713.000000	0.064415
712.000000	0.063702
711.000000	0.062992
710.000000	0.062472
709.000000	0.062140
708.000000	0.061730
707.000000	0.061249
706.000000	0.060953
705.000000	0.060713
704.000000	0.060364
703.000000	0.060213
702.000000	0.060151
701.000000	0.059920
700.000000	0.059525
699.000000	0.059435
698.000000	0.059569
697.000000	0.059468
696.000000	0.059374
695.000000	0.059361
694.000000	0.059405
693.000000	0.059384
692.000000	0.059469
691.000000	0.059748
690.000000	0.059842
689.000000	0.059915
688.000000	0.060196
687.000000	0.060361
686.000000	0.060480
685.000000	0.060810
684.000000	0.061069
683.000000	0.061312
682.000000	0.061672
681.000000	0.061978
680.000000	0.062274
679.000000	0.062479
678.000000	0.062789
677.000000	0.063151
676.000000	0.063461
675.000000	0.063666
674.000000	0.063924
673.000000	0.064214
672.000000	0.064431
671.000000	0.064688
670.000000	0.065083
669.000000	0.065342
668.000000	0.065413
667.000000	0.065655
666.000000	0.065992
665.000000	0.066161
664.000000	0.066413
663.000000	0.066676
662.000000	0.066864
661.000000	0.066985
660.000000	0.067232
659.000000	0.067486
658.000000	0.067617
657.000000	0.067538
656.000000	0.067666
655.000000	0.067815
654.000000	0.067920
653.000000	0.068032
652.000000	0.068399
651.000000	0.068441
650.000000	0.068582
649.000000	0.068871
648.000000	0.069099
647.000000	0.069262
646.000000	0.069573
645.000000	0.069800
644.000000	0.070057
643.000000	0.070221
642.000000	0.070482
641.000000	0.070840
640.000000	0.071230
639.000000	0.071335
638.000000	0.071560
637.000000	0.071918
636.000000	0.072084
635.000000	0.072321
634.000000	0.072891
633.000000	0.073075
632.000000	0.073156
631.000000	0.073579
630.000000	0.073795
629.000000	0.074177
628.000000	0.074635
627.000000	0.074838
626.000000	0.075285
625.000000	0.075553
624.000000	0.075830
623.000000	0.076269
622.000000	0.076743
621.000000	0.077074
620.000000	0.077409
619.000000	0.077885
618.000000	0.078242
617.000000	0.078607
616.000000	0.079215
615.000000	0.079585
614.000000	0.079810
613.000000	0.080209
612.000000	0.080782
611.000000	0.081183
610.000000	0.081747
609.000000	0.082094
608.000000	0.082596
607.000000	0.082932
606.000000	0.083355
605.000000	0.084102
604.000000	0.084438
603.000000	0.084627
602.000000	0.084920
601.000000	0.085259
600.000000	0.085541
599.000000	0.085693
598.000000	0.086013
597.000000	0.086460
596.000000	0.086507
595.000000	0.086698
594.000000	0.087213
593.000000	0.087626
592.000000	0.087927
591.000000	0.088576
590.000000	0.089059
589.000000	0.089446
588.000000	0.089941
587.000000	0.090366
586.000000	0.090966
585.000000	0.091537
584.000000	0.091951
583.000000	0.092056
582.000000	0.093671
581.000000	0.093630
580.000000	0.094196
579.000000	0.095003
578.000000	0.095525
577.000000	0.095915
576.000000	0.096761
575.000000	0.097472
574.000000	0.098057
573.000000	0.098852
572.000000	0.099510
571.000000	0.100106
570.000000	0.100705
569.000000	0.101514
568.000000	0.102235
567.000000	0.103136
566.000000	0.103700
565.000000	0.104610
564.000000	0.105517
563.000000	0.106203
562.000000	0.107061
561.000000	0.107839
560.000000	0.108738
559.000000	0.109462
558.000000	0.110358
557.000000	0.110734
556.000000	0.110283
555.000000	0.113364
554.000000	0.114082
553.000000	0.114881
552.000000	0.115800
551.000000	0.116786
550.000000	0.117701
549.000000	0.118616
548.000000	0.119699
547.000000	0.120623
546.000000	0.121543
545.000000	0.122516
544.000000	0.123620
543.000000	0.124634
542.000000	0.125684
541.000000	0.126662
540.000000	0.127735
539.000000	0.128805
538.000000	0.129840
537.000000	0.130994
536.000000	0.132191
535.000000	0.133186
534.000000	0.134320
533.000000	0.135485
532.000000	0.136670
531.000000	0.137836
530.000000	0.139056
529.000000	0.140213
528.000000	0.141372
527.000000	0.142523
526.000000	0.143825
525.000000	0.145192
524.000000	0.146486
523.000000	0.147623
522.000000	0.148946
521.000000	0.150428
520.000000	0.151768
519.000000	0.153209
518.000000	0.154645
517.000000	0.155914
516.000000	0.157269
515.000000	0.158779
514.000000	0.160293
513.000000	0.161722
512.000000	0.163152
511.000000	0.164576
510.000000	0.166087
509.000000	0.167505
508.000000	0.169043
507.000000	0.170696
506.000000	0.172191
505.000000	0.173672
504.000000	0.175308
503.000000	0.176970
502.000000	0.178575
501.000000	0.180883
500.000000	0.182648
499.000000	0.183658
498.000000	0.185298
497.000000	0.187093
496.000000	0.188941
495.000000	0.190761
494.000000	0.192601
493.000000	0.194403
492.000000	0.196163
491.000000	0.197974
490.000000	0.199858
489.000000	0.201792
488.000000	0.203625
487.000000	0.205495
486.000000	0.207498
485.000000	0.209452
484.000000	0.211358
483.000000	0.213374
482.000000	0.215413
481.000000	0.217400
480.000000	0.219533
479.000000	0.221770
478.000000	0.223945
477.000000	0.226141
476.000000	0.228313
475.000000	0.230833
474.000000	0.232989
473.000000	0.235140
472.000000	0.237516
471.000000	0.240066
470.000000	0.242451
469.000000	0.244815
468.000000	0.247366
467.000000	0.249900
466.000000	0.252417
465.000000	0.255122
464.000000	0.257799
463.000000	0.260464
462.000000	0.263193
461.000000	0.265976
460.000000	0.268869
459.000000	0.271945
458.000000	0.274907
457.000000	0.278100
456.000000	0.281365
455.000000	0.284577
454.000000	0.287832
453.000000	0.291356
452.000000	0.294733
451.000000	0.298237
450.000000	0.301861
449.000000	0.305537
448.000000	0.309345
447.000000	0.313301
446.000000	0.317161
445.000000	0.321319
444.000000	0.325484
443.000000	0.329838
442.000000	0.334109
441.000000	0.338728
440.000000	0.343233
439.000000	0.347922
438.000000	0.352778
437.000000	0.357558
436.000000	0.362535
435.000000	0.367778
434.000000	0.372895
433.000000	0.378221
432.000000	0.383660
431.000000	0.389145
430.000000	0.394807
429.000000	0.400632
428.000000	0.406366
427.000000	0.412292
426.000000	0.418363
425.000000	0.424515
424.000000	0.430732
423.000000	0.437245
422.000000	0.443428
421.000000	0.450049
420.000000	0.456599
419.000000	0.463384
418.000000	0.470201
417.000000	0.477322
416.000000	0.484215
415.000000	0.491313
414.000000	0.498717
413.000000	0.505974
412.000000	0.513509
411.000000	0.521246
410.000000	0.528924
409.000000	0.536819
408.000000	0.544850
407.000000	0.553056
406.000000	0.562467
405.000000	0.569984
404.000000	0.578553
403.000000	0.587471
402.000000	0.596429
401.000000	0.605671
400.000000	0.615064
399.000000	0.624756
398.000000	0.634240
397.000000	0.644269
396.000000	0.654340
395.000000	0.664771
394.000000	0.675308
393.000000	0.686265
392.000000	0.697053
391.000000	0.708369
390.000000	0.719829
389.000000	0.731502
388.000000	0.743426
387.000000	0.755614
386.000000	0.767600
385.000000	0.780336
384.000000	0.793206
383.000000	0.806336
382.000000	0.819737
381.000000	0.833464
380.000000	0.847117
379.000000	0.861262
378.000000	0.877868
377.000000	0.893046
376.000000	0.907446
375.000000	0.922263
374.000000	0.937097
373.000000	0.952619
372.000000	0.968372
371.000000	0.984169
370.000000	0.999823
369.000000	1.016250
368.000000	1.032845
367.000000	1.049452
366.000000	1.066283
365.000000	1.083601
364.000000	1.100720
363.000000	1.118397
362.000000	1.136262
361.000000	1.154399
360.000000	1.172473
359.000000	1.190935
358.000000	1.209244
357.000000	1.228220
356.000000	1.247095
355.000000	1.266248
354.000000	1.285635
353.000000	1.305179
352.000000	1.324548
351.000000	1.344883
350.000000	1.365070
349.000000	1.385052
348.000000	1.405226
347.000000	1.425652
346.000000	1.445925
345.000000	1.466769
344.000000	1.488172
343.000000	1.509593
342.000000	1.530739
341.000000	1.552543
340.000000	1.573523
339.000000	1.595179
338.000000	1.617813
337.000000	1.639798
336.000000	1.662212
335.000000	1.684927
334.000000	1.707021
333.000000	1.730547
332.000000	1.754478
331.000000	1.777585
330.000000	1.801374
329.000000	1.825491
328.000000	1.849124
327.000000	1.873638
326.000000	1.898198
325.000000	1.922961
324.000000	1.948384
323.000000	1.973713
322.000000	1.999660
321.000000	2.027070
320.000000	2.052943
319.000000	2.079371
318.000000	2.108717
317.000000	2.140427
316.000000	2.169772
315.000000	2.197654
314.000000	2.227207
313.000000	2.257013
312.000000	2.287760
311.000000	2.319801
310.000000	2.349584
309.000000	2.379334
308.000000	2.411720
307.000000	2.440277
306.000000	2.471321
305.000000	2.508535
304.000000	2.541343
303.000000	2.573162
302.000000	2.609104
301.000000	2.644968
300.000000	2.680702
299.000000	2.716362
298.000000	2.750928
297.000000	2.786327
296.000000	2.823765
295.000000	2.865993
294.000000	2.910068
293.000000	2.948878
292.000000	2.976623
291.000000	3.017510
290.000000	3.071958
289.000000	3.114403
288.000000	3.161336
287.000000	3.209052
286.000000	3.241571
285.000000	3.280558
284.000000	3.331628
283.000000	3.398144
282.000000	3.453640
281.000000	3.502762
280.000000	3.537201
279.000000	3.597574
278.000000	3.676903
277.000000	3.751052
276.000000	3.857987
275.000000	3.923281
274.000000	3.895336
273.000000	3.976192
272.000000	4.093590
271.000000	4.237439
270.000000	4.291948
269.000000	4.388916
268.000000	4.332614
267.000000	4.454189
266.000000	5.343595
265.000000	10.000000
264.000000	4.991739
263.000000	10.000000
262.000000	10.000000
261.000000	10.000000
260.000000	10.000000
259.000000	10.000000
258.000000	5.947178
257.000000	10.000000
256.000000	10.000000
255.000000	10.000000
254.000000	10.000000
253.000000	10.000000
252.000000	10.000000
251.000000	10.000000
250.000000	10.000000
249.000000	10.000000
248.000000	10.000000
247.000000	10.000000
246.000000	10.000000
245.000000	10.000000
244.000000	10.000000
243.000000	10.000000
242.000000	5.354335
241.000000	5.480517
