PE UV       SUBTECH     SPECTRUM    ASCII       PEDS        4.00        	
-1	
KY204B180810.Sample.Raw.asc	
10.9.2002	
13:00:08.00	
10.9.2002	
13:00:08.00	
Hermanni Kaartokallio	
	
200.000000	
1	
Lambda 650	
650N8121101	
PerkinElmer UV WinLab 6.0.2.0723 / 1.61.00 Lambda 650	
	
0	
0	
2	
0	
0	
UV/VIS	
1	
1	
1	
uv/vis/nir detector	
0	
0	
0	
0	
Fix	
 	
0	
0.24	
0	
0	
0	
 	
 	
 	
0	
 	
0	
319.2	
0	
Front	
100	
 	
 	
 	
0	
0	
0	
 	
0	
 	
 	
 	
0	
 	
 	
0	
0	
0	
0	
0	
 	
 	
 	
 	
0	
0	
#HDR	
-1	
-1	
#GR	
nm	
A	
1.0	
0.0	
800.000000	
-1.000000	
601	
8	
3.558488	
0.034014	
#DATA	
800.000000	0.078689
799.000000	0.079287
798.000000	0.079465
797.000000	0.079907
796.000000	0.080324
795.000000	0.080644
794.000000	0.081089
793.000000	0.081611
792.000000	0.082053
791.000000	0.082441
790.000000	0.082898
789.000000	0.083428
788.000000	0.083791
787.000000	0.084189
786.000000	0.084555
785.000000	0.085080
784.000000	0.085430
783.000000	0.085692
782.000000	0.086196
781.000000	0.086496
780.000000	0.086612
779.000000	0.086977
778.000000	0.087339
777.000000	0.087635
776.000000	0.087785
775.000000	0.088036
774.000000	0.088222
773.000000	0.088405
772.000000	0.088438
771.000000	0.088865
770.000000	0.088958
769.000000	0.089022
768.000000	0.089047
767.000000	0.089332
766.000000	0.089345
765.000000	0.089364
764.000000	0.089466
763.000000	0.089515
762.000000	0.089230
761.000000	0.089382
760.000000	0.089518
759.000000	0.089470
758.000000	0.089246
757.000000	0.089196
756.000000	0.089176
755.000000	0.089118
754.000000	0.089103
753.000000	0.089164
752.000000	0.089132
751.000000	0.089060
750.000000	0.089015
749.000000	0.089015
748.000000	0.088938
747.000000	0.088792
746.000000	0.088835
745.000000	0.088693
744.000000	0.088531
743.000000	0.088462
742.000000	0.088270
741.000000	0.087948
740.000000	0.087455
739.000000	0.086813
738.000000	0.086028
737.000000	0.084966
736.000000	0.083516
735.000000	0.081926
734.000000	0.080036
733.000000	0.077717
732.000000	0.075343
731.000000	0.073047
730.000000	0.070466
729.000000	0.067971
728.000000	0.065904
727.000000	0.064020
726.000000	0.062201
725.000000	0.060746
724.000000	0.059453
723.000000	0.058195
722.000000	0.056880
721.000000	0.055663
720.000000	0.054547
719.000000	0.053449
718.000000	0.052366
717.000000	0.051376
716.000000	0.050391
715.000000	0.049290
714.000000	0.048307
713.000000	0.047473
712.000000	0.046617
711.000000	0.045835
710.000000	0.045195
709.000000	0.044514
708.000000	0.043835
707.000000	0.043372
706.000000	0.042931
705.000000	0.042433
704.000000	0.041946
703.000000	0.041548
702.000000	0.041244
701.000000	0.040942
700.000000	0.040449
699.000000	0.040236
698.000000	0.040149
697.000000	0.039760
696.000000	0.039485
695.000000	0.039343
694.000000	0.039165
693.000000	0.038943
692.000000	0.038779
691.000000	0.038665
690.000000	0.038592
689.000000	0.038588
688.000000	0.038542
687.000000	0.038447
686.000000	0.038507
685.000000	0.038606
684.000000	0.038617
683.000000	0.038633
682.000000	0.038607
681.000000	0.038664
680.000000	0.038796
679.000000	0.038802
678.000000	0.038910
677.000000	0.039005
676.000000	0.038951
675.000000	0.039007
674.000000	0.039141
673.000000	0.039171
672.000000	0.039159
671.000000	0.039213
670.000000	0.039279
669.000000	0.039368
668.000000	0.039362
667.000000	0.039385
666.000000	0.039525
665.000000	0.039465
664.000000	0.039393
663.000000	0.039509
662.000000	0.039533
661.000000	0.039373
660.000000	0.039427
659.000000	0.039460
658.000000	0.039237
657.000000	0.039072
656.000000	0.039061
655.000000	0.038987
654.000000	0.038762
653.000000	0.038633
652.000000	0.038648
651.000000	0.038476
650.000000	0.038450
649.000000	0.038499
648.000000	0.038451
647.000000	0.038342
646.000000	0.038201
645.000000	0.038323
644.000000	0.038267
643.000000	0.038171
642.000000	0.038093
641.000000	0.038157
640.000000	0.038030
639.000000	0.037927
638.000000	0.038027
637.000000	0.038146
636.000000	0.037919
635.000000	0.037862
634.000000	0.038003
633.000000	0.037734
632.000000	0.037601
631.000000	0.037712
630.000000	0.037541
629.000000	0.037541
628.000000	0.037431
627.000000	0.037297
626.000000	0.037479
625.000000	0.037316
624.000000	0.037272
623.000000	0.037273
622.000000	0.037125
621.000000	0.037324
620.000000	0.037214
619.000000	0.037330
618.000000	0.037187
617.000000	0.037192
616.000000	0.037159
615.000000	0.037213
614.000000	0.037080
613.000000	0.037126
612.000000	0.037284
611.000000	0.037190
610.000000	0.037083
609.000000	0.037244
608.000000	0.037260
607.000000	0.037079
606.000000	0.037029
605.000000	0.037364
604.000000	0.036969
603.000000	0.036928
602.000000	0.036828
601.000000	0.036641
600.000000	0.036389
599.000000	0.036078
598.000000	0.035962
597.000000	0.035715
596.000000	0.035440
595.000000	0.035303
594.000000	0.035239
593.000000	0.035095
592.000000	0.034961
591.000000	0.034862
590.000000	0.035009
589.000000	0.034881
588.000000	0.034833
587.000000	0.034817
586.000000	0.034792
585.000000	0.034534
584.000000	0.034637
583.000000	0.034192
582.000000	0.035032
581.000000	0.034488
580.000000	0.034503
579.000000	0.034577
578.000000	0.034739
577.000000	0.034489
576.000000	0.034639
575.000000	0.034731
574.000000	0.034639
573.000000	0.034701
572.000000	0.034929
571.000000	0.034813
570.000000	0.034760
569.000000	0.034914
568.000000	0.034847
567.000000	0.034910
566.000000	0.034986
565.000000	0.035172
564.000000	0.035296
563.000000	0.035276
562.000000	0.035424
561.000000	0.035370
560.000000	0.035347
559.000000	0.035527
558.000000	0.035643
557.000000	0.035206
556.000000	0.034014
555.000000	0.036190
554.000000	0.035988
553.000000	0.036124
552.000000	0.036183
551.000000	0.036249
550.000000	0.036335
549.000000	0.036387
548.000000	0.036510
547.000000	0.036664
546.000000	0.036641
545.000000	0.036659
544.000000	0.036833
543.000000	0.036978
542.000000	0.036940
541.000000	0.037084
540.000000	0.037227
539.000000	0.037210
538.000000	0.037284
537.000000	0.037370
536.000000	0.037434
535.000000	0.037570
534.000000	0.037620
533.000000	0.037705
532.000000	0.037770
531.000000	0.037775
530.000000	0.037873
529.000000	0.038041
528.000000	0.037995
527.000000	0.038007
526.000000	0.038149
525.000000	0.038268
524.000000	0.038251
523.000000	0.038349
522.000000	0.038435
521.000000	0.038563
520.000000	0.038608
519.000000	0.038738
518.000000	0.038825
517.000000	0.038858
516.000000	0.038923
515.000000	0.039057
514.000000	0.039143
513.000000	0.039098
512.000000	0.039141
511.000000	0.039276
510.000000	0.039269
509.000000	0.039248
508.000000	0.039336
507.000000	0.039418
506.000000	0.039438
505.000000	0.039542
504.000000	0.039636
503.000000	0.039674
502.000000	0.039691
501.000000	0.040353
500.000000	0.040512
499.000000	0.040014
498.000000	0.040010
497.000000	0.040139
496.000000	0.040279
495.000000	0.040245
494.000000	0.040333
493.000000	0.040543
492.000000	0.040608
491.000000	0.040634
490.000000	0.040755
489.000000	0.040804
488.000000	0.040847
487.000000	0.040996
486.000000	0.041099
485.000000	0.041110
484.000000	0.041123
483.000000	0.041187
482.000000	0.041314
481.000000	0.041384
480.000000	0.041487
479.000000	0.041667
478.000000	0.041777
477.000000	0.041720
476.000000	0.041840
475.000000	0.042375
474.000000	0.042364
473.000000	0.042294
472.000000	0.042475
471.000000	0.042592
470.000000	0.042727
469.000000	0.042820
468.000000	0.043061
467.000000	0.043226
466.000000	0.043262
465.000000	0.043438
464.000000	0.043671
463.000000	0.043843
462.000000	0.044013
461.000000	0.044236
460.000000	0.044468
459.000000	0.044542
458.000000	0.044781
457.000000	0.045052
456.000000	0.045259
455.000000	0.045370
454.000000	0.045576
453.000000	0.045826
452.000000	0.046057
451.000000	0.046284
450.000000	0.046513
449.000000	0.046717
448.000000	0.046927
447.000000	0.047063
446.000000	0.047461
445.000000	0.047734
444.000000	0.047952
443.000000	0.048217
442.000000	0.048473
441.000000	0.048646
440.000000	0.049012
439.000000	0.049397
438.000000	0.049754
437.000000	0.049887
436.000000	0.050205
435.000000	0.050486
434.000000	0.050942
433.000000	0.051299
432.000000	0.051664
431.000000	0.052049
430.000000	0.052435
429.000000	0.052739
428.000000	0.053266
427.000000	0.053640
426.000000	0.053974
425.000000	0.054386
424.000000	0.054816
423.000000	0.055130
422.000000	0.055509
421.000000	0.055966
420.000000	0.056350
419.000000	0.056702
418.000000	0.057125
417.000000	0.057616
416.000000	0.057965
415.000000	0.058378
414.000000	0.058825
413.000000	0.059176
412.000000	0.059571
411.000000	0.059949
410.000000	0.060607
409.000000	0.061000
408.000000	0.061431
407.000000	0.061888
406.000000	0.063792
405.000000	0.062985
404.000000	0.063437
403.000000	0.064063
402.000000	0.064558
401.000000	0.065155
400.000000	0.065627
399.000000	0.066183
398.000000	0.066890
397.000000	0.067469
396.000000	0.068059
395.000000	0.068755
394.000000	0.069329
393.000000	0.069798
392.000000	0.070605
391.000000	0.071311
390.000000	0.071867
389.000000	0.072623
388.000000	0.073538
387.000000	0.074034
386.000000	0.074741
385.000000	0.075501
384.000000	0.076284
383.000000	0.077068
382.000000	0.077800
381.000000	0.078650
380.000000	0.079477
379.000000	0.080310
378.000000	0.081241
377.000000	0.082106
376.000000	0.083172
375.000000	0.084036
374.000000	0.085004
373.000000	0.085968
372.000000	0.086860
371.000000	0.087734
370.000000	0.088955
369.000000	0.090025
368.000000	0.091062
367.000000	0.092147
366.000000	0.093266
365.000000	0.094209
