PE UV       SUBTECH     SPECTRUM    ASCII       PEDS        4.00        	
-1	
F64280m010910.Sample.Raw.asc	
10.9.2003	
12:46:14.00	
10.9.2003	
12:46:14.00	
Hermanni Kaartokallio	
	
200.000000	
1	
Lambda 650	
650N8121101	
PerkinElmer UV WinLab 6.0.2.0723 / 1.61.00 Lambda 650	
	
0	
0	
2	
0	
0	
UV/VIS	
1	
1	
1	
uv/vis/nir detector	
0	
0	
0	
0	
Fix	
 	
0	
0.24	
0	
0	
0	
 	
 	
 	
0	
 	
0	
319.2	
0	
Front	
100	
 	
 	
 	
0	
0	
0	
 	
0	
 	
 	
 	
0	
 	
 	
0	
0	
0	
0	
0	
 	
 	
 	
 	
0	
0	
#HDR	
-1	
-1	
#GR	
nm	
A	
1.0	
0.0	
800.000000	
-1.000000	
601	
8	
3.672083	
0.033291	
#DATA	
800.000000	0.077988
799.000000	0.078439
798.000000	0.079225
797.000000	0.079639
796.000000	0.079949
795.000000	0.080430
794.000000	0.080819
793.000000	0.081235
792.000000	0.081579
791.000000	0.082227
790.000000	0.082574
789.000000	0.082991
788.000000	0.083484
787.000000	0.083975
786.000000	0.084358
785.000000	0.084852
784.000000	0.085238
783.000000	0.085745
782.000000	0.086131
781.000000	0.086386
780.000000	0.086730
779.000000	0.087000
778.000000	0.087294
777.000000	0.087539
776.000000	0.087846
775.000000	0.088160
774.000000	0.088362
773.000000	0.088679
772.000000	0.088865
771.000000	0.088967
770.000000	0.089167
769.000000	0.089397
768.000000	0.089402
767.000000	0.089517
766.000000	0.089596
765.000000	0.089664
764.000000	0.089758
763.000000	0.089912
762.000000	0.089838
761.000000	0.089881
760.000000	0.089911
759.000000	0.089958
758.000000	0.089883
757.000000	0.089904
756.000000	0.089902
755.000000	0.089991
754.000000	0.089892
753.000000	0.089933
752.000000	0.089911
751.000000	0.089916
750.000000	0.089908
749.000000	0.089978
748.000000	0.089973
747.000000	0.090029
746.000000	0.089965
745.000000	0.089950
744.000000	0.089898
743.000000	0.089741
742.000000	0.089535
741.000000	0.089296
740.000000	0.088847
739.000000	0.088201
738.000000	0.087387
737.000000	0.086316
736.000000	0.084926
735.000000	0.083262
734.000000	0.081196
733.000000	0.078905
732.000000	0.076385
731.000000	0.073821
730.000000	0.071258
729.000000	0.068745
728.000000	0.066608
727.000000	0.064672
726.000000	0.062950
725.000000	0.061489
724.000000	0.060092
723.000000	0.058732
722.000000	0.057515
721.000000	0.056278
720.000000	0.055123
719.000000	0.054126
718.000000	0.052920
717.000000	0.051754
716.000000	0.050783
715.000000	0.049766
714.000000	0.048754
713.000000	0.047819
712.000000	0.046972
711.000000	0.046215
710.000000	0.045512
709.000000	0.044903
708.000000	0.044330
707.000000	0.043817
706.000000	0.043263
705.000000	0.042771
704.000000	0.042266
703.000000	0.041793
702.000000	0.041463
701.000000	0.041231
700.000000	0.040865
699.000000	0.040511
698.000000	0.040264
697.000000	0.039925
696.000000	0.039609
695.000000	0.039450
694.000000	0.039336
693.000000	0.039185
692.000000	0.038997
691.000000	0.038866
690.000000	0.038817
689.000000	0.038762
688.000000	0.038694
687.000000	0.038709
686.000000	0.038737
685.000000	0.038705
684.000000	0.038738
683.000000	0.038783
682.000000	0.038783
681.000000	0.038873
680.000000	0.038947
679.000000	0.038967
678.000000	0.039057
677.000000	0.039149
676.000000	0.039110
675.000000	0.039107
674.000000	0.039173
673.000000	0.039305
672.000000	0.039327
671.000000	0.039329
670.000000	0.039348
669.000000	0.039420
668.000000	0.039464
667.000000	0.039421
666.000000	0.039418
665.000000	0.039466
664.000000	0.039462
663.000000	0.039386
662.000000	0.039360
661.000000	0.039225
660.000000	0.039112
659.000000	0.039056
658.000000	0.038995
657.000000	0.038810
656.000000	0.038612
655.000000	0.038519
654.000000	0.038366
653.000000	0.038236
652.000000	0.038107
651.000000	0.038056
650.000000	0.037987
649.000000	0.037926
648.000000	0.037846
647.000000	0.037748
646.000000	0.037716
645.000000	0.037767
644.000000	0.037754
643.000000	0.037613
642.000000	0.037492
641.000000	0.037485
640.000000	0.037423
639.000000	0.037429
638.000000	0.037260
637.000000	0.037335
636.000000	0.037179
635.000000	0.037092
634.000000	0.036951
633.000000	0.037052
632.000000	0.036948
631.000000	0.036901
630.000000	0.036881
629.000000	0.036844
628.000000	0.036638
627.000000	0.036658
626.000000	0.036667
625.000000	0.036711
624.000000	0.036545
623.000000	0.036534
622.000000	0.036467
621.000000	0.036530
620.000000	0.036473
619.000000	0.036480
618.000000	0.036477
617.000000	0.036497
616.000000	0.036449
615.000000	0.036569
614.000000	0.036500
613.000000	0.036450
612.000000	0.036474
611.000000	0.036491
610.000000	0.036428
609.000000	0.036521
608.000000	0.036528
607.000000	0.036417
606.000000	0.036433
605.000000	0.036421
604.000000	0.036416
603.000000	0.036361
602.000000	0.036111
601.000000	0.035853
600.000000	0.035784
599.000000	0.035483
598.000000	0.035196
597.000000	0.034906
596.000000	0.034739
595.000000	0.034546
594.000000	0.034402
593.000000	0.034449
592.000000	0.034182
591.000000	0.033992
590.000000	0.034053
589.000000	0.033949
588.000000	0.033839
587.000000	0.033814
586.000000	0.033764
585.000000	0.033688
584.000000	0.033646
583.000000	0.033563
582.000000	0.033605
581.000000	0.033559
580.000000	0.033486
579.000000	0.033443
578.000000	0.033569
577.000000	0.033444
576.000000	0.033349
575.000000	0.033456
574.000000	0.033482
573.000000	0.033291
572.000000	0.033420
571.000000	0.033499
570.000000	0.033345
569.000000	0.033375
568.000000	0.033399
567.000000	0.033441
566.000000	0.033463
565.000000	0.033538
564.000000	0.033656
563.000000	0.033638
562.000000	0.033642
561.000000	0.033717
560.000000	0.033730
559.000000	0.033844
558.000000	0.033878
557.000000	0.033990
556.000000	0.034046
555.000000	0.034056
554.000000	0.034178
553.000000	0.034316
552.000000	0.034273
551.000000	0.034318
550.000000	0.034436
549.000000	0.034395
548.000000	0.034407
547.000000	0.034564
546.000000	0.034702
545.000000	0.034630
544.000000	0.034707
543.000000	0.034843
542.000000	0.034895
541.000000	0.034915
540.000000	0.035005
539.000000	0.035097
538.000000	0.035085
537.000000	0.035143
536.000000	0.035224
535.000000	0.035323
534.000000	0.035265
533.000000	0.035299
532.000000	0.035460
531.000000	0.035446
530.000000	0.035446
529.000000	0.035649
528.000000	0.035655
527.000000	0.035595
526.000000	0.035640
525.000000	0.035754
524.000000	0.035758
523.000000	0.035818
522.000000	0.035890
521.000000	0.036009
520.000000	0.036050
519.000000	0.035986
518.000000	0.036053
517.000000	0.036193
516.000000	0.036187
515.000000	0.036199
514.000000	0.036311
513.000000	0.036328
512.000000	0.036307
511.000000	0.036350
510.000000	0.036372
509.000000	0.036320
508.000000	0.036263
507.000000	0.036347
506.000000	0.036392
505.000000	0.036375
504.000000	0.036421
503.000000	0.036523
502.000000	0.036556
501.000000	0.036503
500.000000	0.036537
499.000000	0.036673
498.000000	0.036698
497.000000	0.036677
496.000000	0.036778
495.000000	0.036842
494.000000	0.036825
493.000000	0.036875
492.000000	0.037075
491.000000	0.037051
490.000000	0.036961
489.000000	0.037026
488.000000	0.037067
487.000000	0.037086
486.000000	0.037099
485.000000	0.037164
484.000000	0.037191
483.000000	0.037173
482.000000	0.037237
481.000000	0.037307
480.000000	0.037289
479.000000	0.037275
478.000000	0.037358
477.000000	0.037399
476.000000	0.037440
475.000000	0.037466
474.000000	0.037617
473.000000	0.037720
472.000000	0.037669
471.000000	0.037696
470.000000	0.037888
469.000000	0.037944
468.000000	0.037982
467.000000	0.038130
466.000000	0.038252
465.000000	0.038273
464.000000	0.038382
463.000000	0.038589
462.000000	0.038665
461.000000	0.038703
460.000000	0.038818
459.000000	0.038909
458.000000	0.038984
457.000000	0.039043
456.000000	0.039283
455.000000	0.039391
454.000000	0.039471
453.000000	0.039526
452.000000	0.039788
451.000000	0.039899
450.000000	0.039845
449.000000	0.040038
448.000000	0.040269
447.000000	0.040328
446.000000	0.040468
445.000000	0.040597
444.000000	0.040806
443.000000	0.040870
442.000000	0.041014
441.000000	0.041152
440.000000	0.041308
439.000000	0.041477
438.000000	0.041605
437.000000	0.041776
436.000000	0.041962
435.000000	0.042058
434.000000	0.042292
433.000000	0.042495
432.000000	0.042540
431.000000	0.042819
430.000000	0.043025
429.000000	0.043114
428.000000	0.043239
427.000000	0.043553
426.000000	0.043772
425.000000	0.043916
424.000000	0.044057
423.000000	0.044263
422.000000	0.044611
421.000000	0.044755
420.000000	0.044936
419.000000	0.045235
418.000000	0.045470
417.000000	0.045459
416.000000	0.045870
415.000000	0.046200
414.000000	0.046250
413.000000	0.046531
412.000000	0.046864
411.000000	0.047009
410.000000	0.047195
409.000000	0.047528
408.000000	0.047890
407.000000	0.048004
406.000000	0.048120
405.000000	0.048429
404.000000	0.048756
403.000000	0.048998
