PE UV       SUBTECH     SPECTRUM    ASCII       PEDS        4.00        	
-1	
TV203B310810.Sample.Raw.asc	
10.9.2003	
11:28:43.00	
10.9.2003	
11:28:43.00	
Hermanni Kaartokallio	
	
200.000000	
1	
Lambda 650	
650N8121101	
PerkinElmer UV WinLab 6.0.2.0723 / 1.61.00 Lambda 650	
	
0	
0	
2	
0	
0	
UV/VIS	
1	
1	
1	
uv/vis/nir detector	
0	
0	
0	
0	
Fix	
 	
0	
0.24	
0	
0	
0	
 	
 	
 	
0	
 	
0	
319.2	
0	
Front	
100	
 	
 	
 	
0	
0	
0	
 	
0	
 	
 	
 	
0	
 	
 	
0	
0	
0	
0	
0	
 	
 	
 	
 	
0	
0	
#HDR	
-1	
-1	
#GR	
nm	
A	
1.0	
0.0	
800.000000	
-1.000000	
601	
8	
3.658859	
0.035606	
#DATA	
800.000000	0.079233
799.000000	0.079810
798.000000	0.080452
797.000000	0.080779
796.000000	0.081083
795.000000	0.081643
794.000000	0.081939
793.000000	0.082308
792.000000	0.082745
791.000000	0.083486
790.000000	0.083722
789.000000	0.084131
788.000000	0.084696
787.000000	0.085079
786.000000	0.085276
785.000000	0.085882
784.000000	0.086398
783.000000	0.086791
782.000000	0.087051
781.000000	0.087524
780.000000	0.087869
779.000000	0.088103
778.000000	0.088446
777.000000	0.088792
776.000000	0.089007
775.000000	0.089139
774.000000	0.089358
773.000000	0.089653
772.000000	0.089817
771.000000	0.089912
770.000000	0.090203
769.000000	0.090393
768.000000	0.090285
767.000000	0.090579
766.000000	0.090836
765.000000	0.090896
764.000000	0.090868
763.000000	0.091037
762.000000	0.090917
761.000000	0.090946
760.000000	0.090989
759.000000	0.091111
758.000000	0.091074
757.000000	0.090897
756.000000	0.090810
755.000000	0.091066
754.000000	0.090914
753.000000	0.090859
752.000000	0.090965
751.000000	0.090990
750.000000	0.090840
749.000000	0.090899
748.000000	0.090975
747.000000	0.090955
746.000000	0.090806
745.000000	0.090852
744.000000	0.090860
743.000000	0.090633
742.000000	0.090502
741.000000	0.090275
740.000000	0.089858
739.000000	0.089057
738.000000	0.088258
737.000000	0.087334
736.000000	0.085919
735.000000	0.084197
734.000000	0.082224
733.000000	0.080012
732.000000	0.077435
731.000000	0.074930
730.000000	0.072446
729.000000	0.069950
728.000000	0.067777
727.000000	0.065857
726.000000	0.064144
725.000000	0.062679
724.000000	0.061314
723.000000	0.060052
722.000000	0.058828
721.000000	0.057490
720.000000	0.056297
719.000000	0.055312
718.000000	0.054187
717.000000	0.053108
716.000000	0.052148
715.000000	0.051139
714.000000	0.050005
713.000000	0.049012
712.000000	0.048347
711.000000	0.047634
710.000000	0.046885
709.000000	0.046283
708.000000	0.045699
707.000000	0.045140
706.000000	0.044612
705.000000	0.044155
704.000000	0.043680
703.000000	0.043111
702.000000	0.042726
701.000000	0.042510
700.000000	0.042169
699.000000	0.041793
698.000000	0.041543
697.000000	0.041270
696.000000	0.040921
695.000000	0.040758
694.000000	0.040728
693.000000	0.040610
692.000000	0.040384
691.000000	0.040224
690.000000	0.040253
689.000000	0.040183
688.000000	0.040141
687.000000	0.040223
686.000000	0.040212
685.000000	0.040163
684.000000	0.040232
683.000000	0.040331
682.000000	0.040295
681.000000	0.040326
680.000000	0.040481
679.000000	0.040512
678.000000	0.040553
677.000000	0.040654
676.000000	0.040714
675.000000	0.040670
674.000000	0.040721
673.000000	0.040860
672.000000	0.040946
671.000000	0.040947
670.000000	0.040968
669.000000	0.040983
668.000000	0.041028
667.000000	0.041035
666.000000	0.041049
665.000000	0.041180
664.000000	0.041033
663.000000	0.041015
662.000000	0.041047
661.000000	0.040975
660.000000	0.040863
659.000000	0.040792
658.000000	0.040729
657.000000	0.040582
656.000000	0.040333
655.000000	0.040271
654.000000	0.040133
653.000000	0.039945
652.000000	0.039785
651.000000	0.039791
650.000000	0.039777
649.000000	0.039596
648.000000	0.039483
647.000000	0.039550
646.000000	0.039441
645.000000	0.039320
644.000000	0.039374
643.000000	0.039340
642.000000	0.039212
641.000000	0.039130
640.000000	0.039084
639.000000	0.039017
638.000000	0.038920
637.000000	0.039004
636.000000	0.038939
635.000000	0.038795
634.000000	0.038655
633.000000	0.038682
632.000000	0.038676
631.000000	0.038621
630.000000	0.038552
629.000000	0.038531
628.000000	0.038356
627.000000	0.038211
626.000000	0.038371
625.000000	0.038478
624.000000	0.038331
623.000000	0.038317
622.000000	0.038254
621.000000	0.038286
620.000000	0.038305
619.000000	0.038251
618.000000	0.038343
617.000000	0.038282
616.000000	0.038199
615.000000	0.038255
614.000000	0.038403
613.000000	0.038324
612.000000	0.038290
611.000000	0.038354
610.000000	0.038348
609.000000	0.038277
608.000000	0.038340
607.000000	0.038330
606.000000	0.038277
605.000000	0.038252
604.000000	0.038150
603.000000	0.038180
602.000000	0.038032
601.000000	0.037736
600.000000	0.037698
599.000000	0.037475
598.000000	0.037130
597.000000	0.036865
596.000000	0.036859
595.000000	0.036621
594.000000	0.036368
593.000000	0.036422
592.000000	0.036247
591.000000	0.036066
590.000000	0.036009
589.000000	0.035996
588.000000	0.035945
587.000000	0.035897
586.000000	0.035846
585.000000	0.035882
584.000000	0.035772
583.000000	0.035697
582.000000	0.035822
581.000000	0.035838
580.000000	0.035698
579.000000	0.035606
578.000000	0.035834
577.000000	0.035698
576.000000	0.035611
575.000000	0.035804
574.000000	0.035794
573.000000	0.035623
572.000000	0.035628
571.000000	0.035811
570.000000	0.035801
569.000000	0.035811
568.000000	0.035841
567.000000	0.035869
566.000000	0.035859
565.000000	0.035919
564.000000	0.036077
563.000000	0.036171
562.000000	0.036150
561.000000	0.036207
560.000000	0.036272
559.000000	0.036401
558.000000	0.036336
557.000000	0.036584
556.000000	0.036685
555.000000	0.036660
554.000000	0.036776
553.000000	0.036893
552.000000	0.036920
551.000000	0.036931
550.000000	0.037078
549.000000	0.037130
548.000000	0.037143
547.000000	0.037238
546.000000	0.037488
545.000000	0.037490
544.000000	0.037521
543.000000	0.037645
542.000000	0.037712
541.000000	0.037793
540.000000	0.037836
539.000000	0.038015
538.000000	0.038079
537.000000	0.038037
536.000000	0.038098
535.000000	0.038313
534.000000	0.038339
533.000000	0.038340
532.000000	0.038477
531.000000	0.038532
530.000000	0.038539
529.000000	0.038718
528.000000	0.038818
527.000000	0.038804
526.000000	0.038792
525.000000	0.038872
524.000000	0.038956
523.000000	0.039067
522.000000	0.039123
521.000000	0.039205
520.000000	0.039300
519.000000	0.039293
518.000000	0.039287
517.000000	0.039483
516.000000	0.039557
515.000000	0.039545
514.000000	0.039649
513.000000	0.039721
512.000000	0.039678
511.000000	0.039735
510.000000	0.039864
509.000000	0.039857
508.000000	0.039801
507.000000	0.039856
506.000000	0.040054
505.000000	0.040140
504.000000	0.040125
503.000000	0.040236
502.000000	0.040287
501.000000	0.040254
500.000000	0.040339
499.000000	0.040538
498.000000	0.040626
497.000000	0.040601
496.000000	0.040646
495.000000	0.040716
494.000000	0.040759
493.000000	0.040838
492.000000	0.041023
491.000000	0.041122
490.000000	0.041110
489.000000	0.041138
488.000000	0.041255
487.000000	0.041322
486.000000	0.041319
485.000000	0.041374
484.000000	0.041515
483.000000	0.041556
482.000000	0.041533
481.000000	0.041665
480.000000	0.041768
479.000000	0.041793
478.000000	0.041910
477.000000	0.042005
476.000000	0.042080
475.000000	0.042156
474.000000	0.042322
473.000000	0.042526
472.000000	0.042548
471.000000	0.042554
470.000000	0.042807
469.000000	0.042976
468.000000	0.043055
467.000000	0.043240
466.000000	0.043468
465.000000	0.043495
464.000000	0.043627
463.000000	0.043842
462.000000	0.044069
461.000000	0.044114
460.000000	0.044304
459.000000	0.044452
458.000000	0.044562
457.000000	0.044761
456.000000	0.045032
455.000000	0.045300
454.000000	0.045427
453.000000	0.045478
452.000000	0.045730
451.000000	0.046011
450.000000	0.046117
449.000000	0.046298
448.000000	0.046668
447.000000	0.046813
446.000000	0.046921
445.000000	0.047206
444.000000	0.047548
443.000000	0.047688
442.000000	0.047830
441.000000	0.048018
440.000000	0.048410
439.000000	0.048631
438.000000	0.048807
437.000000	0.049173
436.000000	0.049471
435.000000	0.049528
434.000000	0.049900
433.000000	0.050296
432.000000	0.050460
431.000000	0.050779
430.000000	0.051145
429.000000	0.051306
428.000000	0.051595
427.000000	0.052007
426.000000	0.052390
425.000000	0.052696
424.000000	0.052966
423.000000	0.053241
422.000000	0.053683
421.000000	0.054024
420.000000	0.054327
419.000000	0.054766
418.000000	0.055169
417.000000	0.055306
416.000000	0.055734
415.000000	0.056324
414.000000	0.056538
413.000000	0.056861
412.000000	0.057326
411.000000	0.057689
410.000000	0.058125
409.000000	0.058485
408.000000	0.058981
407.000000	0.059315
406.000000	0.059633
405.000000	0.060056
404.000000	0.060702
403.000000	0.061038
402.000000	0.061484
401.000000	0.062021
400.000000	0.062549
399.000000	0.062888
398.000000	0.063310
397.000000	0.064016
396.000000	0.064535
395.000000	0.064907
394.000000	0.065511
393.000000	0.066124
392.000000	0.066595
391.000000	0.066955
390.000000	0.067653
389.000000	0.068372
388.000000	0.068876
387.000000	0.069491
386.000000	0.070233
385.000000	0.070805
384.000000	0.071393
383.000000	0.072135
382.000000	0.072893
381.000000	0.073374
380.000000	0.074061
379.000000	0.075038
378.000000	0.075804
377.000000	0.076220
376.000000	0.077238
375.000000	0.078003
374.000000	0.078774
373.000000	0.079626
372.000000	0.080604
371.000000	0.081450
370.000000	0.082154
369.000000	0.083099
368.000000	0.084057
367.000000	0.084965
366.000000	0.085772
365.000000	0.086775
364.000000	0.087898
363.000000	0.088782
362.000000	0.089877
361.000000	0.090917
360.000000	0.091889
359.000000	0.092941
358.000000	0.094096
357.000000	0.095399
356.000000	0.096342
355.000000	0.097605
354.000000	0.098914
353.000000	0.099989
352.000000	0.101103
351.000000	0.102567
350.000000	0.103902
349.000000	0.105140
348.000000	0.106345
347.000000	0.107802
346.000000	0.109363
345.000000	0.110605
344.000000	0.112129
343.000000	0.113691
342.000000	0.115181
341.000000	0.116634
340.000000	0.118371
339.000000	0.120128
338.000000	0.121733
337.000000	0.123366
336.000000	0.125178
335.000000	0.126993
334.000000	0.128786
333.000000	0.130802
332.000000	0.132810
331.000000	0.134751
330.000000	0.136692
329.000000	0.138852
328.000000	0.141074
327.000000	0.143231
326.000000	0.145397
325.000000	0.147924
324.000000	0.150169
323.000000	0.152488
322.000000	0.155176
321.000000	0.157806
320.000000	0.160385
319.000000	0.162954
318.000000	0.165553
317.000000	0.168100
316.000000	0.170943
315.000000	0.174081
314.000000	0.177108
313.000000	0.180312
312.000000	0.183730
311.000000	0.187046
310.000000	0.190549
309.000000	0.194264
308.000000	0.198059
307.000000	0.201883
306.000000	0.205930
305.000000	0.210096
304.000000	0.214391
303.000000	0.218882
302.000000	0.223527
301.000000	0.228423
300.000000	0.233461
299.000000	0.238516
298.000000	0.243904
297.000000	0.249516
296.000000	0.255065
295.000000	0.260859
294.000000	0.267074
293.000000	0.273407
292.000000	0.279879
291.000000	0.286652
290.000000	0.293632
289.000000	0.300541
288.000000	0.307392
287.000000	0.314474
286.000000	0.321867
285.000000	0.329140
284.000000	0.336325
283.000000	0.343704
282.000000	0.351040
281.000000	0.358328
280.000000	0.365908
279.000000	0.373437
278.000000	0.380768
277.000000	0.388130
276.000000	0.395564
275.000000	0.402961
274.000000	0.410430
273.000000	0.417973
272.000000	0.425463
271.000000	0.432777
270.000000	0.439984
269.000000	0.447129
268.000000	0.454154
267.000000	0.461089
266.000000	0.467830
265.000000	0.474583
264.000000	0.481108
263.000000	0.487276
262.000000	0.493469
261.000000	0.499690
260.000000	0.505463
259.000000	0.511161
258.000000	0.516765
257.000000	0.522134
256.000000	0.527239
255.000000	0.532626
254.000000	0.537843
253.000000	0.543008
252.000000	0.548261
251.000000	0.553597
250.000000	0.559066
249.000000	0.564703
248.000000	0.570441
247.000000	0.576838
246.000000	0.583686
245.000000	0.590550
244.000000	0.598067
243.000000	0.606196
242.000000	0.614618
241.000000	0.623719
240.000000	0.633478
239.000000	0.643484
238.000000	0.654304
237.000000	0.665509
236.000000	0.677436
235.000000	0.689896
234.000000	0.703026
233.000000	0.716685
232.000000	0.730899
231.000000	0.745936
230.000000	0.761318
229.000000	0.777742
228.000000	0.794646
227.000000	0.812771
226.000000	0.832627
225.000000	0.854756
224.000000	0.879233
223.000000	0.906847
222.000000	0.939169
221.000000	0.977032
220.000000	1.022457
219.000000	1.077135
218.000000	1.143834
217.000000	1.225435
216.000000	1.326254
215.000000	1.449945
214.000000	1.601302
213.000000	1.787278
212.000000	2.008840
211.000000	2.272089
210.000000	2.579625
209.000000	2.915831
208.000000	3.236290
207.000000	3.512467
206.000000	3.658859
205.000000	3.649055
204.000000	3.622109
203.000000	3.560454
202.000000	3.399692
201.000000	3.442624
200.000000	3.419461
