PE UV       SUBTECH     SPECTRUM    ASCII       PEDS        4.00        	
-1	
TV205A310810.Sample.Raw.asc	
10.9.2003	
12:40:47.00	
10.9.2003	
12:40:47.00	
Hermanni Kaartokallio	
	
200.000000	
1	
Lambda 650	
650N8121101	
PerkinElmer UV WinLab 6.0.2.0723 / 1.61.00 Lambda 650	
	
0	
0	
2	
0	
0	
UV/VIS	
1	
1	
1	
uv/vis/nir detector	
0	
0	
0	
0	
Fix	
 	
0	
0.24	
0	
0	
0	
 	
 	
 	
0	
 	
0	
319.2	
0	
Front	
100	
 	
 	
 	
0	
0	
0	
 	
0	
 	
 	
 	
0	
 	
 	
0	
0	
0	
0	
0	
 	
 	
 	
 	
0	
0	
#HDR	
-1	
-1	
#GR	
nm	
A	
1.0	
0.0	
800.000000	
-1.000000	
601	
8	
3.659371	
0.034652	
#DATA	
800.000000	0.078210
799.000000	0.078763
798.000000	0.079498
797.000000	0.079824
796.000000	0.079957
795.000000	0.080573
794.000000	0.081060
793.000000	0.081221
792.000000	0.081701
791.000000	0.082405
790.000000	0.082825
789.000000	0.083030
788.000000	0.083616
787.000000	0.084251
786.000000	0.084461
785.000000	0.084918
784.000000	0.085433
783.000000	0.085829
782.000000	0.086040
781.000000	0.086430
780.000000	0.086855
779.000000	0.087268
778.000000	0.087420
777.000000	0.087801
776.000000	0.088090
775.000000	0.088321
774.000000	0.088433
773.000000	0.088781
772.000000	0.089034
771.000000	0.089044
770.000000	0.089209
769.000000	0.089538
768.000000	0.089496
767.000000	0.089660
766.000000	0.089832
765.000000	0.090030
764.000000	0.090048
763.000000	0.090086
762.000000	0.090061
761.000000	0.090150
760.000000	0.090009
759.000000	0.090100
758.000000	0.090200
757.000000	0.090080
756.000000	0.089879
755.000000	0.090142
754.000000	0.090173
753.000000	0.090042
752.000000	0.090017
751.000000	0.090130
750.000000	0.090097
749.000000	0.090087
748.000000	0.090125
747.000000	0.090176
746.000000	0.090092
745.000000	0.089977
744.000000	0.089913
743.000000	0.089841
742.000000	0.089608
741.000000	0.089299
740.000000	0.088973
739.000000	0.088224
738.000000	0.087344
737.000000	0.086323
736.000000	0.085017
735.000000	0.083312
734.000000	0.081255
733.000000	0.079076
732.000000	0.076574
731.000000	0.073974
730.000000	0.071418
729.000000	0.069049
728.000000	0.066870
727.000000	0.064788
726.000000	0.063153
725.000000	0.061757
724.000000	0.060281
723.000000	0.058882
722.000000	0.057753
721.000000	0.056505
720.000000	0.055201
719.000000	0.054233
718.000000	0.053167
717.000000	0.052004
716.000000	0.050971
715.000000	0.049989
714.000000	0.048999
713.000000	0.048033
712.000000	0.047198
711.000000	0.046527
710.000000	0.045820
709.000000	0.045130
708.000000	0.044546
707.000000	0.044063
706.000000	0.043528
705.000000	0.043022
704.000000	0.042568
703.000000	0.042090
702.000000	0.041749
701.000000	0.041504
700.000000	0.041164
699.000000	0.040837
698.000000	0.040549
697.000000	0.040237
696.000000	0.040012
695.000000	0.039812
694.000000	0.039650
693.000000	0.039567
692.000000	0.039390
691.000000	0.039216
690.000000	0.039216
689.000000	0.039200
688.000000	0.039120
687.000000	0.039172
686.000000	0.039206
685.000000	0.039152
684.000000	0.039171
683.000000	0.039254
682.000000	0.039311
681.000000	0.039359
680.000000	0.039417
679.000000	0.039486
678.000000	0.039650
677.000000	0.039647
676.000000	0.039588
675.000000	0.039639
674.000000	0.039671
673.000000	0.039759
672.000000	0.039879
671.000000	0.039877
670.000000	0.039897
669.000000	0.039953
668.000000	0.040024
667.000000	0.040000
666.000000	0.039955
665.000000	0.040036
664.000000	0.039982
663.000000	0.039958
662.000000	0.039912
661.000000	0.039868
660.000000	0.039800
659.000000	0.039674
658.000000	0.039592
657.000000	0.039495
656.000000	0.039313
655.000000	0.039138
654.000000	0.039031
653.000000	0.038911
652.000000	0.038748
651.000000	0.038689
650.000000	0.038699
649.000000	0.038569
648.000000	0.038448
647.000000	0.038416
646.000000	0.038421
645.000000	0.038362
644.000000	0.038274
643.000000	0.038243
642.000000	0.038215
641.000000	0.038087
640.000000	0.038035
639.000000	0.038076
638.000000	0.037952
637.000000	0.037974
636.000000	0.037890
635.000000	0.037790
634.000000	0.037653
633.000000	0.037665
632.000000	0.037637
631.000000	0.037606
630.000000	0.037509
629.000000	0.037402
628.000000	0.037329
627.000000	0.037326
626.000000	0.037324
625.000000	0.037380
624.000000	0.037346
623.000000	0.037305
622.000000	0.037169
621.000000	0.037357
620.000000	0.037306
619.000000	0.037260
618.000000	0.037220
617.000000	0.037317
616.000000	0.037271
615.000000	0.037348
614.000000	0.037362
613.000000	0.037364
612.000000	0.037358
611.000000	0.037289
610.000000	0.037303
609.000000	0.037436
608.000000	0.037374
607.000000	0.037328
606.000000	0.037401
605.000000	0.037347
604.000000	0.037290
603.000000	0.037282
602.000000	0.037115
601.000000	0.036817
600.000000	0.036642
599.000000	0.036535
598.000000	0.036209
597.000000	0.035923
596.000000	0.035759
595.000000	0.035647
594.000000	0.035446
593.000000	0.035473
592.000000	0.035269
591.000000	0.035107
590.000000	0.035097
589.000000	0.034956
588.000000	0.034989
587.000000	0.034915
586.000000	0.034793
585.000000	0.034793
584.000000	0.034812
583.000000	0.034771
582.000000	0.034715
581.000000	0.034826
580.000000	0.034745
579.000000	0.034652
578.000000	0.034805
577.000000	0.034728
576.000000	0.034682
575.000000	0.034772
574.000000	0.034797
573.000000	0.034767
572.000000	0.034800
571.000000	0.034843
570.000000	0.034784
569.000000	0.034871
568.000000	0.034842
567.000000	0.034848
566.000000	0.034978
565.000000	0.035032
564.000000	0.035098
563.000000	0.035147
562.000000	0.035233
561.000000	0.035202
560.000000	0.035240
559.000000	0.035483
558.000000	0.035459
557.000000	0.035601
556.000000	0.035716
555.000000	0.035761
554.000000	0.035832
553.000000	0.035951
552.000000	0.036089
551.000000	0.036081
550.000000	0.036151
549.000000	0.036162
548.000000	0.036262
547.000000	0.036376
546.000000	0.036523
545.000000	0.036544
544.000000	0.036649
543.000000	0.036687
542.000000	0.036815
541.000000	0.036920
540.000000	0.036981
539.000000	0.037044
538.000000	0.037083
537.000000	0.037184
536.000000	0.037247
535.000000	0.037390
534.000000	0.037384
533.000000	0.037408
532.000000	0.037508
531.000000	0.037555
530.000000	0.037652
529.000000	0.037814
528.000000	0.037832
527.000000	0.037859
526.000000	0.037921
525.000000	0.037993
524.000000	0.038047
523.000000	0.038241
522.000000	0.038274
521.000000	0.038298
520.000000	0.038418
519.000000	0.038498
518.000000	0.038528
517.000000	0.038631
516.000000	0.038704
515.000000	0.038789
514.000000	0.038817
513.000000	0.038849
512.000000	0.038920
511.000000	0.038979
510.000000	0.038947
509.000000	0.038965
508.000000	0.039011
507.000000	0.039044
506.000000	0.039122
505.000000	0.039216
504.000000	0.039292
503.000000	0.039342
502.000000	0.039402
501.000000	0.039452
500.000000	0.039530
499.000000	0.039626
498.000000	0.039732
497.000000	0.039813
496.000000	0.039850
495.000000	0.039940
494.000000	0.040035
493.000000	0.040085
492.000000	0.040151
491.000000	0.040200
490.000000	0.040312
489.000000	0.040384
488.000000	0.040437
487.000000	0.040521
486.000000	0.040567
485.000000	0.040595
484.000000	0.040688
483.000000	0.040798
482.000000	0.040885
481.000000	0.040945
480.000000	0.040990
479.000000	0.041064
478.000000	0.041135
477.000000	0.041190
476.000000	0.041358
475.000000	0.041486
474.000000	0.041618
473.000000	0.041734
472.000000	0.041780
471.000000	0.041870
470.000000	0.042057
469.000000	0.042215
468.000000	0.042388
467.000000	0.042561
466.000000	0.042665
465.000000	0.042822
464.000000	0.043021
463.000000	0.043158
462.000000	0.043343
461.000000	0.043544
460.000000	0.043693
459.000000	0.043776
458.000000	0.043994
457.000000	0.044225
456.000000	0.044428
455.000000	0.044617
454.000000	0.044827
453.000000	0.045016
452.000000	0.045224
451.000000	0.045419
450.000000	0.045599
449.000000	0.045832
448.000000	0.046049
447.000000	0.046240
446.000000	0.046515
445.000000	0.046733
444.000000	0.046954
443.000000	0.047207
442.000000	0.047444
441.000000	0.047656
440.000000	0.047959
439.000000	0.048179
438.000000	0.048408
437.000000	0.048709
436.000000	0.049083
435.000000	0.049269
434.000000	0.049573
