PE UV       SUBTECH     SPECTRUM    ASCII       PEDS        4.00        	
-1	
KI300061010_1CM_CELL.Sample.Raw.asc	
10.10.2008	
10:22:16.00	
10.10.2008	
10:22:16.00	
Hermanni Kaartokallio	
	
200.000000	
1	
Lambda 650	
650N8121101	
PerkinElmer UV WinLab 6.0.2.0723 / 1.61.00 Lambda 650	
	
0	
0	
2	
0	
0	
UV/VIS	
1	
1	
1	
uv/vis/nir detector	
0	
0	
0	
0	
Fix	
 	
0	
0.24	
0	
0	
0	
 	
 	
 	
0	
 	
0	
319.2	
0	
Front	
100	
 	
 	
 	
0	
0	
0	
 	
0	
 	
 	
 	
0	
 	
 	
0	
0	
0	
0	
0	
 	
 	
 	
 	
0	
0	
#HDR	
-1	
-1	
#GR	
nm	
A	
1.0	
0.0	
800.000000	
-1.000000	
601	
8	
10.000000	
0.036321	
#DATA	
800.000000	10.000000
799.000000	0.043187
798.000000	0.043189
797.000000	0.043167
796.000000	0.043635
795.000000	0.043687
794.000000	0.043649
793.000000	0.043736
792.000000	0.043862
791.000000	0.043890
790.000000	0.044069
789.000000	0.044058
788.000000	0.044237
787.000000	0.044315
786.000000	0.044203
785.000000	0.044406
784.000000	0.044748
783.000000	0.044679
782.000000	0.044699
781.000000	0.044824
780.000000	0.044790
779.000000	0.044841
778.000000	0.045147
777.000000	0.045001
776.000000	0.044868
775.000000	0.044857
774.000000	0.044958
773.000000	0.045066
772.000000	0.045121
771.000000	0.045090
770.000000	0.045269
769.000000	0.045157
768.000000	0.045082
767.000000	0.045227
766.000000	0.045389
765.000000	0.045218
764.000000	0.045247
763.000000	0.045346
762.000000	0.045251
761.000000	0.045264
760.000000	0.045367
759.000000	0.045321
758.000000	0.045254
757.000000	0.045235
756.000000	0.045343
755.000000	0.045420
754.000000	0.045506
753.000000	0.045530
752.000000	0.045681
751.000000	0.045713
750.000000	0.045578
749.000000	0.045751
748.000000	0.045913
747.000000	0.045787
746.000000	0.045954
745.000000	0.046053
744.000000	0.045968
743.000000	0.045915
742.000000	0.046010
741.000000	0.045987
740.000000	0.045925
739.000000	0.045752
738.000000	0.045569
737.000000	0.045459
736.000000	0.045385
735.000000	0.045072
734.000000	0.044810
733.000000	0.044271
732.000000	0.043664
731.000000	0.043325
730.000000	0.042976
729.000000	0.042415
728.000000	0.041934
727.000000	0.041490
726.000000	0.041064
725.000000	0.040801
724.000000	0.040683
723.000000	0.040482
722.000000	0.040145
721.000000	0.039819
720.000000	0.039560
719.000000	0.039505
718.000000	0.039400
717.000000	0.039067
716.000000	0.038845
715.000000	0.038530
714.000000	0.038256
713.000000	0.038170
712.000000	0.038019
711.000000	0.037711
710.000000	0.037513
709.000000	0.037386
708.000000	0.037232
707.000000	0.037142
706.000000	0.037055
705.000000	0.036955
704.000000	0.036880
