PE UV       SUBTECH     SPECTRUM    ASCII       PEDS        4.00        	
-1	
KY00040510_1CM_CELL.Sample.Raw.asc	
10.10.2015	
14:52:30.00	
10.10.2015	
14:52:30.00	
Hermanni Kaartokallio	
	
200.000000	
1	
Lambda 650	
650N8121101	
PerkinElmer UV WinLab 6.0.2.0723 / 1.61.00 Lambda 650	
	
0	
0	
2	
0	
0	
UV/VIS	
1	
1	
1	
uv/vis/nir detector	
0	
0	
0	
0	
Fix	
 	
0	
0.24	
0	
0	
0	
 	
 	
 	
0	
 	
0	
319.2	
0	
Front	
100	
 	
 	
 	
0	
0	
0	
 	
0	
 	
 	
 	
0	
 	
 	
0	
0	
0	
0	
0	
 	
 	
 	
 	
0	
0	
#HDR	
-1	
-1	
#GR	
nm	
A	
1.0	
0.0	
800.000000	
-1.000000	
601	
8	
2.244732	
0.033918	
#DATA	
800.000000	0.043793
799.000000	0.043856
798.000000	0.044305
797.000000	0.044247
796.000000	0.044386
795.000000	0.044478
794.000000	0.044563
793.000000	0.044555
792.000000	0.044544
791.000000	0.044520
790.000000	0.044625
789.000000	0.044529
788.000000	0.044574
787.000000	0.044731
786.000000	0.044807
785.000000	0.044717
784.000000	0.045020
783.000000	0.045099
782.000000	0.045069
781.000000	0.045096
780.000000	0.045247
779.000000	0.045122
778.000000	0.045109
777.000000	0.045053
776.000000	0.045142
775.000000	0.045141
774.000000	0.045041
773.000000	0.044819
772.000000	0.044892
771.000000	0.044767
770.000000	0.044698
769.000000	0.044639
768.000000	0.044737
767.000000	0.044285
766.000000	0.044389
765.000000	0.044488
764.000000	0.044421
763.000000	0.044318
762.000000	0.044391
761.000000	0.044219
760.000000	0.044146
759.000000	0.044224
758.000000	0.044308
757.000000	0.044347
756.000000	0.044446
755.000000	0.044411
754.000000	0.044562
753.000000	0.044624
752.000000	0.044680
751.000000	0.044841
750.000000	0.045092
749.000000	0.044914
748.000000	0.045110
747.000000	0.045265
746.000000	0.045238
745.000000	0.045271
744.000000	0.045477
743.000000	0.045318
742.000000	0.045309
741.000000	0.045245
740.000000	0.045308
739.000000	0.045240
738.000000	0.044919
737.000000	0.044584
736.000000	0.044457
735.000000	0.043992
734.000000	0.043505
733.000000	0.043130
732.000000	0.042603
731.000000	0.041772
730.000000	0.041298
729.000000	0.040773
728.000000	0.040344
727.000000	0.039980
726.000000	0.039618
725.000000	0.039252
724.000000	0.038973
723.000000	0.038697
722.000000	0.038495
721.000000	0.038306
720.000000	0.037954
719.000000	0.037622
718.000000	0.037509
717.000000	0.037229
716.000000	0.036928
715.000000	0.036732
714.000000	0.036498
713.000000	0.036172
712.000000	0.035968
711.000000	0.035761
710.000000	0.035553
709.000000	0.035388
708.000000	0.035314
707.000000	0.035147
706.000000	0.034871
705.000000	0.034633
704.000000	0.034567
703.000000	0.034456
702.000000	0.034411
701.000000	0.034321
700.000000	0.034223
699.000000	0.034199
698.000000	0.033975
697.000000	0.033985
696.000000	0.034069
695.000000	0.033930
694.000000	0.033918
693.000000	0.034015
692.000000	0.034139
691.000000	0.034183
690.000000	0.034169
689.000000	0.034283
688.000000	0.034346
687.000000	0.034315
686.000000	0.034369
685.000000	0.034382
684.000000	0.034369
683.000000	0.034522
682.000000	0.034756
681.000000	0.034797
680.000000	0.034910
679.000000	0.035060
678.000000	0.035117
677.000000	0.035204
676.000000	0.035440
675.000000	0.035437
674.000000	0.035445
673.000000	0.035439
672.000000	0.035551
671.000000	0.035630
670.000000	0.035685
669.000000	0.035684
668.000000	0.035769
667.000000	0.035644
666.000000	0.035513
665.000000	0.035497
664.000000	0.035602
663.000000	0.035446
662.000000	0.035368
661.000000	0.035354
660.000000	0.035412
659.000000	0.035403
658.000000	0.035407
657.000000	0.035227
656.000000	0.035189
655.000000	0.035145
654.000000	0.035165
653.000000	0.035194
652.000000	0.035269
651.000000	0.035102
650.000000	0.035199
649.000000	0.035309
648.000000	0.035205
647.000000	0.035166
646.000000	0.035340
645.000000	0.035215
644.000000	0.035228
643.000000	0.035309
642.000000	0.035413
641.000000	0.035333
640.000000	0.035428
639.000000	0.035378
638.000000	0.035497
637.000000	0.035439
636.000000	0.035382
635.000000	0.035619
634.000000	0.035623
633.000000	0.035514
632.000000	0.035602
631.000000	0.035654
630.000000	0.035668
629.000000	0.035716
628.000000	0.035965
627.000000	0.035880
626.000000	0.035895
625.000000	0.035912
624.000000	0.036060
623.000000	0.036177
622.000000	0.036277
621.000000	0.036205
620.000000	0.036477
619.000000	0.036423
618.000000	0.036439
617.000000	0.036624
616.000000	0.036866
615.000000	0.036684
614.000000	0.036770
613.000000	0.036947
612.000000	0.036934
611.000000	0.036985
610.000000	0.037203
609.000000	0.037096
608.000000	0.037288
607.000000	0.037206
606.000000	0.037215
605.000000	0.037359
604.000000	0.037339
603.000000	0.037208
602.000000	0.037404
601.000000	0.037355
600.000000	0.037307
599.000000	0.037346
598.000000	0.037302
597.000000	0.037395
596.000000	0.037120
595.000000	0.037280
594.000000	0.037280
593.000000	0.037115
592.000000	0.037039
591.000000	0.037193
590.000000	0.036973
589.000000	0.037107
588.000000	0.037031
587.000000	0.037090
586.000000	0.037049
585.000000	0.037075
584.000000	0.036985
583.000000	0.037135
582.000000	0.037009
581.000000	0.036964
580.000000	0.037093
579.000000	0.037133
578.000000	0.036854
577.000000	0.037208
576.000000	0.037263
575.000000	0.037171
574.000000	0.037232
573.000000	0.037390
572.000000	0.037344
571.000000	0.037453
570.000000	0.037524
569.000000	0.037736
568.000000	0.037783
567.000000	0.037909
566.000000	0.038025
565.000000	0.038094
564.000000	0.038143
563.000000	0.038193
562.000000	0.038397
561.000000	0.038338
560.000000	0.038485
559.000000	0.038545
558.000000	0.038751
557.000000	0.038711
556.000000	0.038830
555.000000	0.039010
554.000000	0.039086
553.000000	0.038985
