PE UV       SUBTECH     SPECTRUM    ASCII       PEDS        4.00        	
-1	
KY013M040510_1CM_CELL.Sample.Raw.asc	
10.10.2015	
15:05:29.00	
10.10.2015	
15:05:29.00	
Hermanni Kaartokallio	
	
200.000000	
1	
Lambda 650	
650N8121101	
PerkinElmer UV WinLab 6.0.2.0723 / 1.61.00 Lambda 650	
	
0	
0	
2	
0	
0	
UV/VIS	
1	
1	
1	
uv/vis/nir detector	
0	
0	
0	
0	
Fix	
 	
0	
0.24	
0	
0	
0	
 	
 	
 	
0	
 	
0	
319.2	
0	
Front	
100	
 	
 	
 	
0	
0	
0	
 	
0	
 	
 	
 	
0	
 	
 	
0	
0	
0	
0	
0	
 	
 	
 	
 	
0	
0	
#HDR	
-1	
-1	
#GR	
nm	
A	
1.0	
0.0	
800.000000	
-1.000000	
601	
8	
2.334358	
0.032687	
#DATA	
800.000000	0.043453
799.000000	0.043563
798.000000	0.043845
797.000000	0.044050
796.000000	0.044045
795.000000	0.043927
794.000000	0.044107
793.000000	0.044254
792.000000	0.044301
791.000000	0.044220
790.000000	0.044441
789.000000	0.044205
788.000000	0.044258
787.000000	0.044394
786.000000	0.044381
785.000000	0.044563
784.000000	0.044628
783.000000	0.044634
782.000000	0.044694
781.000000	0.044638
780.000000	0.044758
779.000000	0.044895
778.000000	0.044848
777.000000	0.044583
776.000000	0.044699
775.000000	0.044725
774.000000	0.044629
773.000000	0.044463
772.000000	0.044606
771.000000	0.044412
770.000000	0.044241
769.000000	0.044224
768.000000	0.044314
767.000000	0.044140
766.000000	0.044069
765.000000	0.044000
764.000000	0.044024
763.000000	0.043875
762.000000	0.043853
761.000000	0.043835
760.000000	0.043773
759.000000	0.043675
758.000000	0.043791
757.000000	0.043833
756.000000	0.043945
755.000000	0.044002
754.000000	0.044143
753.000000	0.044176
752.000000	0.044248
751.000000	0.044302
750.000000	0.044582
749.000000	0.044587
748.000000	0.044638
747.000000	0.044639
746.000000	0.044730
745.000000	0.044779
744.000000	0.044944
743.000000	0.044883
742.000000	0.044934
741.000000	0.044656
740.000000	0.044600
739.000000	0.044632
738.000000	0.044450
737.000000	0.044158
736.000000	0.043834
735.000000	0.043379
734.000000	0.042954
733.000000	0.042499
732.000000	0.042074
731.000000	0.041405
730.000000	0.040762
729.000000	0.040154
728.000000	0.039842
727.000000	0.039472
726.000000	0.039132
725.000000	0.038851
724.000000	0.038592
723.000000	0.038191
722.000000	0.037897
721.000000	0.037705
720.000000	0.037465
719.000000	0.037147
718.000000	0.037000
717.000000	0.036725
716.000000	0.036409
715.000000	0.036122
714.000000	0.035852
713.000000	0.035676
712.000000	0.035360
711.000000	0.034992
710.000000	0.034787
709.000000	0.034571
708.000000	0.034374
707.000000	0.034238
706.000000	0.034070
705.000000	0.033797
704.000000	0.033547
703.000000	0.033516
702.000000	0.033492
701.000000	0.033311
700.000000	0.033131
699.000000	0.033004
698.000000	0.032870
697.000000	0.032782
696.000000	0.032824
695.000000	0.032873
694.000000	0.032778
693.000000	0.032687
692.000000	0.032791
691.000000	0.032955
690.000000	0.032911
689.000000	0.033001
688.000000	0.033209
687.000000	0.033211
686.000000	0.033391
685.000000	0.033471
684.000000	0.033490
683.000000	0.033583
682.000000	0.033775
681.000000	0.033948
680.000000	0.034087
679.000000	0.034139
678.000000	0.034163
677.000000	0.034298
676.000000	0.034486
