PE UV       SUBTECH     SPECTRUM    ASCII       PEDS        4.00        	
-1	
KY301A201010_1CM_CELL.Sample.Raw.asc	
10.10.2029	
09:48:20.00	
10.10.2029	
09:48:20.00	
Hermanni Kaartokallio	
	
200.000000	
1	
Lambda 650	
650N8121101	
PerkinElmer UV WinLab 6.0.2.0723 / 1.61.00 Lambda 650	
	
0	
0	
2	
0	
0	
UV/VIS	
1	
1	
1	
150mm sphere / downward view	
0	
0	
0	
0	
Fix	
 	
0	
0.24	
0	
0	
0	
 	
 	
 	
0	
 	
0	
319.2	
0	
Front	
100	
 	
 	
 	
0	
0	
0	
 	
0	
 	
 	
 	
0	
 	
 	
0	
0	
0	
0	
0	
 	
 	
 	
 	
0	
0	
#HDR	
-1	
-1	
#GR	
nm	
A	
1.0	
0.0	
800.000000	
-1.000000	
601	
8	
2.358417	
0.036454	
#DATA	
800.000000	0.041713
799.000000	0.041784
798.000000	0.042113
797.000000	0.042105
796.000000	0.042466
795.000000	0.042468
794.000000	0.042394
793.000000	0.042409
792.000000	0.043180
791.000000	0.042930
790.000000	0.043008
789.000000	0.042609
788.000000	0.043217
787.000000	0.043422
786.000000	0.043926
785.000000	0.043658
784.000000	0.043370
783.000000	0.043611
782.000000	0.044192
781.000000	0.044231
780.000000	0.043599
779.000000	0.044086
778.000000	0.044117
777.000000	0.044562
776.000000	0.044606
775.000000	0.044521
774.000000	0.044362
773.000000	0.044172
772.000000	0.044499
771.000000	0.044468
770.000000	0.044649
769.000000	0.044625
768.000000	0.044993
767.000000	0.044577
766.000000	0.044677
765.000000	0.045134
764.000000	0.045049
763.000000	0.045114
762.000000	0.045012
761.000000	0.044777
760.000000	0.044622
759.000000	0.045007
758.000000	0.044870
757.000000	0.045159
756.000000	0.045080
755.000000	0.045019
754.000000	0.045491
753.000000	0.045183
752.000000	0.045066
751.000000	0.045162
750.000000	0.045161
749.000000	0.044937
748.000000	0.044967
747.000000	0.045293
746.000000	0.044784
745.000000	0.045147
744.000000	0.045125
743.000000	0.045029
742.000000	0.045193
741.000000	0.044922
740.000000	0.044569
739.000000	0.044608
