PE UV       SUBTECH     SPECTRUM    ASCII       PEDS        4.00        	
-1	
TV300021110.Sample.Raw.asc	
10.11.2012	
12:12:55.00	
10.11.2012	
12:12:55.00	
Hermanni Kaartokallio	
	
200.000000	
1	
Lambda 650	
650N8121101	
PerkinElmer UV WinLab 6.0.2.0723 / 1.61.00 Lambda 650	
	
0	
0	
2	
0	
0	
UV/VIS	
1	
1	
1	
uv/vis/nir detector	
0	
0	
0	
0	
Fix	
 	
0	
0.24	
0	
0	
0	
 	
 	
 	
0	
 	
0	
319.2	
0	
Front	
100	
 	
 	
 	
0	
0	
0	
 	
0	
 	
 	
 	
0	
 	
 	
0	
0	
0	
0	
0	
 	
 	
 	
 	
0	
0	
#HDR	
-1	
-1	
#GR	
nm	
A	
1.0	
0.0	
800.000000	
-1.000000	
601	
8	
3.377184	
0.042876	
#DATA	
800.000000	0.079934
799.000000	0.080401
798.000000	0.081081
797.000000	0.081531
796.000000	0.081664
795.000000	0.082213
794.000000	0.082682
793.000000	0.083257
792.000000	0.083470
791.000000	0.084043
790.000000	0.084632
789.000000	0.084953
788.000000	0.085272
787.000000	0.085902
786.000000	0.086173
785.000000	0.086535
784.000000	0.086960
783.000000	0.087441
782.000000	0.087865
781.000000	0.088181
780.000000	0.088495
779.000000	0.088902
778.000000	0.089136
777.000000	0.089411
776.000000	0.089783
775.000000	0.090174
774.000000	0.090204
773.000000	0.090567
772.000000	0.090851
771.000000	0.090926
770.000000	0.091065
769.000000	0.091247
768.000000	0.091391
767.000000	0.091541
766.000000	0.091634
765.000000	0.091827
764.000000	0.091757
763.000000	0.091801
762.000000	0.091819
761.000000	0.092020
760.000000	0.092099
759.000000	0.091950
758.000000	0.092018
757.000000	0.092124
756.000000	0.092089
755.000000	0.092176
754.000000	0.092197
753.000000	0.092186
752.000000	0.092117
751.000000	0.092141
750.000000	0.092192
749.000000	0.092255
748.000000	0.092100
747.000000	0.092035
746.000000	0.092071
745.000000	0.091958
744.000000	0.091850
743.000000	0.091891
742.000000	0.091668
741.000000	0.091337
740.000000	0.091038
739.000000	0.090523
738.000000	0.089700
737.000000	0.088652
736.000000	0.087341
735.000000	0.085713
734.000000	0.083809
733.000000	0.081585
732.000000	0.079217
731.000000	0.076722
730.000000	0.074090
729.000000	0.071639
728.000000	0.069521
727.000000	0.067609
726.000000	0.065867
725.000000	0.064389
724.000000	0.062964
723.000000	0.061612
722.000000	0.060422
721.000000	0.059249
720.000000	0.058077
719.000000	0.056942
718.000000	0.055886
717.000000	0.054903
716.000000	0.053803
715.000000	0.052756
714.000000	0.051856
713.000000	0.051039
712.000000	0.050221
711.000000	0.049479
710.000000	0.048831
709.000000	0.048158
708.000000	0.047500
707.000000	0.047017
706.000000	0.046607
705.000000	0.046116
704.000000	0.045662
703.000000	0.045301
702.000000	0.044999
701.000000	0.044679
700.000000	0.044338
699.000000	0.044150
698.000000	0.043863
697.000000	0.043567
696.000000	0.043464
695.000000	0.043322
694.000000	0.043156
693.000000	0.043085
692.000000	0.043059
691.000000	0.043004
690.000000	0.042972
689.000000	0.042957
688.000000	0.042876
687.000000	0.043028
686.000000	0.043182
685.000000	0.043123
684.000000	0.043104
683.000000	0.043174
682.000000	0.043297
681.000000	0.043444
680.000000	0.043542
679.000000	0.043618
678.000000	0.043678
677.000000	0.043729
676.000000	0.043805
675.000000	0.043915
674.000000	0.044011
673.000000	0.044091
672.000000	0.044137
671.000000	0.044295
670.000000	0.044394
