PE UV       SUBTECH     SPECTRUM    ASCII       PEDS        4.00        	
-1	
KY204A180810.Sample.Raw.asc	
10.9.2002	
13:05:50.00	
10.9.2002	
13:05:50.00	
Hermanni Kaartokallio	
	
200.000000	
1	
Lambda 650	
650N8121101	
PerkinElmer UV WinLab 6.0.2.0723 / 1.61.00 Lambda 650	
	
0	
0	
2	
0	
0	
UV/VIS	
1	
1	
1	
uv/vis/nir detector	
0	
0	
0	
0	
Fix	
 	
0	
0.24	
0	
0	
0	
 	
 	
 	
0	
 	
0	
319.2	
0	
Front	
100	
 	
 	
 	
0	
0	
0	
 	
0	
 	
 	
 	
0	
 	
 	
0	
0	
0	
0	
0	
 	
 	
 	
 	
0	
0	
#HDR	
-1	
-1	
#GR	
nm	
A	
1.0	
0.0	
800.000000	
-1.000000	
601	
8	
3.531285	
0.035119	
#DATA	
800.000000	0.079242
799.000000	0.079581
798.000000	0.079969
797.000000	0.080524
796.000000	0.080738
795.000000	0.081282
794.000000	0.081606
793.000000	0.082261
792.000000	0.082549
791.000000	0.083029
790.000000	0.083487
789.000000	0.083966
788.000000	0.084307
787.000000	0.084734
786.000000	0.085095
785.000000	0.085566
784.000000	0.085910
783.000000	0.086290
782.000000	0.086738
781.000000	0.087101
780.000000	0.087208
779.000000	0.087567
778.000000	0.087896
777.000000	0.088241
776.000000	0.088475
775.000000	0.088794
774.000000	0.088850
773.000000	0.089028
772.000000	0.089121
771.000000	0.089532
770.000000	0.089478
769.000000	0.089561
768.000000	0.089703
767.000000	0.089888
766.000000	0.089835
765.000000	0.089957
764.000000	0.090124
763.000000	0.090133
762.000000	0.089823
761.000000	0.089929
760.000000	0.090169
759.000000	0.090076
758.000000	0.089763
757.000000	0.089785
756.000000	0.089801
755.000000	0.089718
754.000000	0.089692
753.000000	0.089647
752.000000	0.089599
751.000000	0.089437
750.000000	0.089353
749.000000	0.089446
748.000000	0.089370
747.000000	0.089315
746.000000	0.089309
745.000000	0.089219
744.000000	0.089002
743.000000	0.088905
742.000000	0.088766
741.000000	0.088392
740.000000	0.087968
739.000000	0.087406
738.000000	0.086544
737.000000	0.085515
736.000000	0.084102
735.000000	0.082460
734.000000	0.080573
733.000000	0.078263
732.000000	0.075938
731.000000	0.073631
730.000000	0.071087
729.000000	0.068585
728.000000	0.066491
727.000000	0.064672
726.000000	0.062951
725.000000	0.061510
724.000000	0.060134
723.000000	0.058825
722.000000	0.057503
721.000000	0.056290
720.000000	0.055213
719.000000	0.054120
718.000000	0.053019
717.000000	0.052054
716.000000	0.051055
715.000000	0.049924
714.000000	0.048968
713.000000	0.048152
712.000000	0.047290
711.000000	0.046527
710.000000	0.045840
709.000000	0.045189
708.000000	0.044558
707.000000	0.044050
706.000000	0.043615
705.000000	0.043115
704.000000	0.042645
703.000000	0.042272
702.000000	0.041937
701.000000	0.041620
700.000000	0.041104
699.000000	0.040883
698.000000	0.040823
697.000000	0.040363
696.000000	0.040075
695.000000	0.039980
694.000000	0.039806
693.000000	0.039638
692.000000	0.039516
691.000000	0.039394
690.000000	0.039311
689.000000	0.039363
688.000000	0.039390
687.000000	0.039364
686.000000	0.039408
685.000000	0.039458
684.000000	0.039467
683.000000	0.039495
682.000000	0.039499
681.000000	0.039638
680.000000	0.039748
679.000000	0.039709
678.000000	0.039789
677.000000	0.039833
676.000000	0.039799
675.000000	0.039876
674.000000	0.039991
673.000000	0.040004
672.000000	0.039959
671.000000	0.039982
670.000000	0.040046
669.000000	0.040092
668.000000	0.040088
667.000000	0.040106
666.000000	0.040178
665.000000	0.040155
664.000000	0.040061
663.000000	0.040143
662.000000	0.040165
661.000000	0.040097
660.000000	0.040156
659.000000	0.040166
658.000000	0.039912
657.000000	0.039764
656.000000	0.039693
655.000000	0.039507
654.000000	0.039324
653.000000	0.039234
652.000000	0.039168
651.000000	0.039090
650.000000	0.039063
649.000000	0.039074
648.000000	0.039004
647.000000	0.038921
646.000000	0.038784
645.000000	0.038872
644.000000	0.038801
643.000000	0.038618
642.000000	0.038595
641.000000	0.038642
640.000000	0.038509
639.000000	0.038418
638.000000	0.038424
637.000000	0.038427
636.000000	0.038248
635.000000	0.038286
634.000000	0.038292
633.000000	0.038235
632.000000	0.037992
631.000000	0.038143
630.000000	0.038010
629.000000	0.038034
628.000000	0.037964
627.000000	0.037959
626.000000	0.038023
625.000000	0.037904
624.000000	0.037925
623.000000	0.037948
622.000000	0.037832
621.000000	0.037987
620.000000	0.037974
619.000000	0.038041
618.000000	0.037964
617.000000	0.037963
616.000000	0.037957
615.000000	0.038060
614.000000	0.037881
613.000000	0.037918
612.000000	0.038058
611.000000	0.037981
610.000000	0.037958
609.000000	0.038082
608.000000	0.038121
607.000000	0.038023
606.000000	0.038023
605.000000	0.038400
604.000000	0.038017
603.000000	0.037949
602.000000	0.037894
601.000000	0.037763
600.000000	0.037500
599.000000	0.037158
598.000000	0.037096
597.000000	0.036776
596.000000	0.036597
595.000000	0.036374
594.000000	0.036240
593.000000	0.036177
592.000000	0.035984
591.000000	0.035994
590.000000	0.036102
589.000000	0.035896
588.000000	0.035863
587.000000	0.035797
586.000000	0.035831
585.000000	0.035689
584.000000	0.035831
583.000000	0.035302
582.000000	0.036252
581.000000	0.035620
580.000000	0.035648
579.000000	0.035757
578.000000	0.035813
577.000000	0.035663
576.000000	0.035855
575.000000	0.035855
574.000000	0.035843
573.000000	0.035858
572.000000	0.036093
571.000000	0.035908
570.000000	0.035867
569.000000	0.036004
568.000000	0.035998
567.000000	0.036034
566.000000	0.036165
565.000000	0.036340
564.000000	0.036405
563.000000	0.036503
562.000000	0.036633
561.000000	0.036479
560.000000	0.036477
559.000000	0.036734
558.000000	0.036816
557.000000	0.036368
556.000000	0.035119
555.000000	0.037421
554.000000	0.037212
553.000000	0.037351
552.000000	0.037454
551.000000	0.037599
550.000000	0.037643
549.000000	0.037707
548.000000	0.037869
547.000000	0.038043
546.000000	0.037992
545.000000	0.038089
544.000000	0.038230
543.000000	0.038352
542.000000	0.038357
541.000000	0.038514
540.000000	0.038620
539.000000	0.038633
538.000000	0.038716
537.000000	0.038814
536.000000	0.038900
535.000000	0.039003
534.000000	0.039125
533.000000	0.039265
532.000000	0.039308
531.000000	0.039279
530.000000	0.039391
529.000000	0.039541
528.000000	0.039531
527.000000	0.039609
526.000000	0.039789
525.000000	0.039848
524.000000	0.039842
523.000000	0.039978
522.000000	0.040038
521.000000	0.040201
520.000000	0.040279
519.000000	0.040390
518.000000	0.040505
517.000000	0.040556
516.000000	0.040579
515.000000	0.040776
514.000000	0.040911
513.000000	0.040861
512.000000	0.040884
511.000000	0.041009
510.000000	0.041006
509.000000	0.041021
508.000000	0.041152
507.000000	0.041171
506.000000	0.041125
505.000000	0.041258
504.000000	0.041387
503.000000	0.041412
502.000000	0.041434
501.000000	0.042090
500.000000	0.042247
499.000000	0.041751
498.000000	0.041776
497.000000	0.041976
496.000000	0.042107
495.000000	0.042096
494.000000	0.042275
493.000000	0.042475
492.000000	0.042507
491.000000	0.042540
490.000000	0.042689
489.000000	0.042734
488.000000	0.042828
487.000000	0.042998
486.000000	0.043142
485.000000	0.043169
484.000000	0.043202
483.000000	0.043283
482.000000	0.043433
481.000000	0.043483
480.000000	0.043565
479.000000	0.043806
478.000000	0.043957
477.000000	0.043940
476.000000	0.044044
475.000000	0.044600
474.000000	0.044583
473.000000	0.044539
472.000000	0.044782
471.000000	0.044941
470.000000	0.045043
469.000000	0.045231
468.000000	0.045474
467.000000	0.045637
466.000000	0.045693
465.000000	0.045878
464.000000	0.046188
463.000000	0.046318
462.000000	0.046473
461.000000	0.046761
460.000000	0.046979
459.000000	0.047026
458.000000	0.047394
457.000000	0.047703
456.000000	0.047836
455.000000	0.047986
454.000000	0.048261
453.000000	0.048517
452.000000	0.048756
451.000000	0.048989
450.000000	0.049295
449.000000	0.049578
448.000000	0.049748
447.000000	0.049933
446.000000	0.050293
445.000000	0.050632
444.000000	0.050903
443.000000	0.051316
442.000000	0.051529
441.000000	0.051705
440.000000	0.052024
439.000000	0.052468
438.000000	0.052803
437.000000	0.053006
436.000000	0.053398
435.000000	0.053745
434.000000	0.054163
433.000000	0.054517
432.000000	0.054868
431.000000	0.055226
430.000000	0.055564
429.000000	0.055851
428.000000	0.056412
427.000000	0.056816
426.000000	0.057172
425.000000	0.057642
424.000000	0.058088
423.000000	0.058288
422.000000	0.058820
421.000000	0.059326
420.000000	0.059714
419.000000	0.060158
418.000000	0.060638
417.000000	0.061165
416.000000	0.061646
415.000000	0.062047
414.000000	0.062710
413.000000	0.063107
412.000000	0.063456
411.000000	0.063911
410.000000	0.064617
409.000000	0.065128
408.000000	0.065555
407.000000	0.066106
406.000000	0.068018
405.000000	0.067202
404.000000	0.067765
403.000000	0.068492
402.000000	0.068984
401.000000	0.069596
400.000000	0.070204
399.000000	0.070831
398.000000	0.071595
397.000000	0.072207
396.000000	0.072839
395.000000	0.073546
394.000000	0.074307
393.000000	0.074841
392.000000	0.075727
391.000000	0.076489
390.000000	0.077130
389.000000	0.078033
388.000000	0.078951
387.000000	0.079639
386.000000	0.080338
385.000000	0.081268
384.000000	0.082208
383.000000	0.082948
382.000000	0.083879
381.000000	0.084755
380.000000	0.085783
379.000000	0.086636
378.000000	0.087647
377.000000	0.088548
376.000000	0.089605
375.000000	0.090766
374.000000	0.091757
373.000000	0.092909
372.000000	0.093760
371.000000	0.094878
370.000000	0.096150
369.000000	0.097332
368.000000	0.098542
367.000000	0.099733
366.000000	0.100887
365.000000	0.101921
364.000000	0.103363
363.000000	0.104762
362.000000	0.106014
361.000000	0.107212
360.000000	0.108708
359.000000	0.110049
358.000000	0.111509
357.000000	0.112897
356.000000	0.114438
355.000000	0.115863
354.000000	0.117307
353.000000	0.118912
352.000000	0.120687
351.000000	0.122149
350.000000	0.123710
349.000000	0.125418
348.000000	0.127084
347.000000	0.128701
346.000000	0.130564
345.000000	0.132468
344.000000	0.134223
343.000000	0.135995
342.000000	0.137847
341.000000	0.139757
340.000000	0.141855
339.000000	0.143870
338.000000	0.145907
337.000000	0.147975
336.000000	0.150194
335.000000	0.152411
334.000000	0.154655
333.000000	0.157014
332.000000	0.159412
331.000000	0.161841
330.000000	0.164279
329.000000	0.166767
328.000000	0.169394
327.000000	0.172000
326.000000	0.174692
325.000000	0.177435
324.000000	0.180215
323.000000	0.183140
322.000000	0.186235
321.000000	0.189184
320.000000	0.192267
319.000000	0.195428
318.000000	0.198530
317.000000	0.201610
316.000000	0.205004
315.000000	0.208544
314.000000	0.212060
313.000000	0.215633
312.000000	0.219480
311.000000	0.223236
310.000000	0.227178
309.000000	0.231231
308.000000	0.235325
307.000000	0.239660
306.000000	0.244070
305.000000	0.248523
304.000000	0.253161
303.000000	0.258062
302.000000	0.262909
301.000000	0.267840
300.000000	0.273118
299.000000	0.278422
298.000000	0.283961
297.000000	0.289789
296.000000	0.295748
295.000000	0.301828
294.000000	0.308101
293.000000	0.314522
292.000000	0.321208
291.000000	0.328073
290.000000	0.335007
289.000000	0.342115
288.000000	0.349296
287.000000	0.356472
286.000000	0.363860
285.000000	0.371418
284.000000	0.378891
283.000000	0.386516
282.000000	0.394118
281.000000	0.401737
280.000000	0.409461
279.000000	0.417148
278.000000	0.424815
277.000000	0.432582
276.000000	0.440358
275.000000	0.448130
274.000000	0.455981
273.000000	0.463927
272.000000	0.471703
271.000000	0.479416
270.000000	0.487112
269.000000	0.494591
268.000000	0.501926
267.000000	0.509199
266.000000	0.516240
265.000000	0.522996
264.000000	0.529755
263.000000	0.536238
262.000000	0.542511
261.000000	0.548694
260.000000	0.554510
259.000000	0.560074
258.000000	0.565606
257.000000	0.570813
256.000000	0.575885
255.000000	0.580762
254.000000	0.585775
253.000000	0.590842
252.000000	0.595913
251.000000	0.600967
250.000000	0.606247
249.000000	0.611841
248.000000	0.617437
247.000000	0.623396
246.000000	0.629803
245.000000	0.636632
244.000000	0.643940
243.000000	0.651834
242.000000	0.660197
241.000000	0.669263
240.000000	0.678837
239.000000	0.688828
238.000000	0.699373
237.000000	0.710577
236.000000	0.722506
235.000000	0.735035
234.000000	0.748383
233.000000	0.762205
232.000000	0.776612
231.000000	0.791487
230.000000	0.806890
229.000000	0.822897
