PE UV       SUBTECH     SPECTRUM    ASCII       PEDS        4.00        	
-1	
TV200310810.Sample.Raw.asc	
10.9.2003	
10:58:03.00	
10.9.2003	
10:58:03.00	
Hermanni Kaartokallio	
	
200.000000	
1	
Lambda 650	
650N8121101	
PerkinElmer UV WinLab 6.0.2.0723 / 1.61.00 Lambda 650	
	
0	
0	
2	
0	
0	
UV/VIS	
1	
1	
1	
uv/vis/nir detector	
0	
0	
0	
0	
Fix	
 	
0	
0.24	
0	
0	
0	
 	
 	
 	
0	
 	
0	
319.2	
0	
Front	
100	
 	
 	
 	
0	
0	
0	
 	
0	
 	
 	
 	
0	
 	
 	
0	
0	
0	
0	
0	
 	
 	
 	
 	
0	
0	
#HDR	
-1	
-1	
#GR	
nm	
A	
1.0	
0.0	
800.000000	
-1.000000	
601	
8	
3.017494	
0.041342	
#DATA	
800.000000	0.079580
799.000000	0.079958
798.000000	0.080691
797.000000	0.081056
796.000000	0.081304
795.000000	0.081837
794.000000	0.082427
793.000000	0.082647
792.000000	0.083017
791.000000	0.083706
790.000000	0.084199
789.000000	0.084425
788.000000	0.084954
787.000000	0.085536
786.000000	0.085775
785.000000	0.086158
784.000000	0.086760
783.000000	0.087162
782.000000	0.087388
781.000000	0.087796
780.000000	0.088195
779.000000	0.088510
778.000000	0.088805
777.000000	0.089092
776.000000	0.089496
775.000000	0.089699
774.000000	0.089753
773.000000	0.090053
772.000000	0.090391
771.000000	0.090369
770.000000	0.090537
769.000000	0.090824
768.000000	0.090863
767.000000	0.090941
766.000000	0.091185
765.000000	0.091402
764.000000	0.091368
763.000000	0.091470
762.000000	0.091405
761.000000	0.091431
760.000000	0.091460
759.000000	0.091507
758.000000	0.091564
757.000000	0.091504
756.000000	0.091356
755.000000	0.091475
754.000000	0.091519
753.000000	0.091437
752.000000	0.091470
751.000000	0.091516
750.000000	0.091418
749.000000	0.091356
748.000000	0.091416
747.000000	0.091546
746.000000	0.091489
745.000000	0.091364
744.000000	0.091276
743.000000	0.091192
742.000000	0.091041
741.000000	0.090779
740.000000	0.090444
739.000000	0.089683
738.000000	0.088800
737.000000	0.087933
736.000000	0.086611
735.000000	0.084946
734.000000	0.082942
733.000000	0.080775
732.000000	0.078242
731.000000	0.075644
730.000000	0.073216
729.000000	0.070862
728.000000	0.068716
727.000000	0.066648
726.000000	0.064965
725.000000	0.063571
724.000000	0.062254
723.000000	0.060880
722.000000	0.059714
721.000000	0.058509
720.000000	0.057266
719.000000	0.056265
718.000000	0.055213
717.000000	0.054128
716.000000	0.053123
715.000000	0.052109
714.000000	0.051109
713.000000	0.050200
712.000000	0.049476
711.000000	0.048770
710.000000	0.048031
709.000000	0.047402
708.000000	0.046822
707.000000	0.046301
706.000000	0.045803
705.000000	0.045362
704.000000	0.044966
703.000000	0.044498
702.000000	0.044119
701.000000	0.043903
700.000000	0.043651
699.000000	0.043321
698.000000	0.043059
697.000000	0.042785
696.000000	0.042503
695.000000	0.042334
694.000000	0.042250
693.000000	0.042119
692.000000	0.041977
691.000000	0.041841
690.000000	0.041776
689.000000	0.041815
688.000000	0.041831
687.000000	0.041863
686.000000	0.041954
685.000000	0.041935
684.000000	0.041969
683.000000	0.042124
682.000000	0.042137
681.000000	0.042168
680.000000	0.042288
679.000000	0.042418
678.000000	0.042559
677.000000	0.042661
676.000000	0.042705
675.000000	0.042749
674.000000	0.042810
673.000000	0.042908
672.000000	0.043076
671.000000	0.043132
670.000000	0.043070
669.000000	0.043090
668.000000	0.043226
667.000000	0.043253
666.000000	0.043264
665.000000	0.043371
664.000000	0.043347
663.000000	0.043279
662.000000	0.043311
661.000000	0.043281
660.000000	0.043278
659.000000	0.043182
658.000000	0.043013
657.000000	0.042915
656.000000	0.042805
655.000000	0.042667
654.000000	0.042595
