PE UV       SUBTECH     SPECTRUM    ASCII       PEDS        4.00        	
-1	
TV201B310810.Sample.Raw.asc	
10.9.2003	
11:07:36.00	
10.9.2003	
11:07:36.00	
Hermanni Kaartokallio	
	
200.000000	
1	
Lambda 650	
650N8121101	
PerkinElmer UV WinLab 6.0.2.0723 / 1.61.00 Lambda 650	
	
0	
0	
2	
0	
0	
UV/VIS	
1	
1	
1	
uv/vis/nir detector	
0	
0	
0	
0	
Fix	
 	
0	
0.24	
0	
0	
0	
 	
 	
 	
0	
 	
0	
319.2	
0	
Front	
100	
 	
 	
 	
0	
0	
0	
 	
0	
 	
 	
 	
0	
 	
 	
0	
0	
0	
0	
0	
 	
 	
 	
 	
0	
0	
#HDR	
-1	
-1	
#GR	
nm	
A	
1.0	
0.0	
800.000000	
-1.000000	
601	
8	
3.679282	
0.036034	
#DATA	
800.000000	0.079224
799.000000	0.079784
798.000000	0.080403
797.000000	0.080759
796.000000	0.080996
795.000000	0.081538
794.000000	0.082041
793.000000	0.082424
792.000000	0.082787
791.000000	0.083401
790.000000	0.083928
789.000000	0.084244
788.000000	0.084555
787.000000	0.085067
786.000000	0.085318
785.000000	0.085762
784.000000	0.086294
783.000000	0.086704
782.000000	0.086987
781.000000	0.087379
780.000000	0.087646
779.000000	0.087982
778.000000	0.088335
777.000000	0.088657
776.000000	0.088932
775.000000	0.089252
774.000000	0.089245
773.000000	0.089421
772.000000	0.089723
771.000000	0.089849
770.000000	0.090000
769.000000	0.090244
768.000000	0.090234
767.000000	0.090304
766.000000	0.090519
765.000000	0.090730
764.000000	0.090769
763.000000	0.090883
762.000000	0.090718
761.000000	0.090788
760.000000	0.090821
759.000000	0.090865
758.000000	0.090896
757.000000	0.090808
756.000000	0.090646
755.000000	0.090726
754.000000	0.090847
753.000000	0.090714
752.000000	0.090690
751.000000	0.090730
750.000000	0.090664
749.000000	0.090624
748.000000	0.090704
747.000000	0.090756
746.000000	0.090632
745.000000	0.090513
744.000000	0.090457
743.000000	0.090354
742.000000	0.090226
741.000000	0.089818
740.000000	0.089444
739.000000	0.088755
738.000000	0.087808
737.000000	0.086776
736.000000	0.085552
735.000000	0.083861
734.000000	0.081826
733.000000	0.079595
732.000000	0.077063
731.000000	0.074575
730.000000	0.072120
729.000000	0.069743
728.000000	0.067582
727.000000	0.065581
726.000000	0.063893
725.000000	0.062490
724.000000	0.061155
723.000000	0.059770
722.000000	0.058599
721.000000	0.057376
720.000000	0.056059
719.000000	0.055071
718.000000	0.054000
717.000000	0.052898
716.000000	0.051915
715.000000	0.050882
714.000000	0.049885
713.000000	0.048927
712.000000	0.048148
711.000000	0.047433
710.000000	0.046727
709.000000	0.046080
708.000000	0.045481
707.000000	0.045015
706.000000	0.044481
705.000000	0.043982
704.000000	0.043527
703.000000	0.043046
702.000000	0.042608
701.000000	0.042324
700.000000	0.042085
699.000000	0.041767
698.000000	0.041477
697.000000	0.041207
696.000000	0.040890
695.000000	0.040685
694.000000	0.040587
693.000000	0.040474
692.000000	0.040342
691.000000	0.040162
690.000000	0.040043
689.000000	0.040050
688.000000	0.040036
687.000000	0.040025
686.000000	0.040116
685.000000	0.040099
684.000000	0.040073
683.000000	0.040169
682.000000	0.040189
681.000000	0.040158
680.000000	0.040266
679.000000	0.040420
678.000000	0.040496
677.000000	0.040512
676.000000	0.040521
675.000000	0.040574
674.000000	0.040684
673.000000	0.040752
672.000000	0.040820
671.000000	0.040848
670.000000	0.040765
669.000000	0.040726
668.000000	0.040858
667.000000	0.040890
666.000000	0.040848
665.000000	0.040965
664.000000	0.040855
663.000000	0.040759
662.000000	0.040796
661.000000	0.040742
660.000000	0.040722
659.000000	0.040628
658.000000	0.040457
657.000000	0.040378
656.000000	0.040251
655.000000	0.040113
654.000000	0.039947
653.000000	0.039885
652.000000	0.039712
651.000000	0.039551
650.000000	0.039589
649.000000	0.039548
648.000000	0.039409
647.000000	0.039352
646.000000	0.039320
645.000000	0.039220
644.000000	0.039247
643.000000	0.039242
642.000000	0.039125
641.000000	0.039053
640.000000	0.038925
639.000000	0.038893
638.000000	0.038911
637.000000	0.038876
636.000000	0.038837
635.000000	0.038764
634.000000	0.038584
633.000000	0.038538
632.000000	0.038634
631.000000	0.038590
630.000000	0.038568
629.000000	0.038497
628.000000	0.038333
627.000000	0.038286
626.000000	0.038290
625.000000	0.038390
624.000000	0.038368
623.000000	0.038344
622.000000	0.038131
621.000000	0.038255
620.000000	0.038382
619.000000	0.038310
618.000000	0.038305
617.000000	0.038366
616.000000	0.038259
615.000000	0.038288
614.000000	0.038399
613.000000	0.038404
612.000000	0.038382
611.000000	0.038340
610.000000	0.038360
609.000000	0.038436
608.000000	0.038413
607.000000	0.038414
606.000000	0.038441
605.000000	0.038506
604.000000	0.038314
603.000000	0.038340
602.000000	0.038229
601.000000	0.037998
600.000000	0.037840
599.000000	0.037681
598.000000	0.037424
597.000000	0.037017
596.000000	0.036851
595.000000	0.036851
594.000000	0.036687
593.000000	0.036596
592.000000	0.036452
591.000000	0.036282
590.000000	0.036233
589.000000	0.036260
588.000000	0.036252
587.000000	0.036226
586.000000	0.036157
585.000000	0.036136
584.000000	0.036075
583.000000	0.036103
582.000000	0.036138
581.000000	0.036200
580.000000	0.036135
579.000000	0.036034
578.000000	0.036131
577.000000	0.036154
576.000000	0.036133
575.000000	0.036246
574.000000	0.036222
573.000000	0.036128
572.000000	0.036160
571.000000	0.036331
570.000000	0.036332
569.000000	0.036401
568.000000	0.036465
567.000000	0.036414
566.000000	0.036456
565.000000	0.036638
564.000000	0.036718
563.000000	0.036759
562.000000	0.036858
561.000000	0.036842
560.000000	0.036873
559.000000	0.037116
558.000000	0.037162
557.000000	0.037327
556.000000	0.037485
555.000000	0.037561
554.000000	0.037610
553.000000	0.037700
552.000000	0.037881
551.000000	0.037978
550.000000	0.038062
549.000000	0.038155
548.000000	0.038211
547.000000	0.038361
546.000000	0.038552
545.000000	0.038544
544.000000	0.038629
543.000000	0.038666
542.000000	0.038709
541.000000	0.038881
540.000000	0.039052
539.000000	0.039116
538.000000	0.039175
537.000000	0.039291
536.000000	0.039311
535.000000	0.039463
534.000000	0.039600
533.000000	0.039617
532.000000	0.039755
531.000000	0.039857
530.000000	0.039896
529.000000	0.040069
528.000000	0.040204
527.000000	0.040223
526.000000	0.040249
525.000000	0.040318
524.000000	0.040354
523.000000	0.040510
522.000000	0.040666
521.000000	0.040707
520.000000	0.040789
519.000000	0.040901
518.000000	0.040877
517.000000	0.040998
516.000000	0.041204
515.000000	0.041289
514.000000	0.041382
513.000000	0.041444
512.000000	0.041471
511.000000	0.041581
510.000000	0.041676
509.000000	0.041700
508.000000	0.041736
507.000000	0.041781
506.000000	0.041828
505.000000	0.041973
504.000000	0.042157
