PE UV       SUBTECH     SPECTRUM    ASCII       PEDS        4.00        	
-1	
TV204A310810.Sample.Raw.asc	
10.9.2003	
11:44:16.00	
10.9.2003	
11:44:16.00	
Hermanni Kaartokallio	
	
200.000000	
1	
Lambda 650	
650N8121101	
PerkinElmer UV WinLab 6.0.2.0723 / 1.61.00 Lambda 650	
	
0	
0	
2	
0	
0	
UV/VIS	
1	
1	
1	
uv/vis/nir detector	
0	
0	
0	
0	
Fix	
 	
0	
0.24	
0	
0	
0	
 	
 	
 	
0	
 	
0	
319.2	
0	
Front	
100	
 	
 	
 	
0	
0	
0	
 	
0	
 	
 	
 	
0	
 	
 	
0	
0	
0	
0	
0	
 	
 	
 	
 	
0	
0	
#HDR	
-1	
-1	
#GR	
nm	
A	
1.0	
0.0	
800.000000	
-1.000000	
601	
8	
3.637691	
0.037284	
#DATA	
800.000000	0.079936
799.000000	0.080463
798.000000	0.081269
797.000000	0.081584
796.000000	0.081721
795.000000	0.082345
794.000000	0.082771
793.000000	0.083160
792.000000	0.083514
791.000000	0.084297
790.000000	0.084653
789.000000	0.084922
788.000000	0.085393
787.000000	0.085969
786.000000	0.086243
785.000000	0.086747
784.000000	0.087236
783.000000	0.087638
782.000000	0.087859
781.000000	0.088182
780.000000	0.088578
779.000000	0.089000
778.000000	0.089211
777.000000	0.089589
776.000000	0.089877
775.000000	0.090195
774.000000	0.090219
773.000000	0.090631
772.000000	0.090797
771.000000	0.090835
770.000000	0.091002
769.000000	0.091290
768.000000	0.091286
767.000000	0.091362
766.000000	0.091603
765.000000	0.091782
764.000000	0.091747
763.000000	0.091837
762.000000	0.091822
761.000000	0.091931
760.000000	0.091917
759.000000	0.091852
758.000000	0.091910
757.000000	0.091805
756.000000	0.091751
755.000000	0.091902
754.000000	0.091866
753.000000	0.091745
752.000000	0.091757
751.000000	0.091843
750.000000	0.091794
749.000000	0.091784
748.000000	0.091784
747.000000	0.091847
746.000000	0.091758
745.000000	0.091647
744.000000	0.091623
743.000000	0.091547
742.000000	0.091347
741.000000	0.091005
740.000000	0.090607
739.000000	0.089928
738.000000	0.089071
737.000000	0.088109
736.000000	0.086809
735.000000	0.085076
734.000000	0.082974
733.000000	0.080778
732.000000	0.078279
731.000000	0.075731
730.000000	0.073228
729.000000	0.070826
728.000000	0.068635
727.000000	0.066625
726.000000	0.064988
725.000000	0.063613
724.000000	0.062198
723.000000	0.060852
722.000000	0.059659
721.000000	0.058423
720.000000	0.057202
719.000000	0.056216
718.000000	0.055068
717.000000	0.053983
716.000000	0.053018
715.000000	0.052020
714.000000	0.051010
713.000000	0.050058
712.000000	0.049233
711.000000	0.048538
710.000000	0.047821
709.000000	0.047171
708.000000	0.046620
707.000000	0.046138
706.000000	0.045612
705.000000	0.045111
704.000000	0.044685
703.000000	0.044207
702.000000	0.043824
701.000000	0.043608
700.000000	0.043352
699.000000	0.042959
698.000000	0.042621
697.000000	0.042402
696.000000	0.042186
695.000000	0.041950
694.000000	0.041776
693.000000	0.041721
692.000000	0.041607
691.000000	0.041450
690.000000	0.041372
689.000000	0.041324
688.000000	0.041300
687.000000	0.041297
686.000000	0.041337
685.000000	0.041314
684.000000	0.041311
683.000000	0.041387
682.000000	0.041415
681.000000	0.041501
680.000000	0.041572
679.000000	0.041644
678.000000	0.041753
677.000000	0.041787
676.000000	0.041766
675.000000	0.041883
674.000000	0.041933
673.000000	0.041983
672.000000	0.042086
671.000000	0.042145
670.000000	0.042104
669.000000	0.042138
668.000000	0.042232
667.000000	0.042230
666.000000	0.042204
665.000000	0.042257
664.000000	0.042213
663.000000	0.042173
662.000000	0.042176
661.000000	0.042143
660.000000	0.042103
659.000000	0.041993
658.000000	0.041847
657.000000	0.041777
656.000000	0.041596
655.000000	0.041441
654.000000	0.041330
653.000000	0.041251
652.000000	0.041042
651.000000	0.041032
650.000000	0.041061
649.000000	0.040922
648.000000	0.040793
647.000000	0.040772
646.000000	0.040771
645.000000	0.040738
644.000000	0.040683
643.000000	0.040629
642.000000	0.040541
641.000000	0.040483
640.000000	0.040366
639.000000	0.040448
638.000000	0.040306
637.000000	0.040325
636.000000	0.040208
635.000000	0.040128
634.000000	0.039999
633.000000	0.040069
632.000000	0.040085
631.000000	0.039988
630.000000	0.039880
629.000000	0.039826
628.000000	0.039687
627.000000	0.039712
626.000000	0.039698
625.000000	0.039752
624.000000	0.039702
623.000000	0.039687
622.000000	0.039564
621.000000	0.039699
620.000000	0.039696
619.000000	0.039603
618.000000	0.039667
617.000000	0.039706
616.000000	0.039635
615.000000	0.039678
614.000000	0.039730
613.000000	0.039771
612.000000	0.039690
611.000000	0.039740
610.000000	0.039749
609.000000	0.039862
608.000000	0.039756
607.000000	0.039721
606.000000	0.039798
605.000000	0.039763
604.000000	0.039608
603.000000	0.039726
602.000000	0.039578
601.000000	0.039346
600.000000	0.039148
599.000000	0.039027
598.000000	0.038717
597.000000	0.038392
596.000000	0.038317
595.000000	0.038229
594.000000	0.038034
593.000000	0.037940
592.000000	0.037749
591.000000	0.037619
590.000000	0.037711
589.000000	0.037585
588.000000	0.037588
587.000000	0.037524
586.000000	0.037466
585.000000	0.037371
584.000000	0.037441
583.000000	0.037380
582.000000	0.037409
581.000000	0.037467
580.000000	0.037391
579.000000	0.037284
578.000000	0.037456
577.000000	0.037369
576.000000	0.037363
575.000000	0.037421
574.000000	0.037412
573.000000	0.037324
572.000000	0.037425
571.000000	0.037530
570.000000	0.037479
569.000000	0.037515
568.000000	0.037545
567.000000	0.037513
566.000000	0.037668
565.000000	0.037756
564.000000	0.037830
563.000000	0.037874
562.000000	0.037977
561.000000	0.037992
560.000000	0.038052
559.000000	0.038293
558.000000	0.038275
557.000000	0.038352
556.000000	0.038497
555.000000	0.038568
554.000000	0.038690
553.000000	0.038825
552.000000	0.038864
551.000000	0.038925
550.000000	0.038949
549.000000	0.039007
548.000000	0.039095
