PE UV       SUBTECH     SPECTRUM    ASCII       PEDS        4.00        	
-1	
KI301A061010_1CM_CELL.Sample.Raw.asc	
10.10.2008	
10:28:06.00	
10.10.2008	
10:28:06.00	
Hermanni Kaartokallio	
	
200.000000	
1	
Lambda 650	
650N8121101	
PerkinElmer UV WinLab 6.0.2.0723 / 1.61.00 Lambda 650	
	
0	
0	
2	
0	
0	
UV/VIS	
1	
1	
1	
uv/vis/nir detector	
0	
0	
0	
0	
Fix	
 	
0	
0.24	
0	
0	
0	
 	
 	
 	
0	
 	
0	
319.2	
0	
Front	
100	
 	
 	
 	
0	
0	
0	
 	
0	
 	
 	
 	
0	
 	
 	
0	
0	
0	
0	
0	
 	
 	
 	
 	
0	
0	
#HDR	
-1	
-1	
#GR	
nm	
A	
1.0	
0.0	
800.000000	
-1.000000	
601	
8	
10.000000	
0.034210	
#DATA	
800.000000	10.000000
799.000000	0.041975
798.000000	0.042188
797.000000	0.042215
796.000000	0.042427
795.000000	0.042471
794.000000	0.042699
793.000000	0.042641
792.000000	0.042708
791.000000	0.042743
790.000000	0.042951
789.000000	0.042880
788.000000	0.042966
787.000000	0.043147
786.000000	0.043090
785.000000	0.043205
784.000000	0.043415
783.000000	0.043433
782.000000	0.043564
781.000000	0.043595
780.000000	0.043506
779.000000	0.043651
778.000000	0.043820
777.000000	0.043676
776.000000	0.043630
775.000000	0.043694
774.000000	0.043724
773.000000	0.043807
772.000000	0.043887
771.000000	0.043873
770.000000	0.043851
769.000000	0.043825
768.000000	0.043782
767.000000	0.043788
766.000000	0.043949
765.000000	0.043890
764.000000	0.043874
763.000000	0.043821
762.000000	0.043772
761.000000	0.043914
760.000000	0.043954
759.000000	0.043875
758.000000	0.043832
757.000000	0.043851
756.000000	0.043867
755.000000	0.043898
754.000000	0.044074
753.000000	0.044064
752.000000	0.044102
751.000000	0.044198
750.000000	0.044160
749.000000	0.044197
748.000000	0.044276
747.000000	0.044262
746.000000	0.044417
745.000000	0.044413
744.000000	0.044288
743.000000	0.044339
742.000000	0.044453
741.000000	0.044330
740.000000	0.044271
739.000000	0.044137
738.000000	0.043914
737.000000	0.043768
736.000000	0.043718
735.000000	0.043380
734.000000	0.043008
733.000000	0.042536
732.000000	0.041990
731.000000	0.041624
730.000000	0.041195
729.000000	0.040649
728.000000	0.040180
727.000000	0.039715
726.000000	0.039282
725.000000	0.039127
724.000000	0.038968
723.000000	0.038623
722.000000	0.038388
721.000000	0.038110
720.000000	0.037776
719.000000	0.037651
718.000000	0.037491
717.000000	0.037217
716.000000	0.036945
715.000000	0.036641
714.000000	0.036372
713.000000	0.036234
712.000000	0.036093
711.000000	0.035800
710.000000	0.035621
709.000000	0.035428
708.000000	0.035171
707.000000	0.035142
706.000000	0.035104
705.000000	0.034926
704.000000	0.034802
703.000000	0.034698
702.000000	0.034579
701.000000	0.034572
700.000000	0.034569
699.000000	0.034481
698.000000	0.034387
697.000000	0.034210
696.000000	0.034228
695.000000	0.034393
694.000000	0.034382
693.000000	0.034345
692.000000	0.034422
691.000000	0.034441
690.000000	0.034482
689.000000	0.034394
688.000000	0.034748
687.000000	0.034921
686.000000	0.034919
685.000000	0.035081
684.000000	0.035153
683.000000	0.035178
682.000000	0.035244
681.000000	0.035349
680.000000	0.035552
679.000000	0.035700
678.000000	0.035700
677.000000	0.035704
676.000000	0.035733
675.000000	0.035851
674.000000	0.036015
673.000000	0.036016
672.000000	0.036057
671.000000	0.036194
670.000000	0.036145
669.000000	0.036113
668.000000	0.036265
667.000000	0.036256
666.000000	0.036195
665.000000	0.036209
664.000000	0.036186
663.000000	0.036206
662.000000	0.036200
661.000000	0.036175
660.000000	0.036318
659.000000	0.036333
658.000000	0.036204
657.000000	0.036215
656.000000	0.036394
655.000000	0.036384
654.000000	0.036432
653.000000	0.036496
652.000000	0.036496
651.000000	0.036502
650.000000	0.036626
649.000000	0.036715
648.000000	0.036668
647.000000	0.036742
646.000000	0.036758
645.000000	0.036876
644.000000	0.036951
643.000000	0.036945
642.000000	0.037106
641.000000	0.037156
640.000000	0.037074
639.000000	0.037130
638.000000	0.037374
637.000000	0.037416
636.000000	0.037448
635.000000	0.037575
634.000000	0.037548
633.000000	0.037546
632.000000	0.037733
631.000000	0.037814
630.000000	0.037862
629.000000	0.037842
628.000000	0.037913
627.000000	0.038016
626.000000	0.038189
625.000000	0.038227
624.000000	0.038435
623.000000	0.038493
622.000000	0.038461
621.000000	0.038632
620.000000	0.038882
619.000000	0.038908
618.000000	0.038958
617.000000	0.039135
616.000000	0.039161
615.000000	0.039224
614.000000	0.039446
613.000000	0.039525
612.000000	0.039530
611.000000	0.039600
610.000000	0.039623
609.000000	0.039821
608.000000	0.040022
607.000000	0.040013
606.000000	0.040040
605.000000	0.040225
604.000000	0.040097
603.000000	0.040187
602.000000	0.040451
601.000000	0.040411
600.000000	0.040344
599.000000	0.040463
598.000000	0.040450
597.000000	0.040395
596.000000	0.040289
595.000000	0.040486
594.000000	0.040445
593.000000	0.040460
592.000000	0.040432
591.000000	0.040422
590.000000	0.040478
589.000000	0.040588
588.000000	0.040466
587.000000	0.040627
586.000000	0.040664
585.000000	0.040608
584.000000	0.040737
583.000000	0.040949
582.000000	0.040876
581.000000	0.041050
580.000000	0.041167
579.000000	0.041217
578.000000	0.041326
577.000000	0.041555
576.000000	0.041546
575.000000	0.041633
574.000000	0.041725
573.000000	0.041764
572.000000	0.041940
571.000000	0.042213
570.000000	0.042302
569.000000	0.042458
568.000000	0.042562
567.000000	0.042613
566.000000	0.042846
565.000000	0.043141
564.000000	0.043251
563.000000	0.043451
562.000000	0.043662
561.000000	0.044085
560.000000	0.043772
559.000000	0.043926
558.000000	0.044140
557.000000	0.044259
556.000000	0.044497
555.000000	0.044659
554.000000	0.044738
553.000000	0.044999
552.000000	0.045300
551.000000	0.045423
550.000000	0.045523
549.000000	0.045663
548.000000	0.045815
547.000000	0.046037
546.000000	0.046218
545.000000	0.046389
544.000000	0.046582
543.000000	0.046718
542.000000	0.046789
541.000000	0.047091
540.000000	0.047380
539.000000	0.047404
538.000000	0.047596
537.000000	0.047794
536.000000	0.047890
535.000000	0.048151
534.000000	0.048425
533.000000	0.048561
532.000000	0.048688
531.000000	0.048824
530.000000	0.048976
529.000000	0.049197
528.000000	0.049398
527.000000	0.049597
526.000000	0.049847
525.000000	0.049925
524.000000	0.049961
523.000000	0.050315
522.000000	0.050651
521.000000	0.050670
520.000000	0.050813
519.000000	0.050992
518.000000	0.051110
517.000000	0.051390
516.000000	0.051629
515.000000	0.051766
514.000000	0.051925
513.000000	0.052011
512.000000	0.052132
511.000000	0.052422
510.000000	0.052580
509.000000	0.052655
508.000000	0.052890
507.000000	0.052999
506.000000	0.053051
505.000000	0.053354
504.000000	0.053590
503.000000	0.053644
502.000000	0.053835
501.000000	0.054043
500.000000	0.054147
499.000000	0.054362
498.000000	0.054592
497.000000	0.054787
496.000000	0.054965
495.000000	0.055079
494.000000	0.055279
493.000000	0.055544
492.000000	0.055693
