PE UV       SUBTECH     SPECTRUM    ASCII       PEDS        4.00        	
-1	
KI304B061010_1CM_CELL.Sample.Raw.asc	
10.10.2008	
11:05:36.00	
10.10.2008	
11:05:36.00	
Hermanni Kaartokallio	
	
200.000000	
1	
Lambda 650	
650N8121101	
PerkinElmer UV WinLab 6.0.2.0723 / 1.61.00 Lambda 650	
	
0	
0	
2	
0	
0	
UV/VIS	
1	
1	
1	
uv/vis/nir detector	
0	
0	
0	
0	
Fix	
 	
0	
0.24	
0	
0	
0	
 	
 	
 	
0	
 	
0	
319.2	
0	
Front	
100	
 	
 	
 	
0	
0	
0	
 	
0	
 	
 	
 	
0	
 	
 	
0	
0	
0	
0	
0	
 	
 	
 	
 	
0	
0	
#HDR	
-1	
-1	
#GR	
nm	
A	
1.0	
0.0	
800.000000	
-1.000000	
601	
8	
10.000000	
0.032087	
#DATA	
800.000000	10.000000
799.000000	0.041503
798.000000	0.041572
797.000000	0.041734
796.000000	0.042019
795.000000	0.041927
794.000000	0.041946
793.000000	0.042101
792.000000	0.042285
791.000000	0.042219
790.000000	0.042363
789.000000	0.042394
788.000000	0.042473
787.000000	0.042406
786.000000	0.042379
785.000000	0.042642
784.000000	0.042841
783.000000	0.042750
782.000000	0.042983
781.000000	0.043144
780.000000	0.042855
779.000000	0.042923
778.000000	0.043218
777.000000	0.042968
776.000000	0.042847
775.000000	0.042942
774.000000	0.043016
773.000000	0.042951
772.000000	0.042960
771.000000	0.043023
770.000000	0.043103
769.000000	0.042908
768.000000	0.042846
767.000000	0.043055
766.000000	0.042944
765.000000	0.042815
764.000000	0.042916
763.000000	0.042900
762.000000	0.042693
761.000000	0.042759
760.000000	0.042992
759.000000	0.042903
758.000000	0.042782
757.000000	0.042758
756.000000	0.042816
755.000000	0.042920
754.000000	0.042929
753.000000	0.043021
752.000000	0.043082
751.000000	0.043030
750.000000	0.042955
749.000000	0.043119
748.000000	0.043065
747.000000	0.043045
746.000000	0.043205
745.000000	0.043249
744.000000	0.043119
743.000000	0.043150
742.000000	0.043264
741.000000	0.043197
740.000000	0.043051
739.000000	0.042899
