PE UV       SUBTECH     SPECTRUM    ASCII       PEDS        4.00        	
-1	
KY300201010_1CM_CELL.Sample.Raw.asc	
10.10.2029	
09:53:09.00	
10.10.2029	
09:53:09.00	
Hermanni Kaartokallio	
	
200.000000	
1	
Lambda 650	
650N8121101	
PerkinElmer UV WinLab 6.0.2.0723 / 1.61.00 Lambda 650	
	
0	
0	
2	
0	
0	
UV/VIS	
1	
1	
1	
150mm sphere / downward view	
0	
0	
0	
0	
Fix	
 	
0	
0.24	
0	
0	
0	
 	
 	
 	
0	
 	
0	
319.2	
0	
Front	
100	
 	
 	
 	
0	
0	
0	
 	
0	
 	
 	
 	
0	
 	
 	
0	
0	
0	
0	
0	
 	
 	
 	
 	
0	
0	
#HDR	
-1	
-1	
#GR	
nm	
A	
1.0	
0.0	
800.000000	
-1.000000	
601	
8	
2.734419	
0.037746	
#DATA	
800.000000	0.042493
799.000000	0.042425
798.000000	0.042495
797.000000	0.042637
796.000000	0.042963
795.000000	0.042971
794.000000	0.042295
793.000000	0.042784
792.000000	0.043414
791.000000	0.043982
790.000000	0.043768
789.000000	0.043292
788.000000	0.043382
787.000000	0.043706
786.000000	0.044547
785.000000	0.044116
784.000000	0.044449
783.000000	0.043901
782.000000	0.044717
781.000000	0.044877
780.000000	0.044182
779.000000	0.044654
778.000000	0.044672
777.000000	0.044387
776.000000	0.044899
775.000000	0.044738
774.000000	0.045020
773.000000	0.044918
772.000000	0.045095
771.000000	0.044932
770.000000	0.045103
769.000000	0.045273
768.000000	0.045273
767.000000	0.045761
766.000000	0.045518
765.000000	0.045793
764.000000	0.045771
763.000000	0.045326
762.000000	0.045820
761.000000	0.045328
760.000000	0.045600
759.000000	0.045913
758.000000	0.045686
757.000000	0.045871
756.000000	0.045988
755.000000	0.046226
754.000000	0.046169
753.000000	0.045731
752.000000	0.045740
751.000000	0.046037
750.000000	0.046166
749.000000	0.046063
748.000000	0.045996
747.000000	0.046091
746.000000	0.045828
745.000000	0.046028
744.000000	0.045944
743.000000	0.045915
742.000000	0.046130
741.000000	0.046029
740.000000	0.045785
739.000000	0.045768
738.000000	0.045767
737.000000	0.045494
736.000000	0.045086
735.000000	0.044704
734.000000	0.044541
733.000000	0.044216
732.000000	0.043906
731.000000	0.043310
730.000000	0.042593
729.000000	0.042222
728.000000	0.041939
727.000000	0.041560
726.000000	0.041473
725.000000	0.041255
724.000000	0.040639
723.000000	0.040457
722.000000	0.040406
721.000000	0.040159
720.000000	0.039846
719.000000	0.039522
718.000000	0.039508
717.000000	0.039677
716.000000	0.039556
715.000000	0.039319
714.000000	0.038980
713.000000	0.038636
712.000000	0.038599
711.000000	0.038602
710.000000	0.038525
709.000000	0.038457
708.000000	0.038425
707.000000	0.038488
706.000000	0.038384
705.000000	0.038203
704.000000	0.038170
703.000000	0.037972
702.000000	0.037818
701.000000	0.037985
700.000000	0.038064
699.000000	0.037954
698.000000	0.037864
697.000000	0.037865
696.000000	0.037935
695.000000	0.037854
694.000000	0.037865
693.000000	0.037845
692.000000	0.037831
691.000000	0.037831
690.000000	0.037746
689.000000	0.037863
688.000000	0.037892
687.000000	0.037914
686.000000	0.037932
685.000000	0.037783
684.000000	0.037882
683.000000	0.037895
682.000000	0.038061
681.000000	0.038076
680.000000	0.038041
679.000000	0.038165
678.000000	0.038240
677.000000	0.038203
676.000000	0.038341
675.000000	0.038235
674.000000	0.038168
673.000000	0.038385
672.000000	0.038477
671.000000	0.038472
670.000000	0.038582
669.000000	0.038604
668.000000	0.038778
667.000000	0.038826
666.000000	0.038928
665.000000	0.039115
664.000000	0.038944
663.000000	0.039070
662.000000	0.038964
661.000000	0.038981
660.000000	0.039153
659.000000	0.039144
658.000000	0.039199
657.000000	0.039316
656.000000	0.039249
655.000000	0.039286
654.000000	0.039336
653.000000	0.039251
652.000000	0.039289
651.000000	0.039281
650.000000	0.039337
649.000000	0.039440
648.000000	0.039416
647.000000	0.039436
646.000000	0.039552
645.000000	0.039673
644.000000	0.039621
643.000000	0.039695
642.000000	0.039830
641.000000	0.039760
640.000000	0.039925
639.000000	0.040069
638.000000	0.040023
637.000000	0.040155
636.000000	0.040216
635.000000	0.040320
634.000000	0.040122
633.000000	0.040292
632.000000	0.040590
631.000000	0.040495
630.000000	0.040425
629.000000	0.040774
628.000000	0.040772
627.000000	0.040895
626.000000	0.040835
625.000000	0.041032
624.000000	0.041081
623.000000	0.041057
622.000000	0.041306
621.000000	0.041385
620.000000	0.041181
619.000000	0.041267
618.000000	0.041626
617.000000	0.041739
616.000000	0.041734
615.000000	0.041817
614.000000	0.041833
613.000000	0.041990
612.000000	0.041895
611.000000	0.042084
610.000000	0.042466
609.000000	0.042207
608.000000	0.042533
607.000000	0.042501
606.000000	0.042613
605.000000	0.042787
604.000000	0.042758
603.000000	0.042834
602.000000	0.042972
601.000000	0.043075
600.000000	0.042963
599.000000	0.043123
598.000000	0.043025
597.000000	0.043239
596.000000	0.043476
595.000000	0.043313
594.000000	0.043468
593.000000	0.043492
592.000000	0.043540
591.000000	0.043672
590.000000	0.043959
589.000000	0.043886
588.000000	0.043900
587.000000	0.043837
586.000000	0.044238
585.000000	0.044242
584.000000	0.044354
583.000000	0.044473
582.000000	0.044692
581.000000	0.044756
580.000000	0.044858
579.000000	0.044932
