PE UV       SUBTECH     SPECTRUM    ASCII       PEDS        4.00        	
-1	
KY304B201010_1CM_CELL.Sample.Raw.asc	
10.10.2029	
09:13:35.00	
10.10.2029	
09:13:35.00	
Hermanni Kaartokallio	
	
200.000000	
1	
Lambda 650	
650N8121101	
PerkinElmer UV WinLab 6.0.2.0723 / 1.61.00 Lambda 650	
	
0	
0	
2	
0	
0	
UV/VIS	
1	
1	
1	
150mm sphere / downward view	
0	
0	
0	
0	
Fix	
 	
0	
0.24	
0	
0	
0	
 	
 	
 	
0	
 	
0	
319.2	
0	
Front	
100	
 	
 	
 	
0	
0	
0	
 	
0	
 	
 	
 	
0	
 	
 	
0	
0	
0	
0	
0	
 	
 	
 	
 	
0	
0	
#HDR	
-1	
-1	
#GR	
nm	
A	
1.0	
0.0	
800.000000	
-1.000000	
601	
8	
1.754389	
0.033487	
#DATA	
800.000000	0.041437
799.000000	0.040738
798.000000	0.041364
797.000000	0.041093
796.000000	0.041662
795.000000	0.041737
794.000000	0.041732
793.000000	0.041429
792.000000	0.041697
791.000000	0.041803
790.000000	0.042286
789.000000	0.041755
788.000000	0.042326
787.000000	0.042348
786.000000	0.042639
785.000000	0.042586
784.000000	0.042649
783.000000	0.042624
782.000000	0.043046
781.000000	0.043146
780.000000	0.043059
779.000000	0.043397
778.000000	0.042918
777.000000	0.043141
776.000000	0.043297
775.000000	0.043210
774.000000	0.043435
773.000000	0.043414
772.000000	0.043368
771.000000	0.043619
770.000000	0.043993
769.000000	0.043798
768.000000	0.043959
767.000000	0.044036
766.000000	0.043650
765.000000	0.044022
764.000000	0.044072
763.000000	0.043581
762.000000	0.043968
761.000000	0.044007
760.000000	0.043812
759.000000	0.043676
758.000000	0.043831
757.000000	0.044019
756.000000	0.043841
755.000000	0.043926
754.000000	0.043989
753.000000	0.043797
752.000000	0.043745
751.000000	0.044007
750.000000	0.043828
749.000000	0.043728
748.000000	0.043785
747.000000	0.043648
746.000000	0.043496
745.000000	0.043564
744.000000	0.043632
743.000000	0.043575
742.000000	0.043847
741.000000	0.043611
740.000000	0.043556
739.000000	0.043189
738.000000	0.043136
737.000000	0.042887
736.000000	0.042717
735.000000	0.042329
734.000000	0.042076
733.000000	0.041600
732.000000	0.041188
731.000000	0.040590
730.000000	0.039992
729.000000	0.039472
728.000000	0.039101
727.000000	0.038855
726.000000	0.038747
725.000000	0.038527
724.000000	0.038032
723.000000	0.037571
722.000000	0.037425
721.000000	0.037215
720.000000	0.036829
719.000000	0.036545
718.000000	0.036635
717.000000	0.036734
716.000000	0.036626
715.000000	0.036378
714.000000	0.035977
713.000000	0.035786
712.000000	0.035566
711.000000	0.035515
710.000000	0.035564
709.000000	0.035365
708.000000	0.035245
707.000000	0.035177
706.000000	0.035072
705.000000	0.034899
704.000000	0.034873
703.000000	0.034722
702.000000	0.034620
701.000000	0.034727
700.000000	0.034775
699.000000	0.034750
698.000000	0.034533
697.000000	0.034507
696.000000	0.034436
695.000000	0.034215
694.000000	0.034255
693.000000	0.034310
692.000000	0.034282
691.000000	0.034269
690.000000	0.034085
689.000000	0.034095
688.000000	0.034252
687.000000	0.034153
686.000000	0.034089
685.000000	0.034033
684.000000	0.033934
683.000000	0.033820
682.000000	0.034030
681.000000	0.034069
680.000000	0.033953
679.000000	0.033973
678.000000	0.034063
677.000000	0.033939
676.000000	0.033920
675.000000	0.033959
674.000000	0.033925
673.000000	0.034012
672.000000	0.034055
671.000000	0.033900
670.000000	0.033968
669.000000	0.033975
668.000000	0.034017
667.000000	0.033944
666.000000	0.033876
665.000000	0.034167
664.000000	0.034008
663.000000	0.034150
662.000000	0.034022
661.000000	0.033794
660.000000	0.033928
659.000000	0.033914
658.000000	0.033802
657.000000	0.033989
656.000000	0.033857
655.000000	0.033961
654.000000	0.033969
653.000000	0.033818
652.000000	0.033794
651.000000	0.033831
650.000000	0.033765
649.000000	0.033675
648.000000	0.033772
647.000000	0.033719
646.000000	0.033801
645.000000	0.033696
644.000000	0.033757
643.000000	0.033683
642.000000	0.033834
641.000000	0.033799
640.000000	0.033770
639.000000	0.033759
638.000000	0.033758
637.000000	0.033732
636.000000	0.033804
635.000000	0.033746
634.000000	0.033715
633.000000	0.033766
