wbic,air_temp,barom_pres,depth,weather_comment,sample_time,longitude,latitude,sampledate
2126,30.2,28.41,0.25,"Sunny, clear",16:09:00,89.82167,46.28612,2004-08-06
2155,,,,,,,,
2283,25,28.31,0.25,"breezy, clear, buggy",14:47:00,-89.68504,46.26209,2004-07-02
2298,,,,,,,,
2343,28,28.13,0.5,"clear, calm, sunny",10:07:00,89.60668333,46.25608333,2004-07-20
2355,,,,,,,,
2392,25.1,27.96,0.75,"partly cloudy, breezy",16:13:00,89.48136667,46.25275,2004-07-13
2411,,,,,,,,
2433,,,,,,,,
2561,20.7,28.07,1,"clear, breezy, sunny",9:41:00,89.14433,46.24268,2004-08-09
2652,22.4,27.98,1.5,"windy, overcast, cool",11:31:00,89.15596,46.22889,2004-08-09
2714,,,,,,,,
2725,26.3,28.25,0.25,"sunny, breezy",17:16:00,89.40813333,46.20131667,2004-07-27
18853,,,,,,,,
19172,,,,,,,,
19331,,,,,,,,
19449,,,,,,,,
19652,,,,,,,,
19729,,,,,,,,
19788,27.1,28.35,0.25,"sunny, calm, buggy",12:47:00,89.74043333,46.27596667,2004-07-02
19811,25.4,28.33,0.25,"sunny, clear, calm, buggy",11:48:00,89.73208333,46.27511667,2004-07-02
19850,33.6,28.18,0.25,"sunny, hot, calm, no wind",11:52:00,89.58468333,46.2778,2004-07-20
19903,,,,,,,,
19925,27.5,28.26,0.25,"sunny, breezy, buggy",15:30:00,89.65808333,46.2722,2004-07-02
19993,,,,,,,,
20068,24.4,28.31,0.5,"sunny, warm, breezy, buggy",10:00:00,89.65441667,46.26371667,2004-07-02
20148,,,,,,,,
20282,21.2,28.1,0.1,"rainy, thunder",9:22:00,89.51883333,46.2594,2004-07-13
20302,31,28.09,0.2,"sunny, calm, buugy",13:04:00,89.61828333,46.25575,2004-07-20
20370,33.6,28.1,0.2,"sunny, scattered clouds, calm",14:18:00,89.61511667,46.25313333,2004-07-20
20456,,,,,,,,
20483,25.8,27.99,0.2,"partly cloudy, warm, breezy",14:09:00,89.5165,46.24905,2004-07-13
20501,25.1,28.01,0.25,"sunny, windy",14:37:00,89.51593333,46.24856667,2004-07-13
20507,,,,,,,,
20517,,,,,,,,
20622,,,,,,,,
20828,,,,,,,,
20836,21.2,28.05,0.25,"mostly cloudy, breezy",11:31:00,89.49335,46.23421667,2004-07-13
20849,21.3,28.07,0.05,"Calm, clear",13:02:00,89.18839,46.24168,2004-08-09
20888,26.8,28.13,0.25,"sunny, breezy",12:32:00,89.22318333,46.2383,2004-07-14
20906,,,,,,,,
20961,26.9,28.13,0.25,"Sunny, Partly Cloudy",11:25:00,89.22808333,46.23616667,2004-07-14
20966,25.9,28.12,0.25,sunny,13:18:00,89.22046667,46.23605,2004-07-14
21006,22,28.05,0.05,"clear, calm",8:39:00,89.16981,46.23566,2004-08-09
21030,,,,,,,,
21165,27.6,28.24,0.25,"sunny, calm",15:45:00,89.45456667,46.21776667,2004-07-27
21206,,,,,,,,
21252,,,,,,,,
21254,,,,,,,,
21261,20.9,28.12,0.25,"Sunny, breezy",15:10:00,89.23466667,46.21881667,2004-07-14
21349,,,,,,,,
21519,20.4,28.34,0.25,"overcast, wind",10:46:00,89.37396,46.19651,2004-08-16
21546,,,,,,,,
21554,,,,,,,,
21607,,,,,,,,
21832,,,,,,,,
22098,,,,,,,,
22104,,,,,,,,
22106,,,,,,,,
22177,19.3,28.18,0.1,"Overcast, drizzle",13:49:00,89.04735,46.17543333,2004-07-22
22221,18.2,28.13,0.15,"Overcast, calm",10:36:00,89.06861667,46.16898333,2004-07-22
22457,19.9,28.09,0.2,"Overcast, cool, breezy",9:29:00,89.0377,46.14995,2004-07-22
23077,,,,,,,,
591300,18.6,28.51,1,"sunny, warm, calm",11:51:00,-88.93256667,46.02801667,2004-06-03
607825,26.8,28.38,0.5,,14:06:00,-89.00401667,46.02851667,2004-06-03
717100,,,,,,,,
717200,,,,,,,,
717300,,,,,,,,
968800,27.3,27.93,2.5,"sunny, warm, windy",15:11:00,89.06375,45.94335,2004-06-07
969900,23,28.14,0.25,"sunny, partly cloudy, calm",13:50:00,89.31711,45.79066,2004-08-17
970000,20.5,28.5,2,"sunny, breezy",9:31:00,89.54515,45.8227,2004-07-23
971000,16.7,28.1,0.5,"overcast, rainy, breezy",12:14:00,89.44114,45.95527,2004-08-10
971700,17,28.31,1.5,"rain, wind",14:36:00,89.31293,46.17195,2004-08-16
972100,21.9,28.28,2.5,"Warm, breezy, partly cloudy",11:15:00,-89.6016,45.92873333,2004-06-02
972200,22.8,28.31,0.75,"partly cloudy, sunny, warm",10:56:00,89.31035444,46.05586667,2004-06-28
974900,23.6,28.17,1.75,"slightly breezy, mostly cloudy",14:49:00,89.6643,45.746416,2004-06-22
976100,24.5,28.17,2,"overcast, windy, cool",13:10:00,89.15058333,45.94173333,2004-07-16
981200,25.6,28.5,2,"sunny, scattered clouds, breezy",10:38:00,89.58193333,45.81731667,2004-07-23
984000,14.8,28.14,2,"overcast, cool, breezy",9:54:00,89.74201667,45.91925,2004-07-07
984700,,,,,,,,
986500,,,,,,,,
