lakeid,lakename,year4,daynum,sampledate,rep,station,depth,wtemp,o2,cond,alk,chlor,phaeo,ph,doc,dic,totnuf,totpuf,suva,flag_wtemp,flag_o2,flag_o2sat,flag_cond,flag_alk,flag_chlor,flag_phaeo,flag_ph,flag_doc,flag_dic,flag_totnuf,flag_totpuf,flag_suva
"BI","Birch Lake",2002,177,2002-06-26,1,11,7.00,12.29,5.36,,,,,,,,,,,,,,,,,,,,,,,
"BI","Birch Lake",2002,177,2002-06-26,1,11,9.00,10.85,4.10,,,,,,,,,,,,,,,,,,,,,,,
"BI","Birch Lake",2002,177,2002-06-26,1,11,10.00,10.69,3.91,,,,,,,,,,,,,,,,,,,,,,,
"BO","Black Oak Lake",2002,176,2002-06-25,2,11,0.50,,,50.00,430.35,2.04,0.42,8.22,4.22,5.64,347,5,,,,,,,,,,,,,,
"BO","Black Oak Lake",2002,176,2002-06-25,1,11,1.00,21.08,9.85,,,,,,,,,,,,,,,,,,,,,,,
"BO","Black Oak Lake",2002,176,2002-06-25,1,11,3.00,19.83,10.26,,,,,,,,,,,,,,,,,,,,,,,
"BO","Black Oak Lake",2002,176,2002-06-25,1,11,4.00,18.89,10.51,,,,,,,,,,,,,,,,,,,,,,,
"BO","Black Oak Lake",2002,176,2002-06-25,1,11,6.00,16.55,11.38,,,,,,,,,,,,,,,,,,,,,,,
"BO","Black Oak Lake",2002,176,2002-06-25,1,11,8.00,10.21,14.34,,,,,,,,,,,,,,,,,,,,,,,
"BO","Black Oak Lake",2002,176,2002-06-25,1,11,10.00,9.01,14.16,,,,,,,,,,,,,,,,,,,,,,,
"BO","Black Oak Lake",2002,176,2002-06-25,1,11,11.00,8.32,13.79,,,,,,,,,,,,,,,,,,,,,,,
"BO","Black Oak Lake",2002,176,2002-06-25,1,11,13.00,7.55,13.35,,,,,,,,,,,,,,,,,,,,,,,
"BO","Black Oak Lake",2002,176,2002-06-25,1,11,15.00,7.04,12.72,,,,,,,,,,,,,,,,,,,,,,,
