lakeid,lakename,lake_number,lake_abbr_biocom,survey_year,survey_year_cont,wbic,lakename_dnr,lakename_local,county,twn_range_section,latitude,longitude,hydrology_type,depth_max,depth_mean,perimeter,area,secchi,secchi_biocom,conductance_biocom,conductance,conductivity_quintile,lake_access,wet_length,wet_pct,build2011,build2012,build2013,number_buildings,buildings_per_km,buildings_per_km_quintile
"AL","Allequash Lake",27,"AL",2002,,2332400,"ALLEQUASH LAKE",,"Vilas","T41 R 7 S17SESW",46.036941,-89.628844,"DG",24,10,10.21,165.31007710,14,3.550,87.000,87,4,"PUBLIC",2304.017,36.9,0,0,0,0,0.000,1
"AN","Anvil Lake",59,"AN",2004,,968800,"ANVIL LAKE",,"Vilas","T40 R11 S13SWNW",45.943394,-89.063895,"SE",32,19,7.43,156.86389040,9,,,36,2,"PUBLIC",0.000,0.0,51,93,0,144,19.372,5
"AR","Arrowhead Lake",28,"AR",2002,,1541500,"ARROWHEAD LAKE",,"Vilas","T40 R 6 S35SENE",45.906340,-89.690237,"SP",43,,3.50,40.05192623,11,4.400,101.500,99,5,"PUBLIC",103.472,3.0,92,65,3,160,45.761,5
"BA","Bass Lake",44,"BA",2003,,1604200,"BASS LAKE",,"Vilas","T40 R11 S29SWNE",45.924219,-89.137704,"SP",15,,5.19,111.62994490,4,3.400,90.000,81,4,"PRIVATE",0.000,0.0,61,72,1,134,25.801,5
"BG","Big Lake",20,"BG",2001,,2334700,"BIG LAKE T42N R06E S04",,"Vilas","T42 R 6 S 4SENW",46.154741,-89.769702,"DG",61,,15.17,343.63821100,6,4.255,130.815,120,5,"PUBLIC",729.799,4.8,18,53,0,71,4.681,2
"BI","Birch Lake",29,"BI",2002,,2311100,"BIRCH LAKE",,"Vilas","T43 R 5 S10NESE",46.217669,-89.838384,"DG",45,,10.50,212.02649280,9,2.400,83.000,81,4,"PUBLIC",259.213,2.5,29,139,1,169,16.089,5
"BL","Ballard Lake",43,"BL",2003,,2340700,"BALLARD LAKE",,"Vilas","T41 R 8 S 5NESE",46.060820,-89.498499,"DG",25,9,8.70,204.56339290,9,4.100,64.000,65,3,"PUBLIC",,,20,39,1,60,6.897,3
"BM","Big Muskellunge Lake",45,"BM",2003,,1835300,"BIG MUSKELLUNGE LAKE",,"Vilas","T41 R 7 S21NESW",46.017376,-89.614891,"SE",70,26,16.23,367.01749920,14,5.750,,51,2,"PUBLIC",84.146,0.5,18,12,0,30,1.849,1
"BO","Black Oak Lake",30,"BO",2002,,1630100,"BLACK OAK LAKE",,"Vilas","T43 R 9 S36SESE",46.163005,-89.316123,"DG",85,34,11.97,230.06608530,17,5.250,50.000,85,4,"PUBLIC",1914.520,15.7,64,142,9,215,17.957,5
"BP","Big Portage Lake",19,"BP",2001,,1629500,"BIG PORTAGE LAKE",,"Vilas","T42 R10 S 8NWSW",46.125602,-89.284923,"SE",40,18,10.84,240.46623070,14,3.875,35.765,34,2,"PUBLIC",128.205,1.2,22,116,1,139,12.819,4
"BR","Brandy Lake",15,"BR",2001,,1541300,"BRANDY LAKE (CECILIA)","CECILIA","Vilas","T40 R 6 S35SENW",45.906815,-89.700842,"DG",44,,3.53,45.08378692,10,3.065,166.590,87,4,"PUBLIC",0.000,0.0,51,53,2,106,30.064,5
"BS","Big St Germain Lake",11,"BSG",2001,,1591100,"BIG ST GERMAIN LAKE",,"Vilas","T40 R 8 S30NESW",45.934297,-89.519786,"DG",42,21,12.79,665.65137740,7,2.590,90.840,83,4,"PUBLIC",62.752,0.5,119,187,5,311,24.307,5
"CA","Camp Lake",31,"CA",2002,,1839100,"CAMP LAKE",,"Vilas","T41 R 6 S27SWSE",45.997921,-89.733262,"SE",31,9,2.90,17.64437325,16,4.500,12.000,16,1,"PUBLIC",0.000,0.0,0,0,0,0,0.000,1
"CB","Crab Lake",61,"CB",2004,,2953500,"CRAB LAKE",,"Vilas","T43 R 6 S14SWSE",46.194726,-89.719438,"DG",60,22,29.33,386.73157670,16,,,51,2,"PUBLIC",651.752,2.3,28,69,0,97,3.307,2
"CL","Circle Lily Lake",60,"CL",2004,,2326700,"CIRCLE LILY LAKE",,"Vilas","T42 R 5 S 6NWNW",46.159086,-89.919170,"DG",35,,6.27,94.90007295,6,,,72,3,"PUBLIC",1552.264,23.6,19,18,0,37,5.904,2
"CP","Carpenter Lake",46,"CR",2003,,976100,"CARPENTER LAKE",,"Vilas","T40 R11 S17SWNE",45.943752,-89.147862,"SE",16,,5.55,144.48216390,6,5.500,23.000,37,2,"PRIVATE",51.570,0.9,45,53,2,100,18.007,5
