lakeid,cuvette_use,a254_10,a280_10,a300_10,a320_10,a365_10,a400_10,a420_10,a440_10,a254_a365_10,S_10,a254_1,a280_1,a300_1,a320_1,a365_1,a400_1,a420_1,a440_1,a254_a365_1,S
1518900,10,4.36558983,3.3329016,2.4446345,1.8926054,1.112291425,0.776111,0.6570459,0.5656168,3.924861535,10.21371019,,,,,,,,,,
1013200,10,4.853410667,2.844708606,1.141655821,0.368844785,-0.28609392,-0.619326339,-0.693141192,-0.736688808,-16.96439642,#NUM!,,,,,,,,,,
1846900,10,7.316728878,5.24588855,3.241760375,2.3131332,1.331465056,0.9292605,0.779047325,0.66107615,5.495246641,10.58883356,,,,,,,,,,
1001300,10,7.32127509,5.119524639,3.175690346,2.230347511,1.208966382,0.782525358,0.637469866,0.523489443,6.055813626,11.98485892,,,,,,,,,,
968800,10,7.614270225,5.192011513,3.008170599,2.032482453,1.129043663,0.728123397,0.579398863,0.45480768,6.743999792,13.01230327,,,,,,,,,,
2016000,10,7.615587153,5.528628543,3.455373943,2.395713877,1.147084911,0.68591337,0.537553922,0.417031355,6.639078833,14.49468188,,,,,,,,,,
970000,10,7.932113508,5.00453415,2.922794875,1.9603136,1.006684481,0.6298705,0.501075225,0.40452195,7.879443515,13.19326269,,,,,,,,,,
981200,10,8.39636952,5.6280714,3.346259,2.2297646,1.0994522,0.658658,0.5048176,0.3924312,7.636866359,14.52561447,,,,,,,,,,
2320800,10,8.664827145,6.626118796,4.446050391,3.26831493,2.078274331,1.407507886,1.261357499,1.132284124,4.169241287,8.469223237,,,,,,,,,,
989000,10,8.697031928,5.98284855,3.613694875,2.4697372,1.301813931,0.8210195,0.646624825,0.52980515,6.680702763,12.75313778,,,,,,,,,,
1630100,10,8.784511383,6.06506565,3.607361625,2.4370346,1.244325294,0.8002925,0.634073475,0.50239945,7.059658296,13.50268814,,,,,,,,,,
2758200,10,9.211003953,6.42617605,4.032265125,2.7898542,1.494258369,0.9684115,0.806107575,0.67143965,6.164264591,11.86971871,,,,,,,,,,
1008400,10,9.960722573,6.93928445,4.409957125,3.0850988,1.518785319,0.9039275,0.686812175,0.53878685,6.558347944,14.38620149,,,,,,,,,,
20849,10,10.04293967,7.72000145,5.764121125,4.3379308,2.235594069,1.3115585,1.009232175,0.77599585,4.49229125,13.88115561,,,,,,,,,,
999100,10,10.62205205,7.44410205,4.932738125,3.5083902,1.782709119,1.0351985,0.787683575,0.61616765,5.958376462,14.2890789,,,,,,,,,,
972200,10,10.70349765,7.73727395,5.437670875,4.0270258,2.066179631,1.1987115,0.914233425,0.72417835,5.180332574,13.65451924,,,,,,,,,,
976100,10,11.23848455,7.79254595,4.928707875,3.5134568,1.998816881,1.3207705,1.068534425,0.87387335,5.622568357,11.70525777,,,,,,,,,,
