wbic,depth,wtemp,o2sat,do
2126,0.1,26.5,70.9,5.64
2126,0.5,21.8,57.2,5.03
2126,1,18,2.2,0.23
2126,2,8.5,1.3,0.15
2126,3,5.8,0.9,0.12
2126,4,4.9,0.8,0.11
2126,6,4.7,0.8,0.11
2126,8,4.4,0.7,0.1
2126,10,4.4,0.7,0.1
2126,12,4.6,0.7,0.1
2126,13,4.6,0.7,0.1
2283,0.1,25.1,93.4,7.8
2283,0.5,23.7,92.9,7.91
2283,1,20.2,29.9,2.69
2343,0.1,25,90.6,7.29
2343,1,24.2,84.7,7.15
2343,2,19.9,86,7.97
2343,3,14.4,55.6,5.66
2343,4,9.5,33.8,3.87
2343,5,7.3,23.7,2.87
2343,6,6.5,20.2,2.5
2392,0.1,24.2,94,7.97
2392,1,24.1,95,7.94
2392,2,15.2,64.9,6.56
2392,3,11,34.1,4.04
2392,4,7.5,29.6,3.6
2392,5,6.4,31.6,4.08
2561,0.1,20.6,78.8,7.08
2561,1,20.4,76.9,6.92
2561,2,20.3,75.7,6.81
2561,3,15.7,77.3,7.59
2561,4,10.9,55.1,6.09
2561,5,7.7,2.5,0.31
2561,6,6.5,1.8,0.23
2652,0.1,21.6,87.5,7.67
2652,1,21.6,85.5,7.59
2652,2,21.6,84.2,7.45
2652,3,21.6,83.8,7.39
2652,4,18.2,90.4,8.47
2652,5,13.1,78.4,8.06
2652,6,9.7,21,2.71
2652,7,7.8,9.6,1.13
2652,8,7,1.1,0.15
2652,9,6.5,0.8,0.11
2652,10,6.2,0.7,0.09
2725,0.1,24.8,108.5,9.15
2725,1,23.2,110.7,9.44
2725,2,22.3,108.3,9.59
19788,0.1,16.1,66.7,6.51
19788,0.5,14.3,28.2,3.14
19788,1,11.4,4,0.45
19788,1.5,8.3,2.7,0.33
19811,0.1,21,77.1,7.08
19811,0.5,19.6,82.1,7.2
19850,0.1,26.3,97.1,8.05
19850,0.5,22.8,85.5,7.69
19925,0.1,25.2,63.6,5.03
19925,1,18.1,34.4,3.18
19925,2,11.2,10.3,1.17
19925,3,6.6,2.5,0.34
19925,4,5.3,2.2,0.29
19925,5,4.6,2.2,0.28
19925,6,4.8,2.3,0.3
19925,7,5,2.5,0.32
20068,0.1,21.4,84.1,7.38
20068,1,20.9,82.9,7.29
20068,2,17.8,96.5,8.85
20068,3,12.4,14.7,1.61
20068,4,8.8,7.3,0.87
20068,5,6.2,4.3,0.54
20068,5.5,5.8,3.6,0.45
20282,0.1,18.5,44.3,4.05
20302,0.1,24.6,57.8,4.83
20302,0.5,19.8,20.8,1.9
20302,1,16.2,8.6,1.14
20302,2,9,2.7,0.31
20302,3,6.1,2,0.25
20302,5,5,1.7,0.22
20302,6,4.9,1.6,0.22
20370,0.1,27,90.5,7.45
20370,0.5,21.3,28.9,2.47
20370,1,16.9,3.9,0.4
20483,0.1,24.7,95.5,7.85
20501,0.1,24.4,85.5,7.2
20501,0.5,22.6,73.1,6.35
20836,0.1,24,33.8,3.07
20836,0.5,17.1,3.8,0.4
20836,1,11.8,4.7,0.51
20836,2,7.3,3.1,0.39
20836,3,6.3,2.9,0.36
20836,4,5.7,2.8,0.35
20836,5,5.5,2.5,0.31
20836,6,5.5,2.7,0.32
20836,7,5.3,2.6,0.33
20849,0.1,12.2,47,5.15
20888,0.1,22.3,74.5,6.45
20888,0.5,21.8,71.6,6.26
20888,1,15.9,46.8,4.6
20888,2,9.4,2.3,0.27
20888,3,7,1.7,0.23
20888,4,6,15,0.19
20888,5,5.6,1.3,0.16
20961,0.1,21.9,56.8,4.93
20961,0.5,19.6,18.5,2.8
20961,1,15.1,4.5,0.49
