wbic,elevation,area,elevation_ned,depth_ned,longitude,latitude,perimeter
492,347.6147,27757.12,348.0107,0.396,-90.0326,46.62868,928.208
600,346.1471,69426.83,349.2006,3.0535,-90.18887,46.58527,1129.715
661,395.0152,28474699.92,395.016,0.0008,-89.55533,46.46629,33936.361
694,421.867,9401.36,421.7332,-0.1338,-89.89028,46.57526,392.315
948,357.6834,1364.99,358.9564,1.273,-90.21959,46.50707,137.722
1121,463.0847,912115.13,463.7381,0.6534,-89.94422,46.48096,5729.238
1578,472.2556,1905088.14,473.0269,0.7713,-90.00779,46.37715,10393.687
1594,461.9942,16485.51,465.6996,3.7054,-88.79267,46.41876,716.535
1606,477.0289,101954.28,478.3484,1.3195,-88.84275,46.41661,1234.19
1627,462.5258,33671.61,462.6208,0.095,-88.98648,46.41167,1828.436
1643,462.277,116308.59,463.9239,1.6469,-88.69248,46.41586,1573.448
1646,462.0855,210044.99,465.0024,2.9169,-88.68593,46.41436,2059.782
1650,457.1452,114482.48,458.0161,0.8709,-88.7748,46.41234,1721.333
1657,467.6225,11414.99,470.0764,2.4539,-88.79845,46.40976,403.565
1659,462.2577,37185.09,463.9406,1.6829,-88.69296,46.41148,727.288
1662,458.1208,41077.86,458.178,0.0572,-88.77651,46.40837,930.119
1674,467.1869,74086.84,469.9512,2.7643,-88.80631,46.40431,1369.335
1686,501.3064,992567.06,505.2991,3.9927,-88.35997,46.40375,8890.841
1693,467.2458,345981.12,467.6393,0.3935,-89.49364,46.38044,2848.833
1695,463.7849,11089.73,463.7684,-0.0165,-88.47996,46.40974,534.774
1696,467.189,8558.93,467.2598,0.0708,-88.766,46.4024,362.71
1699,496.2237,323088.68,496.2154,-0.0083,-88.32502,46.40325,6155.349
1702,493.4844,22896.9,493.8401,0.3557,-88.8688,46.39731,593.272
1703,462.4131,94784.35,462.8179,0.4048,-88.73272,46.39703,2254.715
1706,473.972,52199.03,474.0005,0.0285,-88.76159,46.39808,1579.783
1716,473.8813,15651.86,474.2361,0.3548,-88.823,46.39672,879.48
1725,467.0952,728374.79,467.6781,0.5829,-88.69496,46.39328,3638.352
1726,472.6269,72587.75,473.0453,0.4184,-88.75182,46.39925,2261.101
1727,473.8126,5981.53,473.9142,0.1016,-88.74789,46.39636,451.655
1730,488.5058,10576.97,490.0897,1.5839,-88.87591,46.39194,485.8
1740,472.1127,669520.38,474.7838,2.6711,-88.72467,46.38627,5752.386
1746,487.1919,486725.83,489.8409,2.649,-88.87777,46.38462,3625.319
1747,472.2949,110660.65,474.4174,2.1225,-88.90138,46.38565,1402.203
1748,499.5122,45112.88,501.4017,1.8895,-88.95399,46.38394,1195.4
1757,474.6097,25935.54,474.7517,0.142,-89.62859,46.36305,676.386
1759,473.7467,252663.93,474.7429,0.9962,-89.64549,46.35828,3784.265
1760,473.8051,681862.11,474.1811,0.376,-89.74554,46.35439,3598.601
1768,473.7285,361442.49,473.8148,0.0863,-89.66985,46.35613,3540.604
1770,482.2135,68570.35,482.5134,0.2999,-88.73808,46.383,1162.697
1771,482.2657,279299.94,482.5216,0.2559,-88.93348,46.37698,2974.68
1773,461.6752,57329.42,463.2461,1.5709,-88.59122,46.3866,1036.217
1774,479.8947,105900.36,481.0067,1.112,-89.78169,46.35152,1875.286
1775,486.523,19963.53,486.9717,0.4487,-88.9715,46.37691,558.611
1776,491.073,181692.17,491.1505,0.0775,-88.41265,46.38831,1751.72
1781,482.764,150041.34,484.6091,1.8451,-88.81803,46.37761,3158.719
1787,490.9569,106909.19,490.5783,-0.3786,-88.95593,46.37329,1886.75
1796,482.2823,31461.86,482.8176,0.5353,-88.92893,46.37185,772.712
1797,461.3416,449842.76,462.2524,0.9108,-88.53184,46.37818,2567.613
1798,491.2551,199011.99,492.6598,1.4047,-88.40259,46.38026,2747.208
1799,488.4875,42809.81,489.6506,1.1631,-88.95435,46.37021,890.245
1806,476.7384,106751.76,477.4719,0.7335,-89.77388,46.34501,1356.474
1808,493.6877,45807.66,493.4844,-0.2033,-88.95087,46.36948,855.832
1811,485.2278,24602.32,485.2077,-0.0201,-88.88548,46.37044,937.395
1812,484.4105,45393.62,485.0952,0.6847,-88.88006,46.36996,916.871
1813,478.2235,19602.78,478.1569,-0.0666,-88.73614,46.37346,536.895
1819,465.4654,4197414.8,468.6347,3.1693,-88.66204,46.36203,11542.966
1820,491.4061,643712.61,491.8519,0.4458,-88.30606,46.37449,8310.259
1822,492.7206,27727.82,493.8342,1.1136,-88.90314,46.36595,719.493
1825,467.1182,132368.29,468.9004,1.7822,-88.68803,46.36983,1373.497
1837,492.2604,142033.8,495.2223,2.9619,-88.80739,46.36432,3076.691
1838,507.2113,64378.89,507.2083,-0.003,-88.98221,46.36167,1227.999
1839,473.5752,49292.38,473.3668,-0.2084,-88.73855,46.36834,1144.647
1840,493.4655,29484.36,493.8352,0.3697,-88.87878,46.36424,713.859
1842,487.0359,33451.39,488.766,1.7301,-88.95824,46.36153,996.123
1845,487.1377,148765.11,490.0006,2.8629,-88.88936,46.36165,1896.392
1849,493.6187,29173.31,494.8318,1.2131,-88.91779,46.36068,746.855
1850,487.1082,81370.98,488.9078,1.7996,-88.88201,46.35991,1490.063
1851,492.0554,315816.29,494.8324,2.777,-88.91607,46.3561,2781.254
1854,495.3626,2001295.5,495.6368,0.2742,-89.91167,46.31985,12173.24
1856,473.7465,174380.92,476.7442,2.9977,-89.69641,46.33519,2102.635
1857,493.0245,17592.32,495.0227,1.9982,-88.94818,46.35819,518.041
1859,493.8578,27067.2,494.5634,0.7056,-88.81208,46.36018,865.628
1869,493.1495,45304.46,495.0227,1.8732,-88.94887,46.35621,1144.644
1870,486.6207,970527.86,486.9272,0.3065,-88.88653,46.35027,7841.953
1874,492.1767,139928.1,494.1979,2.0212,-88.94347,46.353,2097.563
1882,486.3138,50012.32,488.0287,1.7149,-88.40989,46.36703,1024.806
1883,479.9625,189981.97,480.6369,0.6744,-89.78837,46.32789,2552.356
1884,493.2975,18639.78,494.1772,0.8797,-88.9053,46.35549,580.882
1907,471.3404,23740.97,470.9121,-0.4283,-89.696,46.33169,748.2
1909,497.1374,41558.27,499.9218,2.7844,-89.36014,46.34105,918.506
1912,498.824,33824.98,498.8544,0.0304,-88.96006,46.35271,688.211
1913,480.2312,13628.38,481.932,1.7008,-89.71207,46.33087,773.296
1917,477.2724,74654.13,478.6226,1.3502,-88.73391,46.35653,1111.757
1918,492.0405,109388.51,492.5586,0.5181,-88.81187,46.35397,1586.087
