wbic,secchi,depth_at_samplesite,top_hypolimnion,440_color_10_cm,440_color_1_cm,alk,pH,dic,doc,tic,toc,totnf,totnuf,totpf,totpuf,cl,so4,ca,mg,na,k,fe,mn,upstream_lake_area,upstream_wetland_area,upstream_land_area,upstream_total_area,watershed_area,watershed_perimeter,wtemp_epil,do_epil,o2sat_epi,wtemp_meta,do_metal,o2sat_metal,wtemp_hypol,do_hypol,o2sat_hpyol
19788,0.4,1.9,-999,1.3268,0.1253,281.43,6.072,3.92,29.6,6.69,29.44,1321,1847,70,117,-999,-999,16.95,3.73,40.55,1.005,2.4,0.737,899,0,6772,7672,7672,423,16.1,6.51,66.7,11.98,1.82,16.97,-999,-999,-999
19925,1.5,7.4,5.5,0.3399,0.0254,-20.5,4.544,1.47,13.17,1.65,12.85,534,426,7,8,-999,-999,0.507,0.16,0.129,0.291,0.079,0.051,700,14804,42542,58046,43242,1056,25.2,5.03,63.6,12.44,1.72,18.19,4.89,0.3,2.29
20302,1,6.15,4.5,0.6221,0.0621,-41.6,4.407,1.13,25.63,1.41,25.77,648,605,12,5,0.1,2.18,1.51,0.516,0.253,0.085,0.146,0.041,950,921,1843,3714,2792,264,24.6,4.83,57.8,15.05,1.32,13.44,5.3,0.23,1.76
20836,0.65,7.5,5,0.6797,0.0663,74.34,5.472,4.02,20.56,3.72,19.73,762,772,25,27,0.34,0.15,1.98,0.544,0.252,1.49,0.442,0.065,1974574,1694768,6263176,9932518,10464,423,24,3.07,33.8,14.69,0.71,7.09,5.9,0.34,2.76
21261,2.3,6.7,5.5,0.122,0.0116,0.58,5.192,0.8,5.88,1.08,6.17,342,351,3,2,0.1,0.42,0.343,0.114,0.04,0.236,0.037,0.019,494167,445792,2851137,3791096,5582,423,23.6,6.56,77.4,13.63,2.26,23.89,5.05,0.18,1.3
1518500,0.35,0.35,-999,0.1412,0.0133,485.27,6.723,7.21,4.12,7.27,3.67,309,604,3.5,7,0.43,4.6,6.66,2.36,1.8,0.449,0.464,0,20227,20677,2907997,2948901,202979,3275,19,7.78,84.1,-999,-999,-999,-999,-999,-999
19652,1.1746,5.8682,4.987,0.501,0.0472,71.7569,5.1717,2.5444,16.6263,2.89,16.4123,620.482,669.196,16.459,19.921,0.2327,1.2887,3.0514,0.8479,4.0473,0.5653,0.4127,0.1054,504007.96,436566.5,2115044.9,3054869.5,33458.732,805.684,23.0292,5.2904,61.3429,13.7378,1.4403,14.6829,5.3797,0.2716,2.1136
20456,1.1586,5.8326,4.996,0.4835,0.0454,81.6596,5.2089,2.6579,16.0519,2.9762,15.8479,606.901,656.662,15.832,19.372,0.2358,1.3616,3.0998,0.8642,3.7981,0.568,0.4019,0.0982,508852.5,439201.05,2180990.1,3101175.6,37410.863,862.413,23.0264,5.3651,61.8886,13.7743,1.4674,14.979,5.3916,0.2692,2.0987
21349,1.1682,5.7988,5.0115,0.4999,0.0469,80.9725,5.2137,2.6312,16.4167,3.0251,16.1818,627.509,683.075,17.296,21.784,0.2304,1.3444,3.3001,0.8811,4.5651,0.5996,0.4393,0.111,525793.22,461641.24,2199314.8,3183678.2,34006.932,818.535,22.8967,5.3165,61.3699,13.7604,1.4565,14.8368,5.3876,0.2704,2.11
1119900,1.1633,5.721,5.005,0.5016,0.0472,81.1788,5.2143,2.6242,16.445,3.0212,16.2843,622.954,686.837,17.221,21.838,0.239,1.3412,3.4432,0.922,4.9305,0.5635,0.4536,0.1174,486797.5,421006.67,2080102.9,2996166.9,32941.274,797.31,22.8264,5.3853,62.0633,13.747,1.4425,14.6986,5.3774,0.2677,2.0798
1614700,1.1445,5.6888,5.01,0.4973,0.0467,86.41,5.2325,2.6927,16.16,3.0404,15.8829,613.162,668.748,16.262,20.087,0.2373,1.3716,3.1618,0.8696,4.1051,0.5739,0.4152,0.104,503878.85,441635.9,2182737.3,3113204.4,37019.529,861.148,23.0257,5.3483,61.9495,13.7159,1.4662,15.034,5.3765,0.2679,2.0838
2017300,1.1923,5.8626,4.994,0.5071,0.048,74.1612,5.196,2.5142,16.6011,2.9077,16.4013,630.06,683.784,17.5675,21.942,0.2267,1.2513,3.2443,0.856,4.728,0.5898,0.4463,0.117,540056.88,469353.89,2190678.4,3195379.4,28302.761,725.853,23.0102,5.2607,60.8296,13.7677,1.41,14.3979,5.4144,0.2737,2.14
2024400,1.1635,5.8352,5.008,0.5062,0.0478,77.2596,5.1962,2.5767,16.5697,2.9751,16.3929,625.946,684.3,17.2535,21.516,0.2314,1.3505,3.2236,0.8723,4.5211,0.5792,0.4348,0.1109,513286.1,446273.35,2152139.6,3094122.4,32097.921,788.107,23.0006,5.3217,61.5973,13.7657,1.4514,14.8208,5.3783,0.2691,2.0978
2036700,1.1519,5.8051,5.0005,0.5051,0.0475,76.4947,5.1939,2.5987,16.6353,2.9694,16.3917,628.291,683.098,17.2595,21.404,0.2254,1.2337,3.2505,0.8814,4.5211,0.5847,0.4398,0.1136,517291.53,452618.22,2184249.8,3152119.5,32192.05,786.369,22.991,5.2643,60.8342,13.7633,1.4193,14.4925,5.4186,0.2751,2.1531
2041500,1.1942,5.8675,5.0165,0.4879,0.0462,75.5791,5.2024,2.5735,16.2577,2.9282,16.1314,616.17,669.26,16.5895,20.641,0.2308,1.3617,3.1775,0.8556,4.1609,0.5819,0.4175,0.1058,534070.81,462762.53,2234853.1,3234516.6,31274.964,769.261,23.0777,5.28,61.0638,13.8399,1.417,14.4503,5.4006,0.2721,2.1274
20961,0.55,3.1,-999,0.3306,0.0338,16.77,5.027,0.86,14.14,1.13,13.76,500,534,4,8,0.13,0.28,0.799,0.255,0.162,0.193,0.113,0.023,1882586,2600331,11684249,16167166,21626,845,21.9,4.93,56.8,14.43,1.24,10.3,-999,-999,-999
21165,0.9,6.5,4.5,0.5493,0.0609,-27.4,4.461,1.25,22.49,1.06,22.72,592,558,7,4,0.36,2.26,1.42,0.502,0.327,0.371,0.318,0.06,222279,219553,813550,1255381,3491,264,24.9,4.86,62,15.84,1.85,20.66,5.2,0.53,4.08
1115900,0.95,2.3,-999,0.434,0.0413,-27.87,4.484,1.17,13.92,1.53,13.81,510,441,7,6,0.27,1.32,0.39,0.176,0.147,0.435,0.292,0.018,1104,32778,78415,112297,79519,1796,21.7,6.35,77,15.62,2.84,31.05,-999,-999,-999
1125400,0.9,1.3,-999,0.2284,0.0245,116.61,6.245,2.45,9.59,3.06,8.64,815.5,867,37,22,8.45,0.3,1.26,0.523,5.5,2.12,0.528,0.026,628532380,1494570200,7532200300,9655302900,61378,1638,24.1,5.45,62.8,22.58,5.59,63.79,-999,-999,-999
2034000,2,3.1,-999,0.1444,0.0107,-3.32,4.959,1.73,6.61,1.95,6.68,233,219,4,0,0,0,0.496,0.126,0.101,0.279,0.067,0.017,26491748,69883145,252678050,349052940,34187,1109,17.9,3.82,40.31,13.73,0.77,7.58,-999,-999,-999
19172,1.0001,3.3478,-999,0.3653,0.0377,16.0815,5.0314,1.5264,14.2376,1.7809,13.9715,571.942,561.054,13.654,8.992,2.3051,1.0241,0.9287,0.3484,1.496,0.7819,0.3081,0.0313,154918010,373166750,1861556800,2389042900,43009.438,1167.113,22.6878,5.2762,62.8795,17.0024,2.8219,31.2048,-999,-999,-999
20507,1.0262,3.217,-999,0.3555,0.0363,16.5101,5.0453,1.5436,13.7455,1.8064,13.5277,563.066,553.032,13.594,8.836,2.2372,0.9593,0.899,0.3368,1.5044,0.7899,0.3027,0.0298,161768970,383863800,1897447700,2435283100,44477.092,1199.757,22.5474,5.2698,62.6129,17.006,2.8343,31.3445,-999,-999,-999
20517,1.0092,3.2298,-999,0.3592,0.0367,16.0945,5.0368,1.5248,13.9371,1.7827,13.767,562.017,549.9,13.129,8.686,2.1018,0.9998,0.8955,0.335,1.3586,0.737,0.2962,0.0303,143257540,339792420,1713803800,2219598500,43809.702,1183.366,22.4808,5.2748,62.7338,16.75,2.7125,29.6986,-999,-999,-999
20906,1.0056,3.2782,-999,0.3639,0.0374,15.1884,5.0225,1.522,14.0801,1.7872,13.8167,567.6515,556.707,13.384,8.854,2.1788,1.0107,0.9081,0.34,1.4549,0.7674,0.3012,0.0305,150868540,360910270,1790334400,2337498200,43234.824,1171.122,22.5828,5.267,62.6474,16.9973,2.8132,30.8609,-999,-999,-999
21252,1.0222,3.3668,-999,0.3629,0.0372,13.6477,5.011,1.5257,14.1309,1.7752,13.8992,559.4265,546.153,12.931,8.458,2.0792,1.0293,0.9241,0.343,1.3733,0.7427,0.2967,0.0312,140579650,334917450,1665308800,2128878700,42202.735,1153.465,22.5368,5.2564,62.6715,16.7746,2.7064,29.8909,-999,-999,-999
22098,0.978,3.2612,-999,0.3627,0.0374,21.4216,5.0952,1.5659,14.063,1.8361,13.7794,584.8085,576.375,14.632,9.52,2.4959,1.0036,0.9547,0.3608,1.6785,0.8395,0.3194,0.0314,179471890,430156430,2164952200,2778094300,42873.758,1169.672,22.854,5.2795,62.9557,17.2999,2.959,32.6194,-999,-999,-999
22104,1.0162,3.248,-999,0.3566,0.0366,18.1882,5.0585,1.5475,14.004,1.8049,13.7785,569.3975,559.473,13.738,9.004,2.3,0.9846,0.9264,0.3463,1.5304,0.7903,0.3042,0.0307,158469990,378930540,1889355200,2425888200,42383.211,1161.402,22.6404,5.231,62.2285,17.039,2.8135,30.9778,-999,-999,-999
1122600,0.9857,3.2478,-999,0.3617,0.0374,19.8277,5.0777,1.5593,14.1266,1.8176,13.8204,579.433,570.588,14.362,9.4,2.4454,1.0068,0.9397,0.3543,1.659,0.8404,0.3164,0.0306,174916640,414939280,2079956200,2630405500,44347.814,1191.844,22.6548,5.2865,62.836,17.1077,2.8634,31.4404,-999,-999,-999
1588800,0.9956,3.143,-999,0.3608,0.0369,18.5077,5.0611,1.5404,13.9636,1.8135,13.7277,577.6505,567.036,14.071,9.332,2.3719,0.9994,0.9149,0.3466,1.5931,0.8162,0.3147,0.0304,168170110,400318210,1999673600,2538033600,45696.735,1218.892,22.6528,5.3415,63.6097,17.1158,2.9029,32.0275,-999,-999,-999
2041100,1.0966,3.4466,-999,0.3666,0.0369,0.0656,4.8557,1.4203,13.9253,1.6468,13.7844,511.027,490.287,9.898,6.676,1.2745,1.0122,0.8132,0.297,0.8776,0.577,0.2608,0.0296,84281824,203229250,1003983300,1310727500,42502.894,1151.027,21.986,5.1587,61.2451,15.9387,2.2869,25.0074,-999,-999,-999
