station,longitude,latitude
1,10.077683,55.802583
2,10.030195,55.843472
3,9.92769,55.847538
4,9.53913,55.51844
5,9.52328,55.51162
6,9.7789395749,55.87411204
7,9.8256064768,55.8702406748
8,9.8451378253,55.8813939025
9,9.8921202454,55.8723554437
10,10.0143071147,55.8853729666
11,9.9643947075,55.8802389255
12,9.884664072,55.8459647891
13,9.7576746965,55.9557329951
14,9.7846983701,55.9480341942
16,9.8591884307,55.8567482344
20,9.9552516449,55.8867708389
23,9.7437311757,55.8490807335
24,9.7544336536,55.8326440686
25,9.7441264543,55.9549709225
26,9.7862596756,55.8187329043
27,9.7443306859,55.9280496928
28,9.7452517641,55.84757995
29,9.6658866772,55.815669526
31,9.8579163437,55.9244177605
32,9.8579163437,55.9244177605
33,9.6897062372,55.865820676
34,9.6897062372,55.865820676
35,9.985672796,55.9212962599
36,9.7485903653,55.9099094211
38,9.9561194285,55.8284025282
50,9.7227036088,55.9398324024
51,9.7245412989,55.937934697
52,9.7893120955,55.9127012352
53,9.7531002434,55.9568752092
54,9.7510394023,55.9563217109
55,9.7570562213,55.9568689436
121,9.51829,55.51236
122,9.52815,55.50947
123,9.53555,55.50639
124,9.53153,55.51673
125,9.51129,55.51141
126,9.54535,55.50601
127,10.00707,55.50188
128,10.01826,55.51106
129,10.02379,55.51703
130,10.06691,55.52158
131,10.0402,55.52404
132,10.01269,55.51561
133,10.00532,55.51561
134,9.57694,55.52248
135,9.53934,55.51874
