date,station,Time,Tidal Height,Salinity,Water Temperature,Precipitation
41796,T1,1610,1.393,33.6,27,2.3
41796,T2,1910,0.88,32.6,28.7,15.2
41796,T3,2220,0.49,33.1,28.5,15.2
41796,T4,130,1.099,32.7,28,15.2
41796,T5,440,1.31,33.1,26.9,15.2
41796,T6,750,0.68,33,26.5,15.2
41796,T7,1045,0.34,33,26.9,15.2
41796,T8,1340,1.02,33,27.7,15.2
41796,T9,1640,1.63,34.4,27.1,15.2
41957,T1,1955,0.515,26.5,14.2,0
41957,T2,2310,0.94,31,14.4,0
41957,T3,217,1.465,33.3,13.7,0
41957,T4,504,1.235,32.9,12.3,0
41957,T5,758,0.64,32.5,10.6,0
41957,T6,1117,1.01,34.1,12.3,0
41957,T7,1443,1.462,34.5,13.2,0
41957,T8,1741,1.1,34.7,12.8,0
41957,T9,2044,0.397,35.6,11.7,0
42221,T1,1022,0.91,26,28.3,106.2
42221,T2,1343,1.644,34.3,29.3,106.2
42221,T3,1645,1,29.4,31.2,106.2
42221,T4,1940,0.025,31.2,30.9,106.2
42221,T5,2249,0.875,27.9,30.2,105.9
42221,T6,150,1.485,33.9,28.2,105.1
42221,T7,459,0.89,29.8,28.4,103
42221,T8,755,-0.14,22.6,27.5,103
42221,T9,1107,0.86,29,29.6,103
