date,station,a250 ,a350 
41796,T1 ,12.2,2.5
41796,T2 ,24.5,5.3
41796,T3 ,27.6,6
41796,T4 ,22.2,4.8
41796,T5 ,16,3.4
41796,T6 ,26,5.7
41796,T7 ,28.3,6.1
41796,T8 ,22.3,4.7
41796,T9 ,8.5,1.7
41957,T1 ,13.3,2.7
41957,T2 ,10.9,2.1
41957,T3 ,7.6,1.3
41957,T4 ,8.9,1.6
41957,T5 ,12.2,2.4
41957,T6 ,10.2,1.9
41957,T7 ,7.2,1.2
41957,T8 ,10,1.8
41957,T9 ,12.9,2.5
42221,T1 ,20.2,4.3
42221,T2 ,6.7,1.2
42221,T3 ,16.2,3.2
42221,T4 ,89.6,20.1
42221,T5 ,22.7,4.7
42221,T6 ,7.5,1.3
42221,T7 ,16.5,3.3
42221,T8 ,69,15.5
42221,T9 ,22.2,4.5
