Station ID ,date,Latitude (N) ,Longitude (W) ,Temp (°C) ,Sp. Cond (μS cm−1) ,DO (mg L−1) ,Chl-a (μg L−1) ,Water depth (m)
DePere Dam ,June 2014,– ,– ,– ,– ,– ,– ,6.7
Fox Mouth ,,44°32′15.72″ ,88°00′08.28″ ,22.1,410,7.25,– ,7.8
GB-6 ,,44°39′26.81″ ,87°53′00.74″ ,18.3,330,11.04,5.4,5.9
GB-12 (Sta-F) ,,44°45′28.20″ ,87°45′03.00″ ,18.8,327,10.11,3.3,9.9
Sta-B ,,44°47′15.55″ ,87°47′32.49″ ,16.9,302,10.57,2.2,11.6
GB-38 B ,,44°57′58.21″ ,87°23′48.83″ ,18.9,305,– ,– ,19.4
GB-17 ,,44°47′37.11″ ,87°45′36.74″ ,16.5,295,10.56,2,13.2
GB-42 ,,45°01′14.83″ ,87°22′58.99″ ,18.7,301,11.23,3.1,30.7
GB-20 (Sta-G) ,,44°50′26.64″ ,87°41′39.00″ ,17.9,298,10.14,3.2,15.3
Sta-D ,,44°40′18.25″ ,87°52′40.04″ ,17.6,309,10.35,1.9,6.5
GB-25 (Sta-H) ,,44°54′25.66″ ,87°32′04.37″ ,18.3,308,10.57,4.4,23
GB-30 ,,44°55′39.98″ ,87°26′40.98″ ,17.3,298,10.72,3.7,18
Sta-C ,,44°43′42.95″ ,87°51′13.39″ ,16.9,324,10.35,– ,8.8
Sta-A ,,44°49′48.72″ ,87°40′51.95″ ,18.1,307,10.02,1.9,14
GB-9 (Sta-E) ,,44°42′22.03″ ,87°49′11.65″ ,15.9,298,10.56,2.4,8.1
GB-26 ,,44°53′01.22″ ,87°37′57.88″ ,14,293,11.32,2.1,21.4
Condos ,,44°56′30.28″ ,87°50′09.26″ ,12.1,300,11.14,1.2,10.2
GB-SB ,,44°53′42.32″ ,87°24′50.33″ ,17.3,309,– ,– ,13
GB-CI ,,45°10′01.60″ ,87°16′56.14″ ,14.9,300,11.07,– ,18.6
GB-39 ,,44°58′39.76″ ,87°30′40.16″ ,12.4,295,12.07,– ,27.5
GB-47 ,,45°04′00.24″ ,87°23′00.26″ ,13.8,296,12.45,3.5,29.7
GB-44 (Sta-I) ,,45°01′32.44″ ,87°28′41.06″ ,12.7,287,12,2.5,32.8
GB-64 B ,,45°14′21.47″ ,87°19′26.94″ ,14.6,295,11.38,– ,11.3
GB-52 ,,45°06′37.96″ ,87°23′02.65″ ,13.2,286,11.7,1.8,25.1
GB-59 (Sta-J) ,,45°10′17.77″ ,87°26′48.71″ ,14,290,10.56,1.3,29.9
GB-67 ,,45°11′58.05″ ,87°26′50.67″ ,13.7,296,11.81,1.7,29.3
GB-48 ,,45°04′16.12″ ,87°26′47.12″ ,12.2,281,12.4,2.3,31.2
GB-64B (Sta K) ,,45°12′00.91″ ,87°15′27.76″ ,14.7,– ,– ,– ,23.8
GB-53 ,,45°06′39.47″ ,87°26′42.43″ ,12.3,284,12.31,1.1,30
GB-73 ,,45°14′38.36″ ,87°23′02.61″ ,11.1,289,13.6,1.9,31.2
Fox River ,August 2014,44°32′15.72″ ,88°00′08.28″ ,– ,– ,– ,– ,–
GB-6E ,,44°39′27.53″ ,87°49′49.44″ ,22.1,318,10.8,3.9,4.6
GB-SC ,,44°34′29.03″ ,87°59′06.75″ ,23.4,361,14.2,5.6,7.6
GB-2E ,,44°36′14.58″ ,87°56′05.11″ ,22.8,332,5.6,6.1,4.3
GB-2S ,,44°36′10.51″ ,87°56′49.88″ ,22.2,340,11.4,3.7,5
GB-2W ,,44°35′57.63″ ,87°57′56.29″ ,– ,– ,– ,– ,3.3
GB-5 ,,44°39′27.53″ ,87°49′49.44″ ,22.6,311,7.1,5.3,6.2
GB-8 ,,44°42′25.68″ ,87°45′28.09″ ,21.9,322,10.4,3.2,7.3
GB-1B ,,44°38′31.81″ ,87°53′17.70″ ,22.9,316,6.5,6.6,5.3
GB-9 ,,44°42′19.91″ ,87°49′05.62″ ,21.9,315,12.1,3.2,8.2
GB-10B ,,44°41′32.09″ ,87°50′20.96″ ,22,312,11.2,3.7,7.5
GB-16B ,,44°47′44.72″ ,87°41′44.87″ ,21.7,312,11.1,2.8,11.2
GB-13 ,,44°45′02.52″ ,87°48′28.75″ ,21.7,314,11,3.4,–
MR-Mouth ,,45°05′15.34″ ,87°32′49.95″ ,22.1,336,9.3,1.2,17.2
Condos ,,44°46′28.25″ ,87°50′09.79″ ,21.9,308,12.8,2.4,10.1
GB-18 ,,44°47′40.25″ ,87°49′14.56″ ,22.4,340,9.6,2.7,11.2
GB-30B ,,44°54′59.19″ ,87°27′28.51″ ,20.7,– ,9.1,– ,–
GB-12 ,,44°44′58.52″ ,87°45′49.63″ ,21.6,309,11.5,3.4,9.6
GB-18B ,,44°48′26.76″ ,87°48′06.56″ ,22.3,340,10,5.4,11.1
GB-7 ,,44°39′30.29″ ,87°56′46.46″ ,23.4,342,9.3,2.8,4.6
GB-17 ,,44°47′40.13″ ,87°45′46.16″ ,21.5,308,11.6,2.2,12.2
GB-11 ,,44°42′11.06″ ,87°56′15.27″ ,23.3,339,9.3,3.3,–
GB-25 ,,44°52′30.46″ ,87°33′35.36″ ,20.8,296,9.3,3.1,–
GB-20 ,,44°50′50.68″ ,87°37′51.79″ ,21.3,300,9.4,2.7,14.4
GB-31 ,,44°55′17.99″ ,87°30′23.36″ ,21,339,9.5,2.5,23.7
GB-14B ,,44°45′25.88″ ,87°52′44.90″ ,22.7,340,9.6,4,6.1
GB-19 ,,44°47′24.49″ ,87°52′15.44″ ,23,330,9.6,4,6.1
GB-32 ,,44°55′39.63″ ,87°34′14.43″ ,21.1,304,10.8,1.7,–
