Station ID ,date,DOC (μM-C) ,a254 (m−1) ,SUVA254 (L mg-C−1 m−1) ,S 275–295(nm
DePere Dam ,June 2014,561,58.4,3.77,0.0173
Fox Mouth ,,546,56.5,3.74,0.0173
GB-6 ,,442,35,2.86,0.0202
GB-12 (Sta-F) ,,414,33.4,2.92,0.0213
Sta-B ,,396,31.7,2.9,0.0194
GB-38 B ,,396,33.9,3.1,0.0186
GB-17 ,,394,32.6,2.99,0.0201
GB-42 ,,385,34.1,3.21,0.019
GB-20 (Sta-G) ,,384,31.7,2.99,0.0203
Sta-D ,,383,31.1,2.94,0.0199
GB-25 (Sta-H) ,,378,32,3.06,0.0191
GB-30 ,,375,32.3,3.12,0.019
Sta-C ,,375,32.7,3.15,0.0192
Sta-A ,,374,31.1,3.01,0.0197
GB-9 (Sta-E) ,,374,30.4,2.94,0.0201
GB-26 ,,371,32.1,3.13,0.0193
Condos ,,360,29.1,2.93,0.0197
GB-SB ,,354,31.2,3.19,0.0195
GB-CI ,,354,29.4,3.01,0.0203
GB-39 ,,336,27.7,2.98,0.0194
GB-47 ,,321,25.6,2.88,0.0216
GB-44 (Sta-I) ,,320,27.2,3.07,0.0188
GB-64 B ,,310,22.1,2.58,0.0213
GB-52 ,,309,26.2,3.06,0.0185
GB-59 (Sta-J) ,,304,27.9,3.33,0.0188
GB-67 ,,291,24.5,3.05,0.0207
GB-48 ,,291,23.6,2.94,0.0189
GB-64B (Sta K) ,,288,22.1,2.78,0.0203
GB-53 ,,250,17.8,2.58,0.0214
GB-73 ,,202,12.4,2.22,0.0222
Fox River ,August 2014,610,59.8,3.55,0.0202
GB-6E ,,495,40.3,2.95,0.0237
GB-SC ,,488,41.5,3.08,0.0247
GB-2E ,,458,29.8,2.35,0.0257
GB-2S ,,436,37.8,3.14,0.0224
GB-2W ,,426,38.2,3.25,0.0215
GB-5 ,,390,27.9,2.59,0.022
GB-8 ,,385,28.5,2.68,0.0212
GB-1B ,,365,31,3.08,0.0212
GB-9 ,,358,25.7,2.59,0.0217
GB-10B ,,356,24.2,2.46,0.0226
GB-16B ,,350,26.8,2.77,0.0213
GB-13 ,,349,24.7,2.57,0.0217
MR-Mouth ,,349,21.2,2.2,0.0225
Condos ,,345,23.8,2.49,0.0225
GB-18 ,,344,25.9,2.73,0.0211
GB-30B ,,342,21.5,2.28,0.0215
GB-12 ,,339,27.4,2.92,0.0215
GB-18B ,,336,23.4,2.52,0.0282
GB-7 ,,335,26.9,2.91,0.022
GB-17 ,,333,24.6,2.67,0.021
GB-11 ,,325,24.5,2.73,0.0224
GB-25 ,,324,21.5,2.41,0.0238
GB-20 ,,322,25.6,2.88,0.0214
GB-31 ,,321,18.7,2.11,0.0266
GB-14B ,,321,25,2.82,0.0226
GB-19 ,,319,24.4,2.76,0.0228
GB-32 ,,317,21.7,2.48,0.0226
GB-26S ,,316,20.9,2.4,0.0257
GB-45 ,,313,17.9,2.08,0.0261
GB-22 ,,312,24.5,2.84,0.0222
GB-39 ,,312,20.8,2.41,0.023
GB-44 ,,311,17.6,2.05,0.0266
GB-48 ,,311,21.4,2.49,0.0221
GB-48W ,,310,21.1,2.46,0.0263
GB-30E ,,310,21.3,2.49,0.0221
GB-30 ,,308,22.2,2.6,0.0211
GB-39-Pump ,,306,20.3,2.41,0.0223
GB-38 ,,302,16.8,2.02,0.0292
