Lab ID,Site ID,DOC (mg/L),Specific UV (Absorb/mg C/L), B          (mg/L),Ba (mg/L),Fe (mg/L),H4SiO4 (umol/L),Li (mg/L),Mn (mg/L),Sr (mg/L),Zn (mg/L)
2103,F1-0CM,32.6,0.033,0.093,0.075,0.011,276,0.014,0.0216,2.2,<0.01
2104,F1-10CM,72.5,0.035,0.198,0.141,<0.006,572,0.021,0.0247,4,<0.01
2105,F1-20CM,111.6,0.035,0.171,0.189,<0.006,948,0.026,0.0388,4.92,<0.01
2106,F1-30CM,135.6,0.032,0.12,0.265,<0.006,1360,0.037,0.0529,6.07,<0.01
2107,F1-74CM,132.5,0.029,0.102,0.289,<0.006,1450,0.041,0.069,6.56,<0.01
2108,F4-0CM,36.5,0.032,0.092,0.064,<0.006,324,0.012,0.0714,2.51,<0.01
2109,F4-5CM,51.8,0.038,0.104,0.109,<0.006,319,0.02,0.0517,3.25,<0.01
2110,F4-10CM,55,0.035,0.11,0.115,<0.006,323,0.021,0.0488,3.43,<0.01
2111,F4-20CM,57,0.036,0.098,0.131,<0.006,302,0.021,0.051,3.79,<0.01
2112,F4-30CM,63.1,0.032,0.066,0.14,<0.006,221,0.021,0.0704,3.85,<0.01
2113,F4-40CM,63.2,0.033,0.073,0.14,<0.006,230,0.021,0.0644,3.88,<0.01
2114,U2,38.4,0.033,0.085,0.066,<0.006,206,0.016,<0.0005,2.34,<0.01
2115,U3-0CM,36.5,0.031,0.111,0.063,<0.006,231,0.014,0.0158,2.28,<0.01
2116,U3-5CM,45.9,0.036,0.122,0.101,<0.006,519,0.02,0.0961,2.99,<0.01
2117,U3-10CM,43.3,0.037,0.117,0.101,<0.006,523,0.02,0.0905,2.96,0.01
2118,U3-20CM,49.2,0.036,0.089,0.106,<0.006,457,0.021,0.0668,2.93,<0.01
2119,U3-30CM,65.6,0.033,0.038,0.111,0.248,237,0.021,0.0904,2.49,<0.01
2120,U3-40CM,58.7,0.034,0.026,0.116,2.49,227,0.021,0.166,2.26,<0.01
2121,F0-1M,37.6,0.034,0.122,0.083,0.018,341,0.015,0.0021,2.7,<0.01
2122,F0-2.5M,36.3,0.035,0.119,0.084,0.018,352,0.012,0.0067,2.7,<0.01
2123,E0-1M,38.4,0.034,0.114,0.079,0.025,324,0.011,0.0026,2.42,<0.01
2124,E0-3M,37.5,0.034,0.116,0.08,0.016,344,0.015,0.0143,2.52,<0.01
2125,S10D-1M,39,0.033,0.13,0.09,0.031,379,0.016,0.0043,2.6,<0.01
2126,S10D-1MD,38.3,0.034,0.132,0.088,0.03,383,0.018,0.0047,2.56,<0.01
2127,S10D-2M,38.7,0.03,0.13,0.089,0.025,385,0.014,0.0044,2.59,<0.01
2128,S10E-1M,27.3,0.03,0.111,0.073,0.018,323,0.012,0.0021,1.97,0.01
2129,L67-S333,23.5,0.027,0.042,0.037,0.017,114,<0.007,<0.0005,1.13,<0.01
2130,L67-S151,23.3,0.03,0.055,0.045,0.025,152,<0.007,0.0032,1.43,<0.01
