site,YK_Pohjoinen,YK_ita,date,acdom,wl,toc,doc,cod_mn,tp,tn_d11,tn_d12,temp,no2_no3,ph,fe
Valkea-Kotinen,6793840,3396364,19/10/1999,190,254,4250,3995,68,18,1200,NA,4.4,78,4,425
Valkea-Kotinen,6793840,3396364,04/11/1999,162,254,3500,3290,53,16,NA,NA,5,NA,4,372
Valkea-Kotinen,6793953,3396309,11/07/2007,68,254,3500,3290,35,230,NA,2200,17.1,2,5.3,360
Valkea-Kotinen,6793840,3396364,16/10/1991,188,254,3367,3165,63,19,890,NA,7.9,NA,4.1,600
Valkea-Kotinen,6793840,3396364,23/04/1996,161,254,3250,3055,51,21,850,NA,0.3,15,3.8,290
Valkea-Kotinen,6793840,3396364,28/10/1992,174,254,3208,3016,52,13,700,NA,1.3,NA,4.1,490
Valkea-Kotinen,6793840,3396364,12/11/1997,144,254,3167,2977,49,13,720,NA,2.6,18,4.2,394
Valkea-Kotinen,6793840,3396364,19/10/1994,146,254,3092,2906,49,9,600,NA,3.3,NA,4,363
Valkea-Kotinen,6793953,3396309,14/08/2007,93.5,254,3000,2820,42,210,NA,2500,19.4,2,5.4,240
Valkea-Kotinen,6793840,3396364,02/10/1995,154,254,2917,2742,53,18,770,NA,7.8,19,4.1,484
Valkea-Kotinen,6793840,3396364,25/06/2012,170,254,2917,2742,55,20,NA,790,12.5,5,4.3,385
Valkea-Kotinen,6793840,3396364,13/10/1993,152,254,2850,2679,44,21,670,NA,6.1,NA,4.2,500
Valkea-Kotinen,6793840,3396364,31/10/1996,138,254,2833,2663,42,16,NA,NA,5.1,39,4.3,470
Valkea-Kotinen,6793953,3396309,23/04/2003,133,254,2833,2663,43,22,1300,NA,0.3,80,4.9,990
Valkea-Kotinen,6793953,3396309,25/07/2005,171,254,2833,2663,50,29,860,NA,13.8,4,4.6,610
Valkea-Kotinen,6793840,3396364,30/11/1999,133,254,2750,2585,NA,16,920,NA,2.1,54,4.1,321
Valkea-Kotinen,6793840,3396364,17/11/1999,131,254,2750,2585,44,13,980,NA,1,120,4.1,322
Valkea-Kotinen,6793840,3396364,15/08/2005,179,254,2750,2585,44,19,650,NA,14.7,9,4.4,390
Valkea-Kotinen,6793840,3396364,08/10/2008,164,254,2750,2585,47,18,NA,690,5.9,1,4.4,470
Valkea-Kotinen,6793840,3396364,16/04/1996,133,254,2667,2507,41,15,680,NA,0.3,6,3.9,360
Valkea-Kotinen,6793840,3396364,18/11/1996,131,254,2667,2507,40,12,720,NA,4.2,26,4.1,340
Valkea-Kotinen,6793840,3396364,29/09/1998,161,254,2667,2507,47,14,680,NA,8.7,15,4.4,560
Valkea-Kotinen,6793840,3396364,15/03/2005,158,254,2667,2507,43,16,770,NA,0.2,21,4.2,360
Valkea-Kotinen,6793840,3396364,03/09/2012,160,254,2667,2507,46,16,NA,790,15.4,16,4.4,470
Valkea-Kotinen,6793840,3396364,28/09/2004,154,254,2583,2428,42,14,590,NA,10.8,10,4.5,540
Valkea-Kotinen,6793840,3396364,06/04/2010,120,254,2583,2428,38,16,NA,840,0.2,73,4.5,400
Valkea-Kotinen,6793840,3396364,14/07/2011,150,254,2583,2428,47,20,NA,800,13.6,30,4.5,425
Valkea-Kotinen,6793840,3396364,09/04/1996,125,254,2500,2350,37,15,660,NA,0.5,12,3.9,318
Valkea-Kotinen,6793840,3396364,13/12/1999,122,254,2500,2350,40,14,830,NA,1.7,58,4.2,283
Valkea-Kotinen,6793840,3396364,31/08/2004,158,254,2500,2350,40,26,760,NA,13.8,10,4.5,450
Valkea-Kotinen,6793840,3396364,20/04/2004,144,254,2500,2350,39,15,640,NA,1.2,37,4.3,350
Valkea-Kotinen,6793840,3396364,29/11/2005,154,254,2500,2350,40,15,730,NA,2,38,4.5,410
Kelopuro,7011934,3686152,24/10/2006,98,254,2500,2350,41,13,680,NA,3.9,2.5,4.79,345
Valkea-Kotinen,6793840,3396364,17/10/2006,130,254,2500,2350,42,14,NA,700,8.2,25,4.2,250
Valkea-Kotinen,6793840,3396364,09/11/2010,120,254,2500,2350,36,10,NA,660,1.8,27,4.3,255
Valkea-Kotinen,6793840,3396364,25/03/1991,138,254,2458,2311,47,16,720,NA,0.5,NA,4.2,370
Valkea-Kotinen,6793840,3396364,14/07/1998,117,254,2417,2272,37,18,570,NA,17.1,7,4.3,290
Valkea-Kotinen,6793840,3396364,14/04/2000,120,254,2417,2272,38,12,720,NA,0.9,58,4.2,339
Valkea-Kotinen,6793840,3396364,10/06/2009,146,254,2417,2272,41,21,NA,610,9.5,NA,4.4,410
Valkea-Kotinen,6793840,3396364,12/04/2011,110,254,2417,2272,37,14,NA,840,0.3,73,4.4,385
Valkea-Kotinen,6793840,3396364,16/04/2012,140,254,2417,2272,41,13,NA,820,0.7,71,4.3,335
Valkea-Kotinen,6793840,3396364,29/10/2001,132,254,2333,2193,39,13,640,NA,6.5,21,4.5,430
Valkea-Kotinen,6793840,3396364,03/12/2008,140,254,2333,2193,40,17,NA,720,1.9,33,4.4,370
Valkea-Kotinen,6793840,3396364,19/04/2011,120,254,2333,2193,36,13,NA,750,1,26,4.2,315
Valkea-Kotinen,6793840,3396364,11/04/2001,120,254,2267,2131,37,12,620,NA,1,36,4.3,330
Valkea-Kotinen,6793840,3396364,15/10/1998,130,254,2250,2115,38,11,680,NA,6.7,16,4.5,520
Valkea-Kotinen,6793840,3396364,12/04/1999,124,254,2250,2115,38,13,760,NA,0.5,71,4.3,400
Valkea-Kotinen,6793840,3396364,26/10/2004,137,254,2250,2115,38,7,690,NA,5.7,28,4.6,490
Valkea-Kotinen,6793840,3396364,11/01/2005,131,254,2250,2115,37,11,650,NA,0.8,44,4.5,400
Valkea-Kotinen,6793840,3396364,27/04/2009,137,254,2250,2115,39,18,NA,580,2,NA,4.3,290
Valkea-Kotinen,6793840,3396364,07/10/2009,129,254,2250,2115,38,20,NA,650,5.7,NA,4.6,425
Valkea-Kotinen,6793840,3396364,26/11/2009,124,254,2250,2115,37,17,NA,680,2.6,NA,4.6,460
Valkea-Kotinen,6793840,3396364,29/09/1993,117,254,2183,2052,36,17,610,NA,4.9,NA,4.4,540
Valkea-Kotinen,6793840,3396364,13/08/1998,132,254,2167,2037,41,19,670,NA,14,8,4.4,390
Valkea-Kotinen,6793840,3396364,15/12/2004,135,254,2167,2037,36,12,730,NA,0.9,47,4.8,540
Valkea-Kotinen,6793840,3396364,13/04/2004,122,254,2167,2037,33,13,680,NA,0.5,73,4.5,370
Valkea-Kotinen,6793840,3396364,17/09/2007,119,254,2167,2037,34,17,NA,620,9.1,3,4.5,360
Hietapuro,7012761,3687222,09/10/2008,104.2,254,2167,2037,35,15,520,NA,4.7,2.5,5.34,660
Valkea-Kotinen,6793840,3396364,18/08/2008,128,254,2167,2037,36,21,NA,630,15.2,5,4.5,320
Valkea-Kotinen,6793840,3396364,23/11/1993,96.2,254,2158,2029,31,20,770,NA,0.2,NA,4.7,560
