Lake (code),DOC,a440,a320,a*320,SUVA,S300-650,S275-295,S350-400,SR,S280,S390,%LMW,%MMW,%HMW,L位/H位,M位/H位
Mountain birch woodland (MBW),,,,,,,,,,,,,,,,
Kilpisj鋜vi (NF000K),2.7,0.5,3.3,1.2,1.55,0.0166,0.0186,0.0127,1.5,0.0175,0.0169,24,48.5,27.5,0.9,1.8
Kilpisj鋜vi 30 m,2.2,0.5,3.1,1.4,1.82,0.0165,0.0187,0.0125,1.5,0.0186,0.0169,14.9,45.4,39.7,0.4,1.1
Korsaj鋜vi (NF0356),13.8,4.8,34.3,2.5,2.46,0.0156,0.0142,0.0167,0.9,0.014,0.0172,18.7,43,38.3,0.5,1.1
Ristij鋜vi (NF0354),6.1,0.9,6.6,1.1,1.25,0.0163,0.0173,0.0155,1.1,0.0169,0.0169,23.6,39.1,37.3,0.6,1
Koddojavri (NF0344),16.2,9.4,61,3.8,6.16,0.015,nd,0.0164,2.2,0.018,0.0167,nd,nd,nd,nd,nd
Shrub tundra (ST),,,,,,,,,,,,,,,,
Mallalampi (NF000M),2.8,0.6,4.1,1.5,0.94,0.0159,0.0173,0.0133,1.3,0.0166,0.0168,18.6,42.3,39.2,0.5,1.1
Lake 613 (NF0026),6.9,0.8,5.7,0.8,0.98,0.016,0.0174,0.015,1.2,0.0166,0.0176,16.5,44.8,38.7,0.4,1.2
Saanaj鋜vi (NF0009),3.3,0.6,3.6,1.1,1.42,0.0164,0.0186,0.014,1.3,0.0176,0.0166,19.9,44.7,35.4,0.6,1.3
Saanaj鋜vi 16 m,3,0.5,3.6,1.2,1.49,0.0161,0.0179,0.0128,1.4,0.0173,0.0168,15.3,52.3,32.4,0.5,1.6
Masehjavri (NF0016),4,1.1,7.7,1.9,2.18,0.0159,0.0167,0.0152,1.1,0.0162,0.0171,15.5,45.6,38.9,0.4,1.2
Peeralampi (NF0076),3.6,1,6.6,1.9,2.08,0.0156,0.0161,0.0145,1.1,0.0155,0.0166,14.4,48.8,36.8,0.4,1.3
Toskalj鋜vi (NF0202),1.5,0.3,1.8,1.2,1.47,0.0152,0.0176,0.0085,2.1,0.0168,0.0155,23,39.2,37.8,0.6,1
Somaslompolo (NF0223),2.5,0.3,1,0.4,0.56,0.0087,0.019,0.0047,4,0.0179,0.01,24.2,39.4,36.4,0.7,1.1
Kohpejavri (NF0108),3.3,0.7,4.3,1.3,1.54,0.0156,0.0175,0.0142,1.2,0.0168,0.0163,18.5,45.1,36.4,0.5,1.2
Mallaj鋜vi (NF0002),2.4,0.3,1.9,0.8,0.94,0.015,0.017,0.0107,1.6,0.0167,0.0149,18.3,41.5,40.2,0.5,1
Mallaj鋜vi 8 m,2.4,0.3,1.8,0.8,0.89,0.0154,0.0171,0.0107,1.6,0.017,0.0155,13.2,41.4,45.5,0.3,0.9
Porevarri (NF0261),2.7,0.6,3.4,1.3,1.51,0.0156,0.0167,0.0135,1.2,0.1063,0.0161,22.4,41.1,36.6,0.6,1.1
Barren tundra (BT),,,,,,,,,,,,,,,,
Kuorroladdu (NF0221),1.9,0.2,nd,nd,0.43,nd,nd,nd,nd,0.0141,0.0155,25,51,23.9,1,2.1
Vuobmegasvarri (NF0099),2.6,0.8,5.1,2,2.24,0.0155,0.0159,0.0148,1.1,0.0156,0.0166,20.5,41.8,37.7,0.5,1.1
Lake 1009 (NF0033),1.6,0.1,nd,nd,0.26,nd,nd,nd,nd,0.0255,nd,13.6,36.6,49.8,0.3,0.7
Stuorralampi (NF000S),2.2,0.3,1.6,0.7,0.86,0.014,0.0173,0.0087,2,0.0168,0.0137,22,37.1,40.9,0.5,0.9
