Table 1.,,,,,,,,,,,,,,
        DOC<comma> CDOM and FDOM values for the samples collected during the two surveys (SG1A<comma> May 17th and SG1B<comma> May 21st).,,,,,,,,,,,,,,
Station,Cruise,DOC [µM],S275-295 [nm-1],S350-400 [nm-1],a254 [m-1],a280 [m-1],a325 [m-1],a355 [m-1],a443 [m-1],C1 [R.U],C2 [R.U],C3 [R.U],C4 [R.U],C1/C3
A1,SG1A,60.4,0.0378,0.0155,1.359,0.669,0.163,0.081,0.014,0.015,0.015,0.006,0.007,2.298
SG1B,64.9,0.0374,0.0209,1.423,0.704,0.149,0.074,0.013,0.014,0.013,0.005,0.007,2.64,
A5,SG1A,64.5,0.0378,0.0199,1.365,0.667,0.147,0.077,0.01,0.014,0.013,0.005,0.006,2.639
SG1B,69,0.0373,0.0208,1.402,0.699,0.162,0.079,0.013,0.013,0.015,0.004,0.007,3.091,
A9,SG1A,81.9,0.0348,0.0193,1.655,0.952,0.225,0.127,0.03,0.029,0.025,0.011,0.012,2.513
SG1B,70,0.038,0.0231,1.383,0.686,0.144,0.069,0.012,0.014,0.012,0.005,0.007,2.882,
C1,SG1A,61.6,0.0383,0.0231,1.375,0.695,0.151,0.068,0.005,0.013,0.017,0.007,0.007,1.86
SG1B,70.3,0.0366,0.0215,1.382,0.685,0.153,0.079,0.015,0.013,0.014,0.005,0.006,2.82,
C5,SG1A,62.6,0.0378,0.0155,1.372,0.695,0.15,0.087,0.01,0.014,0.015,0.006,0.007,2.316
SG1B,69,0.0385,0.0235,1.353,0.675,0.152,0.081,0.011,0.016,0.014,0.004,0.007,3.6,
C9,SG1A,68.9,0.0328,0.0233,1.689,0.93,0.269,0.129,0.016,0.024,0.025,0.009,0.018,2.585
SG1B,60.3,0.0383,0.0214,1.382,0.69,0.14,0.079,0.011,0.013,0.015,0.005,0.006,2.414,
E1,SG1A,61.8,0.0371,0.018,1.44,0.729,0.174,0.089,0.017,0.018,0.012,0.006,0.008,2.975
SG1B,73.5,0.0389,0.0151,1.471,0.82,0.163,0.091,0.028,0.015,0.015,0.005,0.007,2.973,
E5,SG1A,63.2,0.0344,0.0135,1.37,0.71,0.166,0.091,0.017,0.014,0.016,0.007,0.008,2.082
SG1B,65.5,0.0403,0.0312,1.344,0.653,0.142,0.063,0.003,0.013,0.012,0.004,0.006,3.08,
E9,SG1A,64.9,0.0368,0.0197,1.577,0.938,0.21,0.101,0.019,0.019,0.019,0.008,0.01,2.228
SG1B,64.5,0.0395,0.0287,1.38,0.687,0.143,0.053,0.01,0.014,0.012,0.004,0.006,3.547,
M1,SG1A,62.6,0.0294,0.0132,1.69,0.971,0.287,0.178,0.05,0.02,0.014,0.007,0.008,2.86
M2,SG1A,68,0.0297,0.0167,1.854,1.044,0.33,0.192,0.052,0.071,0.021,0.003,0.01,20.941
M3,SG1A,63.6,0.0351,0.0159,1.525,0.805,0.215,0.123,0.035,0.015,0.02,0.007,0.011,2.015
D6,SG1B,67.5,0.0353,0.0234,1.389,0.749,0.15,0.079,0.012,0.023,0.014,0.005,0.008,4.472
D7,SG1B,62.4,0.0392,0.0247,1.25,0.615,0.118,0.062,0.001,0.018,0.014,0.006,0.008,3.252
