/* DATA DESCRIPTION:
Citation:	Guéguen, C et al. (2011): (Table 1) Salinity, dissolved organic carbon and absorption characteristics of surface river waters around Hudson Bay. doi:10.1594/PANGAEA.810341, 
	Supplement to: Guéguen, Celine; Granskog, Mats A; McCullough, G; Barber, David G (2011): Characterisation of colored dissolved organic matter in Hudson Bay and Hudson Strait using parallel factor analysis. Journal of Marine Systems, 88(3), 423-433, doi:10.1016/j.jmarsys.2010.12.001
Abstract:	Composition and concentration of colored dissolved organic matter (CDOM) have been determined in Hudson Bay and Hudson Strait by excitation emission matrix spectroscopy (EEM) and parallel factor analysis (PARAFAC). Based on 63 surface samples, PARAFAC identified three fluorescent components, which were attributed to two humic- and one protein-like components. One humic-like component was identified as representing terrestrial organic matter and showed a conservative behaviour in Hudson Bay estuaries. The second humic-like component, traditionally identified as peak M, originated both from land and produced in the marine environment. Component 3 had spectra resembling protein-like material and thought to be plankton-derived. The distribution and composition of CDOM were largely controlled by water mass mixing with protein-like component being the least affected. Distinctive fluorescence patterns were also found between Hudson Bay and Hudson Strait, suggesting different sources of CDOM. The optically active fraction of DOC (both absorbing and fluorescing) was very high in the Hudson Bay (up to 89%) suggesting that fluorescence and absorbance can be used as proxies of the DOC concentration.
Related to:	Granskog, Mats A; Macdonald, Robie W; Mundy, Christopher John; Barber, David G (2007): Distribution, characteristics and potential impacts of chromophoric dissolved organic matter (CDOM) in Hudson Strait and Hudson Bay, Canada. Continental Shelf Research, 27(15), 2032-2050, doi:10.1016/j.csr.2007.05.001
Project(s):	International Polar Year (2007-2008) (IPY) (URI: http://www.ipy.org)
Coverage:	MEDIAN LATITUDE: 58.326800 * MEDIAN LONGITUDE: -80.531600 * SOUTH-BOUND LATITUDE: 55.269000 * WEST-BOUND LONGITUDE: -92.263000 * NORTH-BOUND LATITUDE: 60.012000 * EAST-BOUND LONGITUDE: -77.344000
	DATE/TIME START: 2007-07-27T00:00:00 * DATE/TIME END: 2007-07-27T00:00:00
Event(s):	Great_Whale_R * LATITUDE: 55.269000 * LONGITUDE: -77.815000 * DATE/TIME: 2007-07-27T00:00:00 * LOCATION: Hudson Bay * DEVICE: Water sample (WS)
	Kogaluc_R * LATITUDE: 59.659000 * LONGITUDE: -77.537000 * DATE/TIME: 2007-07-27T00:00:00 * LOCATION: Hudson Bay * DEVICE: Water sample (WS)
	Nelson_Hayes_R * LATITUDE: 57.155000 * LONGITUDE: -92.263000 * DATE/TIME: 2007-07-27T00:00:00 * LOCATION: Hudson Bay * DEVICE: Water sample (WS)
	Polemund_R * LATITUDE: 59.539000 * LONGITUDE: -77.699000 * DATE/TIME: 2007-07-27T00:00:00 * LOCATION: Hudson Bay * DEVICE: Water sample (WS)
