study_id,sample_id,doc,doc_unit,acdom254,acdom300,season,year,month,salinity
helms2008,GB init,820,µmol/l,102.7,57.2,spring,2004,5,12
helms2008,GB con,857,µmol/l,103.1,58.7,spring,2004,5,12
helms2008,GB T1,859,µmol/l,91,48,spring,2004,5,12
helms2008,GB T2,911,µmol/l,82.8,41.1,spring,2004,5,12
helms2008,TP init,428,µmol/l,45.7,25.5,spring,2004,5,19
helms2008,TP con,407,µmol/l,45.1,25.6,spring,2004,5,19
helms2008,TP T1,399,µmol/l,38.9,28.8,spring,2004,5,19
helms2008,TP T2,390,µmol/l,34.5,25.7,spring,2004,5,19
helms2008,CBB init,191,µmol/l,9.4,4,spring,2004,5,23
helms2008,CBB con,192,µmol/l,9,4.5,spring,2004,5,23
helms2008,CBB T1,177,µmol/l,7.3,2.8,spring,2004,5,23
helms2008,CBB T2,224,µmol/l,6.8,2.2,spring,2004,5,23
helms2008,GB init,1279,µmol/l,143.2,83,autumn,2004,10,10
helms2008,GB con,1237,µmol/l,148.9,85.8,autumn,2004,10,10
helms2008,GB T1,1216,µmol/l,133.2,71.8,autumn,2004,10,10
helms2008,GB T2,1106,µmol/l,121.9,62.5,autumn,2004,10,10
helms2008,TP init,774,µmol/l,84.4,48.5,autumn,2004,10,17
helms2008,TP con,754,µmol/l,85.8,49.4,autumn,2004,10,17
helms2008,TP T1,738,µmol/l,73.8,38.5,autumn,2004,10,17
helms2008,TP T2,687,µmol/l,70.1,35.1,autumn,2004,10,17
helms2008,CBB init,162,µmol/l,8.6,4,autumn,2004,10,26
helms2008,CBB con,174,µmol/l,8.6,4,autumn,2004,10,26
helms2008,CBB T1,174,µmol/l,,,autumn,2004,10,26
helms2008,CBB T2,164,µmol/l,,,autumn,2004,10,26
helms2008,GB init,929,µmol/l,92.9,51.5,spring,2005,5,8
helms2008,GB con,896,µmol/l,92.9,51.7,spring,2005,5,8
helms2008,GB T1,913,µmol/l,83.3,42.3,spring,2005,5,8
helms2008,GB T2,852,µmol/l,74.7,35.5,spring,2005,5,8
helms2008,TP init,623,µmol/l,60.6,33.9,spring,2005,5,18
helms2008,TP con,538,µmol/l,61.5,34.7,spring,2005,5,18
helms2008,TP T1,426,µmol/l,54.3,27.5,spring,2005,5,18
helms2008,TP T2,514,µmol/l,47.5,21.7,spring,2005,5,18
helms2008,CBB init,162,µmol/l,9,3.8,spring,2005,5,25
helms2008,CBB con,174,µmol/l,9.4,4,spring,2005,5,25
helms2008,CBB T1,,µmol/l,7.6,2.3,spring,2005,5,25
helms2008,CBB T2,176,µmol/l,6.7,1.6,spring,2005,5,25
helms2008,GB init,,µmol/l,113.1,64.1,autumn,2005,10,11
helms2008,GB con,,µmol/l,111.8,63.2,autumn,2005,10,11
helms2008,GB T1,,µmol/l,104.9,55.8,autumn,2005,10,11
helms2008,GB T2,,µmol/l,99.3,51.7,autumn,2005,10,11
helms2008,TP init,,µmol/l,61.5,33.9,autumn,2005,10,18
helms2008,TP con,,µmol/l,61.4,33.9,autumn,2005,10,18
helms2008,TP T1,,µmol/l,54.5,27.4,autumn,2005,10,18
helms2008,TP T2,,µmol/l,47.5,21.6,autumn,2005,10,18
helms2008,CBB init,,µmol/l,10.1,4.3,autumn,2005,10,23
helms2008,CBB con,,µmol/l,10,4.3,autumn,2005,10,23
helms2008,CBB T1,,µmol/l,8.6,3.1,autumn,2005,10,23
helms2008,CBB T2,,µmol/l,7.8,2.5,autumn,2005,10,23
helms2008,DS ox con,,µmol/l,908.1,520.5,winter,2006,2,0
helms2008,DS ox T1,,µmol/l,554.5,275.3,winter,2006,2,0
helms2008,DS anox con,,µmol/l,900.7,518.2,winter,2006,2,0
helms2008,DS anox T1,,µmol/l,786.5,421.5,winter,2006,2,0
