Sites,Date,BOD ,DOC ,TN ,TP ,Chl-a ,SUVA254,HIX ,BIX ,FI ,Longitude,Latitude
BH1 ,2011/05,0.34,0.74,0.43,0.03,1.97,4.17,6.52,0.63,1.65,128.264751,38.161657
BH2 ,2011/05,0.38,0.85,0.62,0.042,0.64,2.34,4.41,0.7,1.69,128.267522,38.009845
BH3 ,2011/05,1.79,1.14,0.72,0.031,4.27,2.45,5.3,0.74,1.79,127.999149,38.087932
BH4 ,2011/05,0.24,1.17,0.49,0.011,1.23,1.54,6.56,0.66,1.72,127.457441,37.968144
BH5 ,2011/05,0.38,0.82,0.63,0.029,0.8,2.8,5.98,0.72,1.68,128.017461,37.837901
BH6 ,2011/05,0.51,0.71,0.68,0.014,1.56,2.41,6.69,0.69,1.75,127.35366,37.823919
NH1 ,2011/05,0.64,1.23,0.71,0.031,0.53,2.92,7.91,0.68,1.68,128.681686,37.717146
NH2 ,2011/05,0.68,1.08,0.51,0.005,2.73,2.31,7.19,0.69,1.75,128.951046,37.340666
NH3 ,2011/05,0.85,1.1,0.69,0.024,0.7,2.73,6.31,0.7,1.68,128.648724,37.586777
NH4 ,2011/05,0.33,0.6,0.49,0.017,0.49,1.99,3.55,0.87,2.02,128.888723,37.265267
NH5 ,2011/05,0.46,0.66,0.27,0.025,1.12,2.72,6.73,0.69,1.69,128.866539,37.194011
NH6 ,2011/05,0.57,0.8,0.64,0.017,0.47,3.38,5.01,0.68,1.72,128.412229,37.584969
NH7 ,2011/05,0.82,1.2,1.13,0.035,1.12,2.66,7.51,0.69,1.78,128.215798,37.515612
NH8 ,2011/05,0.88,1.34,0.63,0.017,1.87,2.76,6.26,0.71,1.75,127.781858,36.685127
NH9 ,2011/05,0.37,0.76,0.8,0.008,0.39,2.76,4.25,0.78,1.74,128.160668,37.588925
NH10 ,2011/05,3.24,2.56,1.02,0.083,10.5,2.65,7.35,0.75,1.87,127.557593,37.10171
NH11 ,2011/05,1.05,1.88,0.87,0.064,1.48,2.61,7.54,0.77,1.87,127.424009,37.217097
NH12 ,2011/05,0.45,0.77,0.85,0.017,0.69,2.2,4.13,0.73,1.84,127.755409,37.568987
K1,2011/05,0.43,0.79,0.64,0.033,1.97,2.79,6.7,0.75,1.87,127.183447,37.345503
BH1 ,2011/07,0.75,1.75,1.48,0.015,1.22,3.08,6.52,0.58,1.54,128.264751,38.161657
BH2 ,2011/07,0.46,1.1,1.76,0.026,0.78,2.81,3.81,0.7,1.59,128.267522,38.009845
BH3 ,2011/07,0.62,1.26,2.37,0.053,0.65,1.99,6.65,0.72,1.72,127.999149,38.087932
BH4 ,2011/07,0.57,0.75,2.26,0.012,0.66,2.25,3.72,0.75,1.67,127.457441,37.968144
BH5 ,2011/07,0.45,0.82,3.09,0.029,0.5,2.69,4.87,0.72,1.71,128.017461,37.837901
BH6 ,2011/07,1.48,0.77,2.71,0.024,0.82,2.09,4.98,0.86,1.71,127.35366,37.823919
NH1 ,2011/07,0.99,1.23,3.14,0.094,2.77,3,7.16,0.73,1.7,128.681686,37.717146
NH2 ,2011/07,1.46,1.23,1.82,0.024,4.59,2.19,7.57,0.75,1.67,128.951046,37.340666
NH3 ,2011/07,1.24,1.09,4.06,0.039,5.32,2.74,7.59,0.87,1.72,128.648724,37.586777
NH4 ,2011/07,0.43,0.51,2.09,0.024,0.76,0.79,2.64,1.04,2.07,128.888723,37.265267
NH5 ,2011/07,na,0.63,1.49,0.019,0.85,3,5.54,1.04,1.69,128.866539,37.194011
NH6 ,2011/07,na,0.83,3.57,0.029,1.19,2.41,6.42,0.75,1.68,128.412229,37.584969
NH7 ,2011/07,0.72,1.09,1.95,0.055,1.21,2.65,4.44,0.76,1.75,128.215798,37.515612
NH8 ,2011/07,0.9,1.14,2.77,0.036,3.85,2.53,5.93,0.75,1.78,127.781858,36.685127
NH9 ,2011/07,0.83,1.2,2.67,0.017,1.11,1.5,4.92,0.85,1.72,128.160668,37.588925
NH10 ,2011/07,1.29,1.79,5.05,0.128,13.9,2.52,6.64,0.76,1.8,127.557593,37.10171
NH11 ,2011/07,0.67,1.52,4.44,0.106,2.55,2.56,8,0.81,1.81,127.424009,37.217097
NH12 ,2011/07,0.42,0.72,2.7,0.02,0.61,2.36,3.27,0.93,1.76,127.755409,37.568987
K1,2011/07,1.94,0.93,3.85,0.036,2.28,2.25,3.07,1.38,1.86,127.183447,37.345503
