basin,date,latitude,longitude,doc,doc13,a350,suva254,S_275_295,S_350_400,sr
Niger,05/02/11,13.567,2.006,3.1,-22.6,3.4,1.8,19.19,17.47,1.099
Niger,05/16/11,13.567,2.006,3.1,-23.1,3.9,2.7,18.95,19.45,0.974
Niger,05/29/11,13.567,2.006,3.2,-22.6,4.5,2.6,19.43,17.26,1.126
Niger,06/11/11,13.567,2.006,3.4,-23,3.3,1.6,19.95,18.16,1.099
Niger,06/26/11,13.567,2.006,,,2.9,,23.55,18.98,1.241
Niger,07/08/11,13.567,2.006,3.4,-22.4,6.4,2.7,16.37,19.88,0.823
Niger,08/06/11,13.567,2.006,2.3,-23.8,2.5,1.3,25.26,19.9,1.269
Niger,08/20/11,13.567,2.006,1.7,-22.5,2.5,1.3,20.83,18.89,1.103
Niger,09/06/11,13.567,2.006,2.7,-23.5,3.7,1.6,17.06,18.79,0.908
Niger,09/17/11,13.567,2.006,2,-22.4,10.1,4.2,13.66,13.95,0.979
Niger,10/05/11,13.567,2.006,2,-21.7,5.3,4.1,15.46,17.2,0.899
Niger,10/22/11,13.567,2.006,2.1,-24.9,7.9,3.6,14.61,13.4,1.09
Niger,11/05/11,13.567,2.006,2,-23.9,3.8,2.8,16.14,13.96,1.156
Niger,12/03/11,13.567,2.006,1.9,-24,5.1,3.5,16.94,14.29,1.185
Niger,12/16/11,13.567,2.006,1.8,-24.2,4.6,3.5,16.12,13.9,1.16
Niger,12/30/11,13.567,2.006,1.8,-24.2,3.1,2.6,18.17,13.7,1.327
Niger,01/13/12,13.567,2.006,1.8,-24.6,3.7,3,17.66,12.71,1.39
Niger,01/27/12,13.567,2.006,1.8,-24.7,2.7,2.2,19.02,14.1,1.349
Niger,02/12/12,13.567,2.006,2.1,-24.5,4.2,3.9,20.77,15.87,1.309
Niger,02/26/12,13.567,2.006,2.4,-25,4.1,3.6,20.44,15.61,1.31
Niger,03/11/12,13.567,2.006,2.4,-25.9,2.9,2.1,21.27,14.24,1.494
Niger,10/28/12,13.567,2.006,2.2,-23.7,9,4,13.47,15.44,0.873
Niger,11/10/12,13.567,2.006,2.2,-23.7,5.3,2.8,15.9,17.55,0.906
Niger,11/24/12,13.567,2.006,1.7,-23.9,5.1,3.3,16.01,17.57,0.911
Niger,12/08/12,13.567,2.006,1.9,-23.8,3.9,2.9,16.9,19.75,0.856
Niger,12/23/12,13.567,2.006,2.1,-24,4.3,2.6,16.74,18.9,0.885
Niger,01/06/13,13.567,2.006,2.3,-22.3,3.7,2.5,17.24,20.77,0.83
Niger,01/19/13,13.567,2.006,2.6,-23.9,4,1.8,17.5,19.78,0.884
Niger,02/03/13,13.567,2.006,2.7,-24.2,3.9,2,17.68,19.2,0.921
Niger,02/18/13,13.567,2.006,2.7,-24.1,3.8,2,17.85,19.9,0.897
Niger,03/03/13,13.567,2.006,2.7,-24.1,3.9,2,17.82,19.71,0.904
Niger,03/17/13,13.567,2.006,2.7,-23.8,5.4,2.4,17.41,17.25,1.009
Zambezi,02/05/12,-11.122,24.199,1.6,-26.9,6.2,4.6,10.69,14.28,0.749
Zambezi,02/07/12,-13.094,22.688,3.3,-22.3,7.6,3.2,13.88,16.1,0.862
Zambezi,02/08/12,-14.377,23.236,3,-22.5,8.8,4,13.23,14.52,0.911
Zambezi,02/10/12,-16.242,23.241,4.2,-22.2,12.1,3.8,13.45,15.06,0.893
Zambezi,02/11/12,-17.467,24.247,4.5,-22.3,12.7,3.7,13.63,15.39,0.885
Zambezi,02/11/12,-17.887,25.843,4.5,-22,12.9,3.6,13.76,15.3,0.9
Zambezi,02/12/12,-17.931,25.86,4.6,-21.8,11.9,3.5,14.3,15.74,0.908
Zambezi,02/19/12,-16.035,28.858,2,-23.4,2.3,3.1,18.55,17.89,1.037
Zambezi,02/21/12,-15.724,29.323,2.3,-23,2.9,2.7,18.38,17.09,1.076
