lake,sampledate,depth,rep,dic,doc,tic,toc,alk,ph,color440,color280,color253,cond,secchi,totpuf,totnuf,drsi,ca,k,mg,na,fe,cl,so4
"McCullough",1998-06-06,5,1,,,,,,7.390,,,,,,14,430,1710,9.45,0.72,2.65,1.01,0.27,,
"McCullough",1998-08-31,4,1,,,,,,7.470,,,,,,25,473,1738,10.45,0.71,2.85,1.11,0.41,,
"Partridge",1998-08-31,1,1,,,,,,8.530,,,,77,1.95,12,190,8108,10.33,0.07,2.96,1.03,0.38,,
"Randall",1998-08-13,1,1,,,,,,,0.184,2.568,3.505,49,,20,487,6115,6.63,0.21,1.91,0.95,0.93,,
"Tomahawk",1999-07-16,"NEAR BOTTOM",1,,,,,,6.940,,,,,,16,772,5151,11.45,0.77,3.49,2.71,,,
"Ward",1999-07-26,1,1,,,15.84,10.55,,7.950,,,,126,3.00,7,266,2360,14.49,0.81,5.21,0.35,,0.16,0.49
"White Sand",1998-06-03,1,1,9.03,4.08,9.17,3.58,685.27,7.910,0.034,0.338,0.007,,4.50,8,121,4357,9.09,0.60,2.50,1.65,0.01,1.07,2.22
"Allequash",1998-08-10,0,1,,,,,,,,,,,,,,,11.98,0.57,3.20,1.62,0.00,,
"Island",1998-06-01,1,1,10.82,4.92,11.46,5.11,806.20,7.790,0.056,0.874,1.204,,2.25,25,137,4412,11.23,0.74,2.86,1.63,0.00,1.74,4.14
"Katinka",1999-08-26,1,1,1.05,3.58,1.15,3.73,,7.000,,,,15,5.00,6,490,33,,,,,,0.42,1.98
"Lehto",1998-07-03,1,1,7.58,8.84,6.95,9.40,521.15,7.650,0.262,2.701,3.493,57,1.25,33,473,4302,7.19,0.31,2.24,1.03,1.81,0.36,1.22
"Stearns",1998-07-19,1,1,2.24,6.18,2.14,5.72,126.10,7.170,0.067,0.677,0.938,24,4.00,11,311,165,2.21,0.41,0.83,0.58,0.05,0.65,3.00
"Wildcat",1999-08-23,1,1,22.31,,22.81,,,8.330,,,,180,2.10,20,544,6563,,,,,,3.18,1.23
"Big Muskellunge",1998-06-17,1,1,,,,,,,,,,,,,,,,,,,,0.36,3.11
"Crystal",1998-06-14,1,1,,,,,,,,,,,,,,,,,,,,0.43,2.48
