/begin_header
/identifier_product_doi=10.5067/SeaBASS/CLIVEC/DATA001
/received=20120313
/investigators=Antonio_Mannino,Margaret_Mulholland
/affiliations=Goddard_Space_Flight_Center,Old_Dominion_University
/contact=antonio.mannino@nasa.gov,mmulholl@odu.edu
/experiment=CliVEC
/cruise=CV1
/station=1,6,8,9,11,15,17,20,25,28,29b,31,35,36,37,37b,38,42,43,44,46,50,51a,53,60,61,62,63,65,69,71,72,75,76,81,83,84,84a,85,87,90,91,91a,92,94,99,100,101
/data_file_name=CV1_OM_pigments_Seabass
/documents=DOM_analysis_CV1.doc,POCanalysis_CV1.doc
/calibration_files=Protocol_DOC_Shimadzu.txt
/data_type=pigment
/data_status=final
/start_date=20090817
/end_date=20090828
/start_time=12:00:00[GMT]
/end_time=22:00:00[GMT]
/north_latitude=42.4[DEG]
/south_latitude=35.74[DEG]
/east_longitude=-65.7[DEG]
/west_longitude=-75.706[DEG]
/water_depth=256
/cloud_percent=NA
/secchi_depth=NA
/wave_height=NA
/wind_speed=NA
!
!   COMMENTS   Pigments not found and those with SNR of 4 or less are given a concentration of 0.001,
!   Samples were collected with Go-Flo bottles deployed from a rosette; samples with depth designation 0  were collected from the ship's seawater flow-through system nominally 3.7m depth.
!   Depth values adjusted by 0.87m from CTD sensor to center of sampling bottle.
!   Units for DOC and DIC are umol/L and not in umol/kg
!   NPP = net primary productivity (mg C/m^3/day) based on C uptake from enriched 13C bicarbonate incubations.
!   The CDOM S paramater is calculated from a non-linear fitting function from 300-600nm
!   N2_fix = nitrogen fixation rates  (mg N/m^3/day) based on N2 uptake from enriched 15N incubations.
!   N_Picocyano = cell counts of cyanobacteria in picoplankton size fraction.
!   Values listed as -777 are below the detection limit
!   S CDOM spectral slope values were calculated from a non-linear fitting function between 300-600nm
!
/missing=-999
/delimiter=space
/fields=date,time,station,lat,lon,depth,DOC,POC,PN,S,ag355,ag380,ag412,ag443,hpl_id,Tot_Chl_a,Tot_Chl_b,Tot_Chl_c,alpha-beta-Car,But-fuco,Hex-fuco,Allo,Diadino,Diato,Fuco,Perid,Zea,Chl_a,DV_Chl_a,Chlide_a,Chl_b,DV_Chl_b,Chl_c1c2,Chl_c3,Lut,Neo,Viola,Phytin_a,Phide_a,Pras,Gyro,TChl,PPC,PSC,PSP,Tcar,Tacc,Tpg,DP,TAcc_Tchla,PSC_Tcar,PPC_Tcar,TChl_Tcar,PPC_Tpg,PSP_Tpg,TChla_Tpg,mPF,nPF,pPF,NO2_NO3,NO2,PO4,TDN,NH4,Urea,CHL,DIC,NPP,N2_fix,N_picocyano
/units=yyyymmdd,hh:mm:ss,none,degrees,degrees,m,umol/L,mg/m^3,mg/m^3,1/m,1/m,1/m,1/m,1/m,none,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,none,none,none,none,none,none,none,none,none,none,mmol/m^3,mmol/m^3,mmol/m^3,mmol/m^3,mmol/m^3,mmol/m^3,mg/m^3,umol/L,mg/m^3/d,ug/m^3/d,cells/L
/end_header
20090817	22:32:00	1	41.3140	-70.9444	2.3	100.982	304.943	42.968	0.019590477	0.465445903	0.297855891	0.177049436	0.10213834	09-1997	0.624	0.030	0.144	0.026	0.036	0.132	0.012	0.079	0.022	0.150	0.069	0.013	0.600	0.001	0.024	0.030	0.001	0.094	0.050	0.002	0.001	0.006	0.006	0.005	0.001	0.001	0.798	0.152	0.387	1.185	0.539	0.713	1.337	0.442	1.14	0.72	0.28	1.48	0.11	0.89	0.47	0.50	0.41	0.10	1.75	0.10	0.27	18.03	0.63	0.449	0.46	1983.75	0.181007103	1.025586788	2.19E+04
20090817	22:32:00	1	41.3140	-70.9444	2.3	-999	-999	-999	-999	-999	-999	-999	-999	09-1997.5	0.624	0.029	0.142	0.025	0.036	0.131	0.011	0.078	0.021	0.151	0.068	0.012	0.599	0.001	0.025	0.029	0.001	0.093	0.049	0.002	0.001	0.006	0.006	0.007	0.001	0.001	0.795	0.147	0.386	1.181	0.533	0.704	1.328	0.438	1.13	0.72	0.28	1.49	0.11	0.89	0.47	0.50	0.41	0.09	-999.00	-999.00	-999.00	-999.00	-999.00	-999	-999.00	-999	-999	-999	-999
20090817	22:32:00	1	41.3140	-70.9444	5.3	144.430	283.718	-999	0.019455373	0.500693364	0.321710606	0.189277885	0.108952977	09-1998	0.700	0.030	0.171	0.024	0.043	0.156	0.010	0.075	0.021	0.176	0.085	0.012	0.678	0.001	0.022	0.030	0.001	0.106	0.065	0.002	0.001	0.006	0.006	0.012	0.001	0.001	0.901	0.142	0.460	1.361	0.602	0.803	1.503	0.512	1.15	0.76	0.24	1.50	0.09	0.91	0.47	0.51	0.41	0.08	1.32	0.05	0.52	7.72	1.12	0.1455	0.68	2016.931818	0.243911762	0.96601887	1.86E+04
20090817	22:32:00	1	41.3140	-70.9444	14.4	122.680	263.220	48.646	0.018301025	0.535143375	0.350729656	0.213039149	0.123712729	09-1999	1.804	0.057	0.537	0.050	0.103	0.393	0.048	0.090	0.001	0.617	0.135	0.007	1.772	0.001	0.032	0.057	0.001	0.271	0.266	0.003	0.001	0.007	0.020	0.056	0.001	0.001	2.398	0.195	1.248	3.646	1.443	2.037	3.841	1.360	1.13	0.86	0.14	1.66	0.05	0.95	0.47	0.55	0.40	0.05	-777.00	0.02	0.50	5.64	0.22	0.186	1.34	2003.977273	0.385591853	1.123620117	1.90E+04
20090817	22:32:00	1	41.3140	-70.9444	29.5	107.590	-999.000	-999.000	0.017783943	0.485919692	0.312705362	0.190283406	0.112750001	-999	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.60	0.29	0.91	9.20	3.94	0.2475	0.76	2118.295455	0.460708116	0.59566763	2.84E+04
20090818	12:45:00	6	40.3040	-71.8109	2.1	80.198	89.974	16.436	0.022150175	0.208509299	0.129902479	0.077984469	0.046991756	09-2000	0.207	0.009	0.031	0.017	0.014	0.041	0.001	0.032	0.004	0.026	0.006	0.063	0.190	0.013	0.004	0.009	0.001	0.017	0.014	0.001	0.001	0.004	0.003	0.002	0.001	0.001	0.247	0.117	0.087	0.334	0.204	0.244	0.451	0.160	1.18	0.43	0.57	1.21	0.26	0.74	0.46	0.20	0.35	0.45	0.19	-777.00	0.11	0.79	-777.00	0.1445	0.21	2054.318182	0.537997483	11.12813462	-999.0
20090818	12:45:00	6	40.3040	-71.8109	5.0	107.759	109.473	-999	0.021247397	0.221120633	0.137612424	0.083845984	0.051405282	09-2001	0.224	0.008	0.030	0.017	0.014	0.043	0.001	0.032	0.004	0.027	0.006	0.070	0.204	0.016	0.004	0.008	0.001	0.016	0.014	0.001	0.001	0.005	0.003	0.001	0.001	0.001	0.262	0.123	0.090	0.352	0.213	0.251	0.475	0.168	1.12	0.42	0.58	1.23	0.26	0.74	0.47	0.20	0.34	0.46	0.74	-777.00	0.19	4.19	-777.00	0.574	0.26	2086.931818	0.296158329	4.223506809	6.76E+04
20090818	12:45:00	6	40.3040	-71.8109	31.0	86.936	-999	-999	0.01721758	0.357525526	0.233567266	0.150068054	0.087227548	09-2002	0.997	0.117	0.198	0.057	0.035	0.091	0.094	0.029	0.005	0.186	0.029	0.078	0.970	0.001	0.027	0.117	0.001	0.129	0.069	0.001	0.013	0.008	0.030	0.070	0.001	0.001	1.312	0.263	0.341	1.653	0.604	0.919	1.916	0.630	0.92	0.56	0.44	2.17	0.14	0.86	0.52	0.34	0.35	0.31	0.25	-777.00	0.56	2.07	-777.00	0.1755	1.29	2180.340909	0.445770328	1.65911382	1.70E+05
20090818	12:45:00	6	40.3040	-71.8109	70.0	77.849	369.203	85.854	0.017319051	0.314402463	0.212535642	0.139954528	0.080516977	09-2003	0.075	0.006	0.013	0.004	0.004	0.003	0.002	0.003	0.001	0.035	0.002	0.002	0.075	0.001	0.001	0.006	0.001	0.007	0.006	0.001	0.001	0.001	0.005	0.029	0.001	0.001	0.094	0.011	0.044	0.138	0.055	0.074	0.149	0.054	0.99	0.80	0.20	1.71	0.07	0.93	0.50	0.69	0.17	0.15	8.73	-777.00	1.14	10.67	-777.00	0.379	0.15	2200.681818	0.054954285	1.12924454	5.63E+03
20090818	15:30:00	8	40.0969	-71.7587	2.1	80.492	72.738	24.961	0.022635963	0.224778179	0.13801013	0.079248673	0.041458884	09-2004	0.165	0.015	0.018	0.011	0.010	0.025	0.001	0.028	0.007	0.027	0.006	0.036	0.161	0.001	0.004	0.015	0.001	0.011	0.007	0.002	0.002	0.004	0.002	0.002	0.001	0.001	0.198	0.083	0.068	0.266	0.151	0.184	0.349	0.120	1.12	0.45	0.55	1.31	0.24	0.76	0.47	0.28	0.30	0.43	-999.00	-999.00	-999.00	-999.00	-999.00	-999.0	-999.00	-999.0	-999.0	-999	-999.0
