/begin_header
/identifier_product_doi=10.5067/SeaBASS/CLIVEC/DATA001
/investigators=Antonio_Mannino,Margaret_Mulholland
/affiliations=Goddard_Space_Flight_Center,Old_Dominion_University
/contact=antonio.mannino@nasa.gov,mmulholl@odu.edu
/experiment=CliVEC
/cruise=CV3
/station=1,7,9,11,14A,14B,15,16A,17,25,25A,26,30,30A,31,32,33,34,39,39A,40,42,43,48,49,50,51,52,53,58,59,60,61,62,67A,68,75,76,77,79,81,89,91,93,94
/data_file_name=CV3_OM_pigments_Seabass
/documents=DOM_analysis_CV3.doc,POCanalysis_CV3.doc
/calibration_files=Protocol_DOC_Shimadzu.txt
/data_type=pigment
/data_status=preliminary
/start_date=20100202
/end_date=20100217
/start_time=12:00:00[GMT]
/end_time=22:00:00[GMT]
/north_latitude=43.1125[DEG]
/south_latitude=37.0893[DEG]
/east_longitude=-65.7794[DEG]
/west_longitude=-75.6744[DEG]
/water_depth=433
/cloud_percent=NA
/secchi_depth=NA
/wave_height=NA
/wind_speed=NA
!
!   COMMENTS   Pigments not found and those with SNR of 4 or less are given a concentration of 0.001,
!   Samples were collected with Go-Flo bottles deployed from a rosette; samples with depth designation 0  were collected from the ship's seawater flow-through system nominally 3.7m depth.
!   Depth values adjusted by 0.87m from CTD sensor to center of sampling bottle.
!   Units for DOC are in umol/L and not in umol/kg
!   NPP = net primary productivity (mg C/m^3/day) based on C uptake from enriched 13C bicarbonate incubations.
!   The CDOM S paramater is calculated from a non-linear fitting function from 300-600nm
!   N2_fix = nitrogen fixation rates  (mg N/m^3/day) based on N2 uptake from enriched 15N incubations.
!   Values listed as -777 are below the detection limit
!   S CDOM spectral slope values were calculated from a non-linear fitting function between 300-600nm
!
/missing=-999
/delimiter=space
/fields=date,time,station,lat,lon,depth,water_depth,DOC,POC,PN,S,ag355,ag380,ag412,ag443,hpl_id,Tot_Chl_a,Tot_Chl_b,Tot_Chl_c,alpha-beta-Car,But-fuco,Hex-fuco,Allo,Diadino,Diato,Fuco,Perid,Zea,Chl_a,DV_Chl_a,Chlide_a,Chl_b,DV_Chl_b,Chl_c1c2,Chl_c3,Lut,Neo,Viola,Phytin_a,Phide_a,Pras,Gyro,TChl,PPC,PSC,PSP,Tcar,Tacc,Tpg,DP,TAcc_Tchla,PSC_Tcar,PPC_Tcar,TChl_Tcar,PPC_Tpg,PSP_Tpg,TChla_Tpg,mPF,nPF,pPF,NO2_NO3,NO2,PO4,Urea,NH4,CHL,NPP,N2_fix
/units=yyyymmdd,hh:mm:ss,none,degrees,degrees,m,m,umol/L,mg/m^3,mg/m^3,1/m,1/m,1/m,1/m,1/m,none,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,none,none,none,none,none,none,none,none,none,none,mmol/m^3,mmol/m^3,mmol/m^3,mmol/m^3,mmol/m^3,mg/m^3,mg/m^3/d,ug/m^3/d
/end_header
20100202	22:23:00	1	41.3117	-70.8467	1.83	27.47	89.47	283.3789	43.4531	0.018120896	0.103907981	0.185084915	0.302669172	0.459065994	10-0502	3.749	0.106	0.483	0.102	0.017	0.001	0.024	0.354	0.024	1.447	0.042	0.007	3.716	0.001	0.033	0.106	0.001	0.465	0.018	0.004	0.013	0.016	0.027	0.101	0.001	0.001	4.338	0.511	1.506	5.844	2.017	2.61	6.36	1.64	0.70	0.75	0.25	2.15	0.08	0.92	0.59	0.91	0.02	0.07	1.2485	-777	0.3595	0.061	0.016759777	4.05	2.468401878	0.792800243
20100202	22:23:00	1	41.3117	-70.8467	8.83	27.47	87.45	269.0588	41.4904	0.017285645	0.115322356	0.199312843	0.311946991	0.467482768	10-0503	3.484	0.103	0.445	0.097	0.015	0.001	0.032	0.367	0.035	1.313	0.049	0.007	3.456	0.001	0.028	0.103	0.001	0.426	0.019	0.005	0.011	0.016	0.026	0.098	0.001	0.001	4.032	0.538	1.377	5.409	1.915	2.46	5.95	1.52	0.71	0.72	0.28	2.11	0.09	0.91	0.59	0.9	0.03	0.07	2.7115	-777	0.431	0.1855	0.016759777	3.933333333	0.2896317	0.918017529
20100203	22:32:00	7	39.7287	-72.0458	1.63	135	75.23	77.7191	11.6813	0.018825313	0.061473812	0.102768337	0.167696069	0.247943667	10-0504	0.821	0.104	0.134	0.030	0.016	0.046	0.024	0.029	0.003	0.238	0.010	0.011	0.814	0.001	0.007	0.104	0.001	0.082	0.052	0.002	0.011	0.011	0.008	0.022	0.001	0.001	1.059	0.097	0.310	1.369	0.407	0.65	1.47	0.45	0.79	0.76	0.24	2.60	0.07	0.93	0.56	0.55	0.19	0.26	7.739	-777	0.487	0.1735	-777	0.587333333	0.926742378	0.112124366
20100203	22:32:00	7	39.7287	-72.0465	69.13	135	81.79	-999.0000	-999.0000	0.017911774	0.058301523	0.095658323	0.145506626	0.219227252	10-0505	0.385	0.051	0.068	0.014	0.009	0.026	0.007	0.012	0.001	0.123	0.001	0.007	0.383	0.001	0.002	0.051	0.001	0.038	0.030	0.001	0.005	0.003	0.006	0.021	0.001	0.001	0.504	0.041	0.158	0.662	0.199	0.318	0.703	0.223	0.83	0.79	0.21	2.53	0.06	0.94	0.55	0.55	0.19	0.26	9.412	0.099	0.536	0.1415	-777	0.302666667	0.06116594	0.067315267
20100203	17:21:00	9	39.4465	-72.6427	2.63	92	64.68	93.6121	13.5364	0.01817145	0.052611104	0.092111002	0.141743609	0.211500364	10-0506	0.893	0.141	0.146	0.038	0.022	0.076	0.053	0.030	0.004	0.160	0.010	0.016	0.884	0.001	0.009	0.141	0.001	0.091	0.055	0.003	0.015	0.015	0.010	0.030	0.001	0.001	1.180	0.140	0.268	1.448	0.408	0.69	1.59	0.48	0.78	0.66	0.34	2.90	0.09	0.91	0.57	0.355	0.315	0.33	8.155	0.077	0.524	0.115	-777	0.703636364	1.272025805	0.566155678
20100203	17:21:00	9	39.4465	-72.6427	2.63	92	-999.00	-999.0000	-999.0000	-999	-999	-999	-999	-999	10-0507	0.869	0.140	0.143	0.037	0.022	0.076	0.048	0.030	0.004	0.161	0.010	0.015	0.859	0.001	0.009	0.140	0.001	0.088	0.055	0.003	0.015	0.014	0.010	0.029	0.001	0.001	1.152	0.134	0.269	1.421	0.403	0.69	1.56	0.47	0.79	0.67	0.33	2.86	0.09	0.91	0.56	0.36	0.31	0.33	-999	-999	-999	-999	-999	-999	-999	-999
20100203	12:45:00	9	39.4465	-72.6427	89.63	92	66.14	117.2378	13.8861	0.019106301	0.038247501	0.06927392	0.10300052	0.153785816	10-0508	0.215	0.030	0.036	0.014	0.010	0.018	0.005	0.006	0.001	0.071	0.001	0.006	0.215	0.001	0.001	0.030	0.001	0.019	0.017	0.001	0.004	0.003	0.005	0.048	0.001	0.001	0.281	0.032	0.099	0.380	0.131	0.20	0.41	0.14	0.92	0.76	0.24	2.15	0.08	0.92	0.52	0.51	0.24	0.26	9.854	0.28	0.6025	0.105	-777	0.254545455	0.057377198	2.746540938
20100203	23:34:00	11	39.6482	-73.1502	2.13	43	77.26	138.6793	21.2423	0.01814535	0.069703077	0.120864727	0.188244907	0.278654716	10-0509	2.088	0.200	0.300	0.067	0.022	0.048	0.058	0.072	0.005	0.640	0.057	0.014	2.057	0.001	0.031	0.200	0.001	0.227	0.073	0.004	0.021	0.021	0.020	0.044	0.001	0.001	2.588	0.216	0.767	3.355	0.983	1.48	3.57	1.04	0.71	0.78	0.22	2.63	0.06	0.94	0.58	0.67	0.12	0.21	4.44	0.186	0.432	-777	-777	1.753	4.492394105	1.27213281
20100203	23:34:00	11	39.6482	-73.1502	29.13	43	79.08	143.6581	23.5667	0.017573479	0.07619124	0.124637603	0.197056678	0.289169336	10-0510	2.161	0.153	0.306	0.064	0.015	0.029	0.015	0.076	0.004	0.823	0.036	0.009	2.102	0.001	0.059	0.153	0.001	0.254	0.052	0.002	0.018	0.016	0.020	0.067	0.001	0.001	2.620	0.168	0.903	3.523	1.071	1.53	3.69	1.08	0.71	0.84	0.16	2.45	0.05	0.95	0.59	0.8	0.05	0.15	3.623	0.0555	0.416	0.167	-777	2.164	1.00749498	1.926382373
20100204	11:46:00	14A	38.5330	-73.2465	0	292	80.42	56.6499	8.4767	0.017819018	0.043694828	0.074233575	0.110281553	0.162355295	10-0511	0.539	0.085	0.096	0.023	0.021	0.068	0.025	0.014	0.001	0.093	0.004	0.009	0.536	0.001	0.003	0.085	0.001	0.054	0.042	0.001	0.009	0.007	0.007	0.016	0.001	0.001	0.720	0.072	0.186	0.906	0.258	0.44	0.98	0.31	0.81	0.72	0.28	2.79	0.07	0.93	0.55	0.32	0.37	0.31	6.719	-777	0.385	0.1815	-777	0.485625	0.896736594	0.463133461
