/begin_header
/received=20140411
/affiliations=NASA_GSFC,NASA_GSFC/SSAI,NASA_GSFC/SSAI,NASA_GSFC/SSAI
/investigators=Antonio_Mannino,Scott_Freeman,Aimee_Neeley,Mike_Novak
/contact=aimee.neeley@nasa.gov
!/experiment=ECOMon
/experiment=ECOMON
!/cruise=ECO1
/cruise=PC1301
/station=NA
/data_file_name=ECO1_pigments_2013.csv
/documents=ECOMon_CruiseReport_final.pdf,POCanalysis_ECOMON.doc,DOM_analysis_ECOMON.doc
/calibration_files=Van_Heukelem_and_Thomas_2001
/data_type=pigment
/data_status=preliminary
/start_date=20130210
/end_date=20130225
/start_time=22:05:00[GMT]
/end_time=22:57:00[GMT]
/north_latitude=43.76[DEG]
/south_latitude=36.67[DEG]
/east_longitude=-67.68[DEG]
/west_longitude=-75.48[DEG]
/measurement_depth=NA
/water_depth=NA
!
!COMMENTS
!Samples were collected from the CTD rosette or shipboard clean seawater system
!Samples were filtered under vacuum (~5-7psi) onto 25mm GF/F filters
!Samples were stored at -80C prior to analysis
!Original file name for HPLC pigments: Mannino 02-18 report.xlsx
!Samples were collected in conjunction with AOP and IOP deployments
!Units for DOC are umol/L and not in umol/kg
! "size_fractionation" field: 20um and 3um Polycap filters were used to filter water samples. Values of 20 and 3 refer to the filter size used on the corresponding row of data.
!Values listed as -111 are below the detection limit of 0.001 mg/m^3 for HPLC pigments
!
/below_detection_limit=-111
/missing=-999
/delimiter=comma
/fields=date,time,station,lat,lon,depth,water_depth,DOC,POC,PN,size_fraction,Tot_Chl_a,Tot_Chl_a_sd,Tot_Chl_b,Tot_Chl_b_sd,Tot_Chl_c,Tot_Chl_c_sd,alpha-beta-Car,alpha-beta-Car_sd,But-fuco,But-fuco_sd,Hex-fuco,Hex-fuco_sd,Allo,Allo_sd,Diadino,Diadino_sd,Diato,Diato_sd,Fuco,Fuco_sd,Perid,Perid_sd,Zea,Zea_sd,MV_Chl_a,MV_Chl_a_sd,DV_Chl_a,DV_Chl_a_sd,Chlide_a,Chlide_a_sd,MV_Chl_b,MV_Chl_b_sd,DV_Chl_b,DV_Chl_b_sd,Chl_c1c2,Chl_c1c2_sd,Chl_c3,Chl_c3_sd,Lut,Lut_sd,Neo,Neo_sd,Viola,Viola_sd,Phytin_a,Phytin_a_sd,Phide_a,Phide_a_sd,Pras,Pras_sd,Gyro,Gyro_sd
/units=yyyymmdd,hh:mm:ss,none,degrees,degrees,m,m,umol/L,mg/m^3,mg/m^3,um,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3,mg/m^3
/end_header
20130210,22:05:00,3,36.66666667,-75.48166667,2.5,23.9,90.73941644,236.6156509,41.75377856,-999,2.305,0.025,0.265,0,0.452,0,0.083,0,0.05,0.000707107,0.201,0.000707107,0.037,0,0.323,0.004242641,0.043,0.001414214,0.72,0.000707107,0.213,0.013435029,0.011,0.000707107,2.284,0.032526912,-111,-999,0.021,0.007071068,0.265,0,-111,-999,0.294,0.00212132,0.159,0.00212132,0.009,0,0.029,0,0.031,0,0.025,0,0.094,0.00212132,0.064,0.000707107,-111,-999
20130210,22:05:00,3,36.66666667,-75.48166667,9,23.9,130.137843,283.8162406,50.17004938,-999,2.952,0.016,0.35,0.008485281,0.561,0.002828427,0.109,0.001414214,0.057,0,0.196,0.005656854,0.039,0.000707107,0.259,0.00212132,0.026,0,0.931,0.004949747,0.293,0.009192388,0.008,0,2.927,0.016970563,-111,-999,0.025,0.000707107,0.35,0.008485281,-111,-999,0.383,0.000707107,0.179,0.00212132,0.007,0.000707107,0.038,0.003535534,0.035,0,0.042,0,0.188,0.010606602,0.071,0.001414214,-111,-999
20130211,14:21:00,12,37.139715,-74.813935,3.5,57,65.74052864,78.95429874,15.62413373,-999,0.978,0.016,0.164,0.004949747,0.183,0.002828427,0.043,0.000707107,0.037,0.000707107,0.149,0.001414214,0.048,0.001414214,0.034,0,0.003,0,0.16,0.004949747,0.021,0.000707107,0.015,0.000707107,0.969,0.014849242,-111,-999,0.009,0.001414214,0.164,0.004949747,-111,-999,0.103,0.001414214,0.08,0.001414214,0.001,0,0.017,0.000707107,0.015,0,0.013,0,0.032,0.000707107,0.045,0.000707107,-111,-999
20130211,14:21:00,12,37.139715,-74.813935,24.5,57,54.71310554,85.92829588,17.5557998,-999,1.046,0,0.153,0,0.212,0.001414214,0.044,0.001414214,0.036,0.001414214,0.163,0.000707107,0.036,0.000707107,0.041,0,0.004,0,0.221,0.002828427,0.037,0.000707107,0.011,0.001414214,1.038,0.000707107,-111,-999,0.009,0.000707107,0.153,0,-111,-999,0.117,0.000707107,0.096,0.000707107,0.001,0,0.017,0.001414214,0.014,0.000707107,0.016,0,0.041,0.000707107,0.044,0,-111,-999
20130211,14:21:00,12,37.139715,-74.813935,3.5,57,65.74052864,-999,-999,3,0.195,0.004,0.086,0.00212132,0.02,0,0.009,0,0.008,0,0.011,0.000707107,0.003,0,0.003,0,-111,0,0.016,0.004949747,-111,0,0.008,0,0.195,0.003535534,-111,-999,-111,0,0.086,0.00212132,-111,-999,0.012,0.000707107,0.009,0.000707107,-111,0,0.01,0,0.008,0.001414214,0.0145,0,0.0365,0,0.027,0,-111,-999
20130211,14:21:00,12,37.139715,-74.813935,3.5,57,7.154729049,-999,-999,20,0.266,-999,0.099,-999,0.032,-999,0.013,-999,0.012,-999,0.019,-999,0.01,-999,0.004,-999,-111,-999,0.019,-999,-111,-999,0.011,-999,0.266,-999,-111,-999,-111,-999,0.099,-999,-111,-999,0.019,-999,0.013,-999,0.001,-999,0.012,-999,0.009,-999,0.002,-999,-111,-999,0.025,-999,-111,-999
20130211,18:37:00,14.1,37.25645,-75.460085,4,23.31,92.94992082,333.4566827,64.00951236,-999,5.508,0.12,0.346,0.004242641,0.928,0.004242641,0.178,0.005656854,0.041,0.000707107,0.066,0.000707107,0.041,0.000707107,0.436,0.005656854,0.02,0.00212132,1.801,0.092630988,0.6,0.025455844,0.008,0,5.467,0.131521861,-111,-999,0.041,0.012020815,0.346,0.004242641,-111,-999,0.843,0.002828427,0.085,0.001414214,0.007,0,0.041,0.001414214,0.039,0.000707107,0.06,0.00212132,0.154,0.003535534,0.04,0,-111,-999
20130211,20:37:00,15,37.53163833,-75.29177333,4.3,23.68,100.0028446,320.5255253,62.51684803,-999,6.944,0.203,0.223,0.014849242,1.081,0.038890873,0.201,0.005656854,0.024,0,0.019,0.00212132,0.054,0.000707107,0.428,0.009899495,0.017,0,2.382,0.120208153,0.547,0.014142136,0.008,0.000707107,6.921,0.202232539,-111,-999,0.023,0.000707107,0.223,0.014849242,-111,-999,1.047,0.035355339,0.034,0.003535534,0.006,0.000707107,0.031,0.001414214,0.031,0,0.07,0.001414214,0.131,0.009192388,0.021,0.000707107,-111,-999
