study_id,sample_id,doc,absorption,wavelength,longitude,latitude,season,year,month,salinity
tehrani2013,Jul-2007-1,375,1.536,412,-92.04,29.57,summer,2007,7,18.47
tehrani2013,Jul-2007-2,365.83,1.409,412,-92.08,29.54,summer,2007,7,19.97
tehrani2013,Jul-2007-3,301.5,0.792,412,-91.99,29.62,summer,2007,7,13.3
tehrani2013,Jul-2007-4,276.17,1.172,412,-89.94,29.32,summer,2007,7,20.49
tehrani2013,Aug-2007-1,277.42,0.894,412,-89.91,29.35,summer,2007,8,26.72
tehrani2013,Aug-2007-2,255.75,0.597,412,-89.94,29.32,summer,2007,8,28.57
tehrani2013,Sep-2007-1,487.5,2.45,412,-91.99,29.62,autumn,2007,9,4.39
tehrani2013,Sep-2007-2,468.58,2.345,412,-92.04,29.57,autumn,2007,9,5.71
tehrani2013,Sep-2007-3,364.33,1.706,412,-89.91,29.35,autumn,2007,9,18.81
tehrani2013,Jun-2008-1,336.67,2.381,412,-89.94,29.32,summer,2008,6,14.02
tehrani2013,Sep-2009-1,208.83,0.692,412,-90.02,29.05,autumn,2009,9,22.03
tehrani2013,Sep-2009-2,123.42,0.083,412,-89.47,28.38,autumn,2009,9,31.48
tehrani2013,Sep-2009-3,186.58,0.624,412,-89.49,29.04,autumn,2009,9,19.56
tehrani2013,Sep-2009-4,163,0.47,412,-89.88,29.23,autumn,2009,9,25.77
tehrani2013,Sep-2009-5,156.42,0.173,412,-90.48,28.87,autumn,2009,9,30.27
tehrani2013,Sep-2009-6,185.08,0.348,412,-91,28.73,autumn,2009,9,27.76
tehrani2013,Sep-2009-7,201,0.537,412,-90.02,28.91,autumn,2009,9,31.16
tehrani2013,Sep-2009-8,142.75,0.051,412,-89.47,28.55,autumn,2009,9,30.95
tehrani2013,Sep-2009-9,209.17,0.747,412,-89.47,28.91,autumn,2009,9,24.58
tehrani2013,Sep-2009-10,233.75,0.84,412,-90.02,29.18,autumn,2009,9,18.65
tehrani2013,Sep-2009-11,162.42,0.459,412,-90.47,28.72,autumn,2009,9,30.77
tehrani2013,Sep-2009-12,159.42,0.282,412,-90,28.71,autumn,2009,9,30.9
tehrani2013,Sep-2009-13,153.17,0.035,412,-89.75,28.55,autumn,2009,9,30.92
tehrani2013,Sep-2009-14,203.08,0.373,412,-89.61,28.91,autumn,2009,9,21.8
tehrani2013,Sep-2009-15,219.17,0.628,412,-90.02,29.05,autumn,2009,9,22.84
tehrani2013,Sep-2009-16,117.17,0.093,412,-90.48,28.55,autumn,2009,9,33.14
tehrani2013,Sep-2009-17,137.67,0.042,412,-90.02,28.53,autumn,2009,9,30.51
tehrani2013,Sep-2009-18,130.42,0.1,412,-89.75,28.72,autumn,2009,9,30.8
tehrani2013,Sep-2009-19,149.08,0.13,412,-90.02,28.93,autumn,2009,9,30.01
tehrani2013,Sep-2009-20,117.75,0.06,412,-90.48,28.38,autumn,2009,9,32.52
tehrani2013,Sep-2009-21,171.33,0.456,412,-89.47,28.72,autumn,2009,9,25.29
tehrani2013,Sep-2009-22,126.25,0.085,412,-89.75,29.05,autumn,2009,9,31.25
tehrani2013,Sep-2009-23,190.58,0.567,412,-90.25,28.98,autumn,2009,9,21.71
tehrani2013,Sep-2009-24,163.58,0.346,412,-90.72,28.73,autumn,2009,9,25.83
tehrani2013,Sep-2009-25,122.25,0.061,412,-89.75,28.38,autumn,2009,9,31.66
tehrani2013,Sep-2009-26,212.17,0.767,412,-89.47,28.91,autumn,2009,9,19.95
tehrani2013,Sep-2009-27,142.08,0.419,412,-89.75,29.18,autumn,2009,9,28.02
tehrani2013,Sep-2009-28,244.5,0.859,412,-90.48,29.04,autumn,2009,9,17.33
tehrani2013,Sep-2009-29,120.25,0.023,412,-91,28.53,autumn,2009,9,34.39
