PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Andrew, AA; Del Vecchio, R; Subramaniam, A; Blough, NV				Andrew, Andrea A.; Del Vecchio, Rossana; Subramaniam, Ajit; Blough, Neil V.			Chromophoric dissolved organic matter (CDOM) in the Equatorial Atlantic Ocean: Optical properties and their relation to CDOM structure and source	MARINE CHEMISTRY												Extensive data exist on the optical properties of CDOM from terrestrial and coastal environments, yet the open oceans have been historically under-sampled. Consequently, the source and structural basis of marine CDOM optical properties are still debated. To address this issue, detailed optical measurements were acquired for both untreated and sodium borohydride (NaBH4) reduced natural waters and C18 extracts (C18-OM) across the Equatorial Atlantic Ocean. Except in regions of upwelling or in the vicinity of the Congo River outflow, CDOM absorption coefficients and visible emission intensity were far smaller for surface waters (a(CDOM)(355): 0.057-0.162 m(-1); lambda(ex) /lambda(em) = 350/450 nm: 0.396-1.431 qse) than for waters below the mixed layer (a(CDOM)(355) 0.084-0.344 m(-1); lambda(ex)/lambda(em) = 350/450 nm: 0.903-3.226 qse), while spectral slopes were higher (surface: 0.019 to 0.025 nm(-1); deep: 0.013 to 0.019 nm(-1)), consistent with photobleaching of CDOM in surface waters. Distinct emission bands were observed in the ultraviolet, primarily at excitation/emission wavelengths (lambda(ex)/lambda(em)) =280/320 nm, but also at lambda(ex)/lambda(em) = 300/340, 300/405 and 320/380 nm for some stations and depths. In contrast, visible emission exhibited maxima that continuously redshifted with increasing lambda(ex) (>330 nm), a property characteristic of CDOM from estuarine and coastal environments. Further evidence that CDOM in the offshore waters of this region is composed of a major terrestrial component includes: 1) similar spectral dependencies of the emission maxima and fluorescence quantum yields; 2) a large Stokes shift in the emission maxima with short-wavelength excitation (lambda(ex) = 280 nm); 3) correlation of visible emission intensities with absorption at lambda(ex) = 280, 320 and 450 nm, with absorption to fluorescence ratios comparable to those found in estuarine and coastal environments; 4) affinity of C18 cartridges for the long wavelength (visible) absorbing and emitting material, but not the UV emitting material; 5) preferential loss of visible absorption and substantially enhanced blue-shifted emission in the visible following borohydride reduction of both the Equatorial Atlantic waters and the C18-OM of these waters. These results support the occurrence in offshore waters of a major terrestrial CDOM component that absorbs in the UV and visible and emits in the visible, as well as marine CDOM components that absorb and emit in the UV. The results further demonstrate that the simultaneous acquisition of complete spectral absorption and emission properties, combined with chemical tests (C-18 extractions, borohydride reduction) can provide a far clearer picture of the sources and cycling of CDOM within the oceans. (C) 2012 Elsevier B.V. All rights reserved.				Blough, Neil/B-7727-2009; 	Subramaniam, Ajit/0000-0003-1316-5827												0304-4203	1872-7581				JAN 20	2013	148						33	43		10.1016/j.marchem.2012.11.001						WOS:000314441600004		
J	Romera-Castillo, C; Alvarez-Salgado, XA; Gali, M; Gasol, JM; Marrase, C				Romera-Castillo, Cristina; Anton Alvarez-Salgado, Xose; Gali, Marti; Gasol, Josep M.; Marrase, Celia			Combined effect of light exposure and microbial activity on distinct dissolved organic matter pools. A seasonal field study in an oligotrophic coastal system (Blanes Bay, NW Mediterranean)	MARINE CHEMISTRY												A harmonic analysis of three years of data collected with fortnight to monthly frequency in the oligotrophic Bay of Blanes (NW Mediterranean) revealed that the water column mixing-stratification cycle dictated the seasonal build-up of the bulk and different coloured fractions of dissolved organic matter (DOM). Dissolved organic carbon (DOC) accumulated at late summer, reaching the annual maximum by early September, half a month later than water temperature. The seasonal cycle of the protein-like fluorescence (F(280/350)) was in phase with DOC, suggesting that reduced heterotrophic activity, due to severe P limitation, is likely the reason behind the late summer accumulation of these materials. The absorption due to conjugated carbon double bonds of DOM (a(CDOM)(254)) reached the annual maximum by early August, concomitant to the seasonal maximum of microbial activity, suggesting that biological production prevailed over photo-degradation of these compounds. On the contrary, the fluorescence of humic-like substances absorbing in the UV-A region (F(340/440)) presented the annual maximum in early February, coinciding with the seasonal maximum of autotrophic biomass, and the minimum in early August, because of the prevalence of photo-degradation over microbial production. The optical properties of DOM allowed distinguishing between three DOC pools of contrasting origin, photo- and bio-reactivity, in the oligotrophic NW Mediterranean Sea. (C) 2012 Published by Elsevier B.V.				Alvarez-Salgado, Xose Anton/A-8365-2012; Gali, Marti/L-1541-2013; Gasol, Josep/B-1709-2008; Marrase, Celia/I-1166-2015; 	Alvarez-Salgado, Xose Anton/0000-0002-2387-9201; Gali, Marti/0000-0002-5587-1271; Marrase, Celia/0000-0002-5097-4829; Gasol, Josep M/0000-0001-5238-2387												0304-4203					JAN 20	2013	148						44	51		10.1016/j.marchem.2012.10.004						WOS:000314441600005		
J	Yang, YK; Nakada, N; Nakajima, R; Yasojima, M; Wang, C; Tanaka, H				Yang, Yongkui; Nakada, Norihide; Nakajima, Ryoji; Yasojima, Makoto; Wang, Chao; Tanaka, Hiroaki			pH, ionic strength and dissolved organic matter alter aggregation of fullerene C-60 nanoparticles suspensions in wastewater	JOURNAL OF HAZARDOUS MATERIALS												The rapid increase in the production and use of fullerene C-60 nanopartides raise concerns about environmental risks and human health. Wastewater treatment plants are key barriers to their discharge into the environment. The aggregation behavior of aqueous suspensions of C-60 nanoparticles (nC(60)) could affect their transport, bioavailability, and removal during wastewater treatment. We tested the aggregation of nC(60) in wastewater at different values of pH, ionic strength, and dissolved organic matter (DOM). The nC(60) remained relatively stable in filtered wastewater under environmentally relevant conditions up to 24 h. But at pH 3 or at high ionic strength (>100 mM NaCl), the aggregate size increased greatly, reaching micrometer scale after only 1 h. However, the aggregation behavior varied among wastewater samples even at values of similar zeta potential, compared with that in filtered secondary effluent and aeration tank liquor, that in filtered primary effluent was obviously inhibited. This inhibition could be attributed to the steric stabilization due to the adsorption of DOM on nC(60) aggregate in addition to electrostatic stabilization. The aggregation results also suggest that membrane filtration could be improved by adjustments to pH. (c) 2012 Elsevier B.V. All rights reserved.																	0304-3894					JAN 15	2013	244						582	587		10.1016/j.jhazmat.2012.10.056						WOS:000315001000068	23177247	
J	Liu, CC; Chen, GB				Liu, Cheng-Chung; Chen, Guan-Bu			Reclamation of cadmium-contaminated soil using dissolved organic matter solution originating from wine-processing waste sludge	JOURNAL OF HAZARDOUS MATERIALS												Soil washing using an acid solution is a common practice for removing heavy metals from contaminated soil in Taiwan. However, serious loss of nutrients from soil is a major drawback of the washing. Distillery sludge can be used to prepare a dissolved organic matter (DOM) solution by extracting its organic constituents with alkaline solutions. This study employed DOM solutions to remediate Cd-contaminated soil (with concentrations up to 21.5 mg kg(-1)) and determine the factors affecting removal of Cd, such as pH, initial concentration of DOM solution, temperature, and washing frequency. When washing with pH 3.0 and 1250 mg L-1 DOM solution, about 80% and 81% of Cd were removed from the topsoil at 27 degrees C and subsoil at 40 degrees C, respectively. To summarize the changes in fertility during DOM washing with various pH solutions: the increase in organic matter content ranged from 7.7% to 23.7%; cation exchange capacity (CEC) ranged from 4.6% to 13.9%; available ammonium (N-NH4) content ranged from 39.4% to 2175%; and available phosphorus content ranged from 34.5% to 182%: Exchangeable K, Ca, and Mg remained in the topsoil after DOM washing, with concentrations of 1.1, 2.4, and 1.5 times higher than those treated with HCl solution at the same pH, respectively. (c) 2012 Elsevier B.V. All rights reserved.																	0304-3894					JAN 15	2013	244						645	653		10.1016/j.jhazmat.2012.10.060						WOS:000315001000076	23183341	
J	Garcia-Otero, N; Bermejo-Barrera, P; Moreda-Pineiro, A				Garcia-Otero, Natalia; Bermejo-Barrera, Pilar; Moreda-Pineiro, Antonio			Size exclusion and anion exchange high performance liquid chromatography for characterizing metals bound to marine dissolved organic matter	ANALYTICA CHIMICA ACTA												Size exclusion chromatography (SEC) followed by anion exchange chromatography (AEC) hyphenated with inductively coupled plasma-mass spectrometry (ICP-MS) was applied for fractionating metals bound to marine dissolved organic matter (DOM). Surface seawater samples (100 L) were subjected to tangential flow ultrafiltration (10,000 Da cut off) for isolating and pre-concentrating dissolved large molecules. The isolated fraction (retentate) consisted of 1 L, which was further freeze-dried and re-dissolved to 250 mL with ultrapure water. After HI Trap desalting of the re-dissolved retentate, SEC with UV detection showed marine DOM ranging from 6.5 kDa (lower than the permeable volume of the SEC column) to 16 kDa. A further characterization of this fraction by AEC with UV detection revealed the existence of four groups of macromolecules exhibiting retention times of 2.3, 2.8, 4.5 and 14.0 min. AEC hyphenated with ICP-MS showed the presence of strontium and zinc in the first AE fraction isolated from the SEC fraction; while manganese was found to be bound to the second AE fraction. Cobalt was found to be bound to molecules comprising the third AE fraction. (C) 2012 Elsevier B.V. All rights reserved.				Moreda Pineiro, Antonio/S-3464-2016													0003-2670					JAN 14	2013	760						83	92		10.1016/j.aca.2012.11.024						WOS:000314488300010	23265737	
J	Agbo, SO; Akkanen, J; Leppanen, MT; Kukkonen, JVK				Agbo, Stanley O.; Akkanen, Jarkko; Leppanen, Matti T.; Kukkonen, Jussi V. K.			Bioconcentration of benzo[a]pyrene in Chironomus riparius and Lumbriculus variegatus in relation to dissolved organic matter and biotransformation	AQUATIC ECOSYSTEM HEALTH & MANAGEMENT												The relative health of benthic invertebrate populations is threatened by both dissolved and strongly-bound contaminants. Sediment-bound contaminants can be mobilized and metabolized in the guts of deposit-feeders and may lead to even more potent derivatives. For this reason, measures of parent substance concentrations in organisms are not a suitable exposure indicator when substantial biotransformation can occur. In this study, we assessed the concentration of waterborne C-14-benzo[a]pyrene (BaP) in Chironomus riparius larvae and in the oligochaete Lumbriculus variegatus at different levels of dissolved organic carbon (DOC). These two species have different biotransformation capabilities. Polydimethylsiloxane (PDMS) fiber was used to assess the freely-dissolved concentrations for the prediction of uptake and elimination kinetics. Exposure concentrations decreased due to the presence of DOC. Radioactivity that corresponded to the metabolites exceeded 90% of total extractable fractions in C. riparius, and suggested that BaP metabolism was faster than uptake from solution. However, only 10% of the extracted activity was attributed to metabolites in L. variegatus. Measured tissue concentrations and model-predicted uptake and elimination rates showed that L. variegatus mainly accumulated parent compound, whereas C. riparius accumulated mainly metabolites. No effect of DOC was observed on the biotransformation of BaP in either species.																	1463-4988					JAN 2	2013	16	1					70	77		10.1080/14634988.2013.753827						WOS:000319171200008		
S	Yamada, N; Tsurushima, N; Suzumura, M		Dixon, T; Yamaji, K		Yamada, Namiha; Tsurushima, Nobuo; Suzumura, Masahiro			Effects of CO2-induced seawater acidification on microbial processes involving dissolved organic matter	GHGT-11	Energy Procedia				International Conference on Greenhouse Gas Technologies (GHGT)	NOV 18-22, 2012	Kyoto, JAPAN					We used laboratory experiments covering a wide range of carbon dioxide (CO2) induced seawater acidification to simulate ocean CO2 storage and assess the potential effects on heterotrophic microbial processes associated with labile dissolved organic matter (DOM). There was no noticeable effect of increased CO2 concentration on short-term decomposition of labile DOM or nutrient uptake. However, microbial activities producing new DOM were apparently enhanced under treatments with 2000 or 5000 ppm CO2. Under these conditions, production of aggregates was inhibited in early stage. Both of acute and chronic effects should be included for assessment of biogeochemical cycle related to microbe process. (C) 2013 The Authors. Published by Elsevier Ltd.																	1876-6102						2013	37						5962	5969		10.1016/j.egypro.2013.06.523						WOS:000345500506025		
S	Deng, CZ; Lu, S; Jia, CZ		Zhao, J; Iranpour, R; Li, X; Jin, B		Deng, Chuzhou; Lu, Song; Jia, Chenzhong			Fluorescence Excitation-emission Spectroscopy for Characterizing Transformation of Dissolved Organic Matter during Landfill Leachate Treatment by Photocatalysis	ADVANCES IN ENVIRONMENTAL TECHNOLOGIES, PTS 1-6	Advanced Materials Research				2nd International Conference on Energy and Environmental Protection (ICEEP 2013)	APR 19-21, 2013	Guilin, PEOPLES R CHINA	Inner Mongolia Univ, Chinese Acad Sci, Res Ctr Eco Environm Sci, Key Lab Environm Biotechnol				Fluorescence spectroscopy was performed to investigate the composition changes and characteristics of the leachate DOM (dissolved organic matter) during UV-TiO2 photocatalytic treatment process. The results showed that fulvic-like, tryptophan-like and humic acids-like matters were the main compounds in leachate. During photocatalytic treatment process, fluorescence spectroscopy of DOM changed considerably. The final products were mainly fulvic-like and tryptophan-like matters. In general, the fluorescence signals of humic acids-like matters had the most significant change, which disappeared entirely after 60 h treatment, implying that humic acids-like matters can be degraded preferentially by photocatalysis. The other notable change was in VIS fulvic-like matters region, which suggested that fulvic-like matters can be significantly degraded. In 72 h photocatalytic effluent, VIS fulvic-like, tryptophan-like and tyrosine-like matters were remained, and the last two matters were the dominant fractions. These results indicated that fulvic-like and humic acids-like matters with macromolecular can be degraded into protein-like matters with micro-molecular by photocatalysis.																	1022-6680		978-3-03785-742-7				2013	726-731						122	126		10.4028/www.scientific.net/AMR.726-731.122						WOS:000333767500027		
S	Liao, SW; Cao, JW; Chung, CY; Gau, HS; Lee, CG; Lai, WL		Zhao, J; Iranpour, R; Li, X; Jin, B		Liao, Shao-Wei; Cao, Jing-Wen; Chung, Chung-Yi; Gau, Hwa-Sheng; Lee, Chang-Gai; Lai, Wen-liang			Correlation between Fluorescent and UV Absorbance in Dissolved Organic Matter of the Effluent from the Pulp Mill	ADVANCES IN ENVIRONMENTAL TECHNOLOGIES, PTS 1-6	Advanced Materials Research				2nd International Conference on Energy and Environmental Protection (ICEEP 2013)	APR 19-21, 2013	Guilin, PEOPLES R CHINA	Inner Mongolia Univ, Chinese Acad Sci, Res Ctr Eco Environm Sci, Key Lab Environm Biotechnol				During the interval from Oct.2011to April.2012, water samples were collected from the effluent treated by the secondary treatment of pulp mill. The measurements of EEFM (Excitation Emission Fluorescent matrix) by the fluorescent spectrometry as well as the value of UV absorbance were analyzed for water samples filtered by 0.45 mu m membrane filter. The EEFM information of dissolved organic matter of filtered water samples were characterized as 8 components with 89.7% of explained variation using PARAFAC model. Four substances had high loading, including the wavelength of Excitation /Emission (Ex/Em) of 360/420 nm, 280/270-430 nm, 350/430 nm and 300/420-480 nm. The fluorescent characteristic of 270/310 nm and 270/450 nm had a high correlation with UV254 value (R=0.838); however, the fluorescent intensity of 240/410 nm had a negative correlation with the value of UV200-400.																	1022-6680		978-3-03785-742-7				2013	726-731						1463	1467		10.4028/www.scientific.net/AMR.726-731.1463						WOS:000333767500295		
J	Jo, I; Echigo, S; Itoh, S				Jo, I.; Echigo, S.; Itoh, S.			Profiles of dissolved organic matter and haloacetic acid formation potential in drinking water treatment by a comprehensive fractionation technique	WATER SCIENCE AND TECHNOLOGY-WATER SUPPLY												A comprehensive fractionation technique was applied to a set of water samples obtained along a real drinking water treatment plant with ozonation and granular activated carbon (GAC) treatment to obtain detailed profiles of dissolved organic matter (DOM) and to evaluate the haloacetic acid (HAA) formation potentials of these DOM fractions. The results indicated that ozonation and GAC treatment showed limited ability to remove hydrophilic fractions (23%), while removal of hydrophobic fractions was 72%. The contribution of hydrophilic fractions to HAA formation increased from 30 to 61% along the treatment train because of better removal for hydrophobic fractions both in concentration and reactivity. Similar trends were also found for trihalomethanes.																	1606-9749						2013	13	1					89	95		10.2166/ws.2012.082						WOS:000334242900009		
