PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Thomsen, M; Dobel, S; Lassen, P; Carlsen, L; Mogensen, BB; Hansen, PE				Thomsen, M; Dobel, S; Lassen, P; Carlsen, L; Mogensen, BB; Hansen, PE			Reverse quantitative structure-activity relationship for modelling the sorption of esfenvalerate to dissolved organic matter - A multivariate approach	CHEMOSPHERE												The sorption of the pyrethroid, esfenvalerate, to the dissolved and/or dispersed fraction of eight different natural humic compounds has been investigated. The dissolved organic matters (DOMs) included in this study originate from ground water, soil pore water, and surface waters. Sorption was modelled at DOM concentration levels where equilibrium partitioning of esfenvalerate between DOM and the aqueous bulk phase prevails. The inherent characteristics of the eight different humic materials, quantified in the preceding paper by Thomsen et al. (2002, this issue (PII: S0045-6535(02)00335-1)), have been used as explanatory variables for modelling this equilibrium partitioning. Using a reverse QSAR approach based on by projection-into-latent-structure regression (PLS-R) inherent sorbent properties determining for the sorption affinity of esfenvalerate to DOM were analysed. For all humic substances a decrease in the DOM-normalised equilibrium-partitioning coefficient, K-DOM, with increasing concentration of DOM was observed. Significant variations in K-DOM values, as function of the inherent characteristics of the individual humic substances, were found at DOM concentrations of 75 and 100 ppm, respectively. The latter is a strong indication of variations in sorption mechanisms of esfenvalerate to DOM of varying inherent properties. Groupings in the principal property space quantifying DOMs may indicate that separate models are needed for quantifying the equilibrium partitioning to different classes of DOM. (C) 2002 Elsevier Science Ltd. All rights reserved.				Carlsen, Lars/D-9058-2012; 	Thomsen, Marianne/0000-0003-2453-5141												0045-6535					DEC	2002	49	10					1317	1325	PII S0045-6535(02)00510-6	10.1016/S0045-6535(02)00510-6						WOS:000179482400014	12489729	
J	Thomsen, M; Lassen, P; Dobel, S; Hansen, PE; Carlsen, L; Mogensen, BB				Thomsen, M; Lassen, P; Dobel, S; Hansen, PE; Carlsen, L; Mogensen, BB			Characterisation of humic materials of different origin: A multivariate approach for quantifying the latent properties of dissolved organic matter	CHEMOSPHERE												The inherent chemical properties of eight different dissolved organic matters (DOMs) originating from soil, surface and groundwater have been analysed. The samples consist of isolated fulvic acids (FA), humic acids (HA), and humic substances (HS), i.e. natural mixtures containing a humic and a fulvic fraction. The humic substances have been characterised by elemental analysis, size exclusion chromatography, E(2)/E(3) and E(4)/E(6) UV absorption ratios, and liquid-state (13)C-NMR spectroscopy. The information contents of the different analytical methods have been investigated by pattern recognition, i.e. cluster analysis and principal component analysis (PCA). A comparative study of the information contents of DOM descriptors derived from different analytical methods is presented. Through extraction of information content of the individual analytical methods the inherent properties of DOM are quantified. Pattern recognition revealed significant quantitative differences in the inherent properties of DOM of different origin and type. PCA based on the NMR descriptors showed highest explained variance. However, all models showed low robustness due to the limited number of samples. The supervised pattern recognition, i.e. PCA, indicates a classification of DOMs into groups of similar properties by an increase in the number of samples. Furthermore that the number of groups may be higher and more continuously distributed than the conventional classification into fulvic acids, humic acids or humic substances. (C) 2002 Elsevier Science Ltd. All rights reserved.				Carlsen, Lars/D-9058-2012; 	Thomsen, Marianne/0000-0003-2453-5141												0045-6535					DEC	2002	49	10					1327	1337	PII S0045-6535(02)00335-1	10.1016/S0045-6535(02)00335-1						WOS:000179482400015	12489730	
J	Kim, SB; Corapcioglu, MY				Kim, SB; Corapcioglu, MY			Contaminant transport in dual-porosity media with dissolved organic matter and bacteria present as mobile colloids	JOURNAL OF CONTAMINANT HYDROLOGY												In riverbank filtration, contaminant transport is affected by colloidal particles such as dissolved organic matter (DOM) and bacterial particles. In addition, the subsurface heterogeneity influences the behavior of contaminant transport in riverbank filtration. A mathematical model is developed to describe the contaminant transport in dual-porosity media in the presence of DOM and bacteria as mobile colloids. In the model development, a porous medium is divided into the mobile and immobile regions to consider the presence of ineffective micropores in physically heterogeneous riverbanks. We assume that the contaminant transport in the mobile region is controlled by the advection and dispersion while the contaminant transport in the immobile region occurs due to the molecular diffusion. The contaminant transfer between the mobile and immobile regions takes place by diffusive mass transfer. The mobile region is conceptualized as a four-phase system: two mobile colloidal phases, an aqueous phase, and a solid matrix. The complete set of governing equations is solved numerically with a fully implicit finite difference method. The model results show that in riverbank filtration, the contaminant can migrate further than expected due to the presence of DOM and bacteria. In addition, the contaminant mobility increases further in the presence of the immobile region in aquifers. A sensitivity analysis shows that in dual-porosity media, earlier breakthrough of the contaminant takes place as the volumetric fraction of the mobile region decreases. It is also demonstrated that as the contaminant mass transfer rate coefficient between the mobile and immobile regions increases, the contaminant concentration gradient between the two regions reverses at earlier pore volumes. The contaminant mass transfer coefficient between the mobile and immobile regions mainly controls the tailing effect of the contaminant breakthrough. The contaminant breakthrough curves are sensitive to changes in contaminant adsorption and desorption rate coefficients on DOM and bacteria. In situations where the contaminant is released in the presence of DOM and bacteria in dual-porosity media, the early breakthrough and tailing occur due to the colloidal facilitation and presence of immobile regions. (C) 2002 Elsevier Science B.V. All rights reserved.																	0169-7722					DEC	2002	59	3-4					267	289	PII S0169-7722(02)00043-8	10.1016/S0169-7722(02)00043-8						WOS:000179313000006	12487417	
J	[Anonymous]				[Anonymous]			Fluorescence fingerprints dissolved organic matter in rivers	TRAC-TRENDS IN ANALYTICAL CHEMISTRY																													0165-9936	1879-3142				DEC	2002	21	12					V	VI								WOS:000180061500004		
J	Dilling, J; Kaiser, K				Dilling, J; Kaiser, K			Estimation of the hydrophobic fraction of dissolved organic matter in water samples using UV photometry	WATER RESEARCH												. In this study, we tested a simple and rapid method for the estimation of carbon in the hydrophobic fraction of dissolved organic matter (DOM) of different origin (spruce, pine, and beech litter) in soil water. The method is based on the fact that the hydrophobic fraction of DOM contains almost entirely the aromatic moieties of DOM. Thus, it showed a clearly distinct light absorption at 260 nm compared to the hydrophilic fraction. This light absorption was directly proportional to the concentration of the hydrophobic fraction. Moreover, it was independent of the concentration of the hydrophilic fraction. We compared the concentrations of hydrophobic DOM estimated by the UV method with those of the conventional fractionation using chromatographic columns of XAD-8 macroporous resin and found an excellent agreement between the two methods for both solutions from laboratory sorption experiments and field samples of forest floor leachates and subsoil porewaters. In addition, the absorption at 260 nm of hydrophobic DOM proved to be independent of pH values ranging from 2.0 to 6.5. Compared to the conventional chromatographic fractionation, the method using the UV absorption at 260 nm is less time consuming, needs a much smaller sample volume, and showed a better reproducibility. However, its use is restricted to water samples of low nitrate (< 25 mg L-1) and Fe (< 5 mg L-1) concentrations and, probably, with the hydrophobic fraction dominated by aromatic compounds deriving from degradation of lignin. (C) 2002 Elsevier Science Ltd. All rights reserved.				Kaiser, Klaus/J-1726-2014													0043-1354					DEC	2002	36	20					5037	5044	PII S0043-1354(02)00365-2	10.1016/S0043-1354(02)00365-2						WOS:000179091500012	12448552	
J	Lu, YF; Allen, HE				Lu, YF; Allen, HE			Characterization of copper complexation with natural dissolved organic matter (DOM) - link to acidic moieties of DOM and competition by Ca and Mg	WATER RESEARCH												We investigated Cu complexation by three dissolved organic matters (DOMs) collected by reverse osmosis (RO). Alkalimetric titration, pH-stat Cu and Ca titrations, pH edges of Cu-DOM complexation, and Ca/Mg-Cu exchange experiments were investigated at I = 10(-2) M for DOM samples of 10 mg C/L. The proton and Cu binding characteristics indicated similarity for all three DOMs. All Cu titrations employed ion selective electrode measurement and indicated the presence of relatively small amounts of strong Cu-binding sites. Four distinct classes of Cu binding sites are required for FITEQL 4.0 to provide good fits to the entire curves. The estimated total Cu binding site density is 4.55 mmol/g C, much less than the total acidity but very close to the phenolic site content. Cu-DOM complexation increases approximately 10-fold per pH unit, even at relatively high pH (> 8). We suggest that sites characterized as phenolic based on alkalimetric titration, not carboxyl sites, account for the majority of Cu complexation under natural water conditions, and Cu-DOM complexation is principally through the replacement of H+ by Cu2+ at the phenolic binding sites. The Cu-H exchange ratio is 1:1 for the first three sites and about 1:2 for the 4th site. This 4-site model describes well the pH dependency of Cu-DOM complexation and provides good estimates of free Cu concentrations throughout wide total copper (Cu-T) and pH ranges. Comparison between Ca-DOM and Cu-DOM complexation demonstrated that (i) Ca-DOM complexation increases much less than an order of magnitude per pH unit and decreases at higher Ca concentration, different from that of Cu-DOM complexation; and (ii) Cu-DOM complexation is highly non-linear, in contrast to the much reduced extent of non-linearity of Ca-DOM complexation. Ca/Mg-Cu exchange experiments showed small competition effect, less than expected by a simple competition model, and the competition tended to reduce with increasing Ca or Mg concentrations. The extent of the competition by Mg and Ca are essentially comparable. Put all together, it suggests that Ca and Mg are preferably bound by carboxyl sites, especially at relatively high concentrations, resulting in a weakened apparent competition effect. (C) 2002 Elsevier Science Ltd. All rights reserved.																	0043-1354					DEC	2002	36	20					5083	5101	PII S0043-1354(02)00240-3	10.1016/S0043-1354(02)00240-3						WOS:000179091500017	12448557	
J	Weng, LP; Temminghoff, EJM; Lofts, S; Tipping, E; Van Riemsdijk, WH				Weng, LP; Temminghoff, EJM; Lofts, S; Tipping, E; Van Riemsdijk, WH			Complexation with dissolved organic matter and solubility control of heavy metals in a sandy soil	ENVIRONMENTAL SCIENCE & TECHNOLOGY												The complexation of heavy metals with dissolved organic matter (DOM) in the environment influences the solubility and mobility of these metals. In this paper, we measured the complexation of Cu, Cd, Zn, Ni, and Pb with DOM in the soil solution at pH 3.7-6.1 using a Donnan membrane technique. The results show that the DOM-complexed species is generally more significant for Cu and Pb than for Cd, Zn, and Ni. The ability of two advanced models for ion binding to humic substances, e.g., model VI and NICA-Donnan, in the simulation of metal binding to natural DOM was assessed by comparing the model predictions with the measurements. Using the default parameters of fulvic and humic acid, the predicted concentrations of free metal ions from the solution speciation calculation using the two models are mostly within I order of magnitude difference from the measured concentrations, except for Ni and Pb in a few samples. Furthermore, the solid-solution partitioning of the metals was simulated using a multisurface model, in which metal binding to soil organic matter, dissolved organic matter, clay, and iron hydroxides was accounted for using adsorption and cation exchange models (NICA-Donnan, Donnan, DDL, CD-MUSIC). The model estimation of the dissolved concentration of the metals is mostly within I order of magnitude difference from those measured except for Ni in some samples and Pb. The solubility of the metals depends mainly on the metal loading over soil sorbents, pH, and the concentration of inorganic ligands and DOM in the soil solution.				Tipping, Edward/I-6309-2012; Lofts, Stephen /K-1849-2012	Tipping, Edward/0000-0001-6618-6512; Lofts, Stephen /0000-0002-3627-851X												0013-936X					NOV 15	2002	36	22					4804	4810		10.1021/es0200084						WOS:000179348500015	12487303	
J	Gigliotti, G; Kaiser, K; Guggenberger, G; Haumaier, L				Gigliotti, G; Kaiser, K; Guggenberger, G; Haumaier, L			Differences in the chemical composition of dissolved organic matter from waste material of different sources	BIOLOGY AND FERTILITY OF SOILS												The chemical composition of waste-material-derived dissolved organic matter (DOM) was characterized by chemolytic analyses and H-1, C-13 and P-31 nuclear magnetic resonance (NMR) spectroscopy. Dissolved organic matter was extracted by water from an aerobic fermented urban waste compost, a sewage sludge and a pig slurry and then fractionated using the XAD-8 method. The amount of water-extractable dissolved organic carbon (DOC) ranged from 3% in the sewage sludge to 22% in the pig slurry. Dissolved organic matter isolated from pig slurry was equally distributed between hydrophilic and hydrophobic DOC, whereas in the sewage-sludge-derived material the hydrophobic fraction was predominant. Dissolved organic C from the urban waste compost was mainly within the hydrophilic fraction. Wet-chemical analysis and H-1- and C-13-NMR spectra showed that both DOM fractions from the urban waste compost were low in neutral, acidic and amino sugars as well as in lignin-derived compounds. In turn, the materials were rich in low-molecular-weight aliphatic compounds. The chemical structure of both fractions is probably the result of the intensive transformation of urban waste compost during its fermentation. The hydrophilic fractions of DOM from sewage sludge and pig slurry contained considerable amounts of carbohydrates but were also rich in low-molecular-weight aliphatics. The respective hydrophobic fractions had the largest contents of CuO-extractable phenols which may in part derive from sources other than lignin. By contrast with the other materials, the hydrophobic fraction from the pig slurry seemed to contain polymeric rather than low-molecular-weight material. The P-31-NMR spectrum of the hydrophilic DOM fraction from urban waste compost did not show signals of inorganic or organic P compounds while the spectrum of the hydrophobic fraction revealed traces of monoester P, diester P, and orthophosphate. P-31-NMR spectroscopy suggested that both the hydrophobic and hydrophilic fractions from pig slurry did not contain organic P. The hydrophilic DOM fraction from sewage sludge contained orthophosphate, organic monoester P and a little pyrophosphate. The hydrophobic fraction contained mainly organic diester P and smaller amounts of teichoic acids and organic monoester P. Considering that water-soluble fractions of urban waste compost contained no easily plant-available P and a low content of labile organics, we conclude that this material contains less labile nutrients and is more refractory than the soluble constituents of pig slurry and sewage sludge.				Kaiser, Klaus/J-1726-2014													0178-2762					NOV	2002	36	5					321	329		10.1007/S00374-002-0551-8						WOS:000179991000001		
J	Ertunc, T; Hartlieb, N; Berns, A; Kliens, W; Schaeffer, A				Ertunc, T; Hartlieb, N; Berns, A; Kliens, W; Schaeffer, A			Investigations on the binding mechanism of the herbicide simazine to dissolved organic matter in leachates of compost	CHEMOSPHERE												C-14-labelled simazine was composted together with biowaste on a pilot (m(3)) scale. The herbicide was quickly bound to the compost matrix. By aqueous extraction of 29 and 200 days old compost (equivalent to thermophilic and mesophilic phase of composting) only 4.2% and 3.1% respectively of the radioactivity in the compost samples could be extracted with water. Analysis of the extracts using high-performance size exclusion chromatography (HPSEC) revealed that the dissolved organic matter (DOM) had molecular weights ranging between 2 and 28 kDa. The amount of DOM-associated radioactivity increased from 53% (day 29) to 65% (day 200) of total extractable radioactivity. The type of binding of the C-14-labelled residues and the DOM was elucidated by silylation of humic matter and subsequent HPSEC. The data demonstrated that besides polar metabolites also intact simazine was bound to the DOM. A distinct shift from rather weak interactions to strong covalent linkages of simazine and its metabolites with increasing age of the compost was observed. The results showed that only low amounts of free simazine and its degradates can be extracted with water. We concluded that the shift towards stable covalent linkages is equivalent to a detoxification of the contaminant in aged compost. Consequently, the use of the analysed compost in its mature stage should not pose an environmental risk to the groundwater or the subsoil. (C) 2002 Elsevier Science Ltd. All rights reserved.				Berns, Anne/F-7241-2010													0045-6535					NOV	2002	49	6					597	604	PII S0045-6535(02)00333-8	10.1016/S0045-6535(02)00333-8						WOS:000178631800010	12430647	
J	Impellitteri, CA; Lu, YF; Saxe, JK; Allen, HE; Peijnenburg, WJGM				Impellitteri, CA; Lu, YF; Saxe, JK; Allen, HE; Peijnenburg, WJGM			Correlation of the partitioning of dissolved organic matter fractions with the desorption of Cd, Cu, Ni, Pb and Zn from 18 Dutch soils	ENVIRONMENT INTERNATIONAL												Eighteen Dutch soils were extracted in aqueous solutions at varying pH. Extracts were analyzed for Cd, Cu, Ni, Pb and Zn by ICP-AES. Extract dissolved organic carbon (DOC) was also concentrated onto a macroreticular resin and fractionation into three operationally defined fractions: hydrophilic acids (Hyd), humic acids (HA) and fulvic acids (FA). In this manner, change in absolute solution concentration and relative percentage for each fraction could be calculated as a function of extraction equilibrium pH. The soils were also analyzed for solid phase total organic carbon and total recoverable metals (EPA Method 305 1). Partitioning coefficients were calculated for the metals and organic carbon (OC) based on solid phase concentrations (less the metal or OC removed by the extraction) divided by solution concentrations, Cu and Pb concentrations in solution as a function of extract equilibrium pH are greatest at low and high pH resulting in parabolic desorption/dissolution curves. While processes such as proton competition and proton promoted dissolution can account for high solution metal concentrations at low pH, these processes cannot account for higher Cu and Pb concentrations at high pH. DOC increases with increasing pH, concurrently with the increase in Cu and Pb solution concentrations. While the absolute concentrations of FA and HA generally increase with increasing pH, the relative proportional increase is greatest for HA. Variation in HA concentrations spans three orders of magnitude while FA concentrations vary an order of magnitude over the pH range examined, Correlation analysis strongly suggests that HA plays a major role in increasing the concentration of solution Cu and Pb with increasing pH in the 18 soils studied. The percentage of the OC that was due to FA was nearly constant over a wide pH range although the FA concentration increased with increasing pH and its concentration was greater than that of the HA fraction at lower pH values (pH = 3-5). Thus, in more acidic environments, FA may play a larger role than HA in governing organo-metallic interactions. For Cd, Ni, and Zn, the desorption/dissolution pattern shows high metal solution concentrations at low pH with slight increases in solution concentrations at extremely high pH values (pH> 10). The results presented here suggest that the effects of dissolved organic carbon on the mobilization of Cd, Ni, and Zn may only occur in systems governed by very high pH. At high pH, it is difficult to distinguish in this study whether the slightly increased solution-phase concentrations of these cations is due to DOC or hydrolysis reactions. These high pH environments would rarely occur in natural settings. (C) 2002 Elsevier Science Ltd. All rights reserved.				Peijnenburg, Willie/M-4110-2013													0160-4120					NOV	2002	28	5					401	410	PII S0160-4120(02)00065-X	10.1016/S0160-4120(02)00065-X						WOS:000179132200009	12437290	
