PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	PAVILLON, JF; MENASRIA, R; MELAOUAH, N			INST OCEANOG	PAVILLON, JF; MENASRIA, R; MELAOUAH, N			BIOLOGICAL EFFECTS OF SILVER COMPLEXING BY DISSOLVED ORGANIC-MATTER - APPLICATION TO A STUDY ON THE MORTALITY-RATE OF A BENTHIC COPEPOD TIGRIOPUS-BREVICORNIS IN A CULTURE-MEDIUM OF A PLANKTONIC ALGA TETRASELMIS-CORDIFORMIS	OCEANIS, VOL 18, FASCICULE 2	OCEANIS : SERIE DE DOCUMENTS OCEANOGRAPHIQUES				INTERNATIONAL MEETING OF THE GROUP FOR THE ADVANCEMENT OF MARINE CHEMISTRY AND BIOCHEMISTRY	NOV 13-15, 1991	CHERBOURG, FRANCE	GRP ADV MARINE CHEM & BIOCHEM																											1992	18						247	256								WOS:A1992BW06R00017		
J	KARABASHEV, GS				KARABASHEV, GS			ON THE INFLUENCE OF DISSOLVED ORGANIC-MATTER ON REMOTE-SENSING OF CHLOROPHYLL IN THE STRAITS OF SKAGERRAK AND KATTEGAT	OCEANOLOGICA ACTA												An experimental techniques to estimate the influence of dissolved organic matter (DOM) on remote sensing of chlorophyll in water has been developed, based on the relationship between fluorescence and absorption of light by a substance. The profiles of fluorescence, chlorophyll content in sea water and estimates of light attenuation in water samples were used in the paper. These data have permitted to calculate the regressions linking fluorescence and light absorption at 450 nm by chlorophyll (ABC450) and by DOM (ABD450). The remote sensing needs no correction for DOM if M450 = 100* (ABC450/ABD450) much greater than 100. This technique has been applied to data collected during the international Skagex field experiment in the straits of Skagerrak and Kattegat in spring and autumn of 1990. It was found that M450 <= 100 everywhere in the subsurface layer. Unfavorable conditions for remote sensing of chlorophyll prevailed in the straits because of the uptake of DOM-rich water from the continent and the accumulation of phytoplankton in deeper layers. These and another processes can increase relative content of colored DOM even in waters of open ocean.																	0399-1784						1992	15	3					255	259								WOS:A1992JP59100003		
J	HIEBAUM, G; KARAMFILOV, V		Vollenweider, RA; Marchetti, R; Viviani, R		HIEBAUM, G; KARAMFILOV, V			HETEROTROPHIC UPTAKE OF DISSOLVED ORGANIC-MATTER DURING A BLOOM OF THE PERIDINEA-EXUVIAELLA-CORDATA	SCIENCE OF THE TOTAL ENVIRONMENT, SUPPLEMENT 1992: MARINE COASTAL EUTROPHICATION					2ND INTERNATIONAL CONF ON MARINE COASTAL EUTROPHICATION - THE RESPONSE OF MARINE TRANSITIONAL SYSTEMS TO HUMAN IMPACT : PROBLEMS AND PERSPECTIVES FOR RESTORATION	MAR 21-24, 1990	BOLOGNA, ITALY	GOVT EMILIA ROMAGNA REG, DEPT ENVIRONM BOLOGNA, CNR, UNESCO, UNEP, FAO, ITALIAN MINIST ENVIRONM, ITALIAN MINIST NAVY, ITALIAN MINIST HLTH																											1992							973	978								WOS:A1992BX36M00074		
J	KOUASSI, AM; ZIKA, RG				KOUASSI, AM; ZIKA, RG			LIGHT-INDUCED DESTRUCTION OF THE ABSORBENCY PROPERTY OF DISSOLVED ORGANIC-MATTER IN SEAWATER	TOXICOLOGICAL AND ENVIRONMENTAL CHEMISTRY												The absorption spectra of marine humic substances decrease when they are exposed to a known intensity of monochromatic light at various wavelengths or to a polychromatic source such as sunlight. The results of studies of photochemical bleaching of absorption of marine humic substances are presented and compared to the characteristics of total dissolved organic matter to assess the contribution made by the humic fractions. From the absorbance and apparent quantum efficiency data at specific wavelength and the solar fluxes, a model calculation was used to determine the rates of the change of the photoprocess in the ocean. These parameters were determined for the photochemical degradation of Biscayne Bay (Florida, USA) seawater and humic substances collected in the Gulf of Mexico.																	0277-2248						1992	35	3-4					195	211		10.1080/02772249209357816						WOS:A1992JE96500010		
J	PATSAYEVA, SV; FADEEV, VV; FILIPPOVA, EM; CHUBAROV, VV; YUZHAKOV, VI				PATSAYEVA, SV; FADEEV, VV; FILIPPOVA, EM; CHUBAROV, VV; YUZHAKOV, VI			TEMPERATURE AND LASER ULTRAVIOLET-RADIATION INFLUENCE ON LUMINESCENCE SPECTRA OF DISSOLVED ORGANIC-MATTER	VESTNIK MOSKOVSKOGO UNIVERSITETA SERIYA 3 FIZIKA ASTRONOMIYA																Yuzhakov, Viktor/B-4409-2013; Patsaeva, Svetlana/C-6054-2011	Patsaeva, Svetlana/0000-0002-8407-5020												0579-9392					NOV-DEC	1991	32	6					71	75								WOS:A1991HD47800012		
J	BROWN, AD; SPOSITO, G				BROWN, AD; SPOSITO, G			ACID-BASE CHEMISTRY OF DISSOLVED ORGANIC-MATTER IN AQUEOUS LEAF EXTRACTS - APPLICATION TO ORGANIC-ACIDS IN THROUGHFALL	JOURNAL OF ENVIRONMENTAL QUALITY												Elemental composition data were obtained for bulk precipitation and throughfall samples and for aqueous extracts of the leaves of three woody plant species common in the subalpine Sierra Nevada range, California: chinquapin (Chrysolepis sempervirens Hjelmqvist), western white pine (Pinus monticola Dougl.), and willow (Salix orestera Schneider). The acid-base equilibria of the extracts were characterized by potentiometric titration and proton formation functions were computed. The latter then were modeled assuming four classes of quasiparticle acidic functional groups, yielding negative logarithms of conditional protonation constants in the range 4.8 to 5.0, 6.1 to 6.6, 7.4 to 7.7, and 9.1 to 9.4. The relative concentration of a given acidic functional group class varied markedly among the three woody species, but the conditional protonation constants were very similar. The model parameters, along with dissolved organic C concentration and pH values, were used to estimate net anion deficits in throughfall samples collected from the same sites as the leaf samples. On average, the calculated charge concentration of free organic anions in the western white pine extract matched the throughfall anion deficit, whereas the deficits in the chinquapin and willow throughfall samples were not accounted for by free anion concentrations. Metal complexation and in situ, species-dependent leaf surface processes may account for these latter differences. In general, the anion deficit and, therefore, organic acids were an important component of rainfall and throughfall charge balance.																	0047-2425					OCT-DEC	1991	20	4					839	845								WOS:A1991GN90700020		
J	BAINES, SB; PACE, ML				BAINES, SB; PACE, ML			THE PRODUCTION OF DISSOLVED ORGANIC-MATTER BY PHYTOPLANKTON AND ITS IMPORTANCE TO BACTERIA - PATTERNS ACROSS MARINE AND FRESH-WATER SYSTEMS	LIMNOLOGY AND OCEANOGRAPHY												We analyzed published rates of extracellular release (ER) of organic carbon to determine the primary constraints on this process and its importance to bacteria. From 16 studies we extracted observations of ER, particulate primary production (PP), and phytoplankton biomass. In a regression model based on 225 observations, PP explained 69% of the variance in ER. From this model we estimate the average percent extracellular release (PER) to be 13% of total fixation. The slope of this relationship does not support the hypothesis that the PER declines with increasing productivity. Differences exist between marine and freshwater systems. In lakes, ER increases nonlinearly with productivity, resulting in very low PER in very eutrophic systems. In coastal marine and estuarine systems, ER increases linearly with productivity and the PER does not vary systematically. ER is not primarily related to phytoplankton biomass as predicted by passive diffusion models. Instead, ER appears to be constrained by the total availability of photosynthates. By comparing our model to an existing model of bacterial production and assuming a 50% growth efficiency, we estimate that ER amounts to less than half the C required for bacterial growth in most pelagic systems.																	0024-3590					SEP	1991	36	6					1078	1090								WOS:A1991GW01500002		
J	MORAN, MA; POMEROY, LR; SHEPPARD, ES; ATKINSON, LP; HODSON, RE				MORAN, MA; POMEROY, LR; SHEPPARD, ES; ATKINSON, LP; HODSON, RE			DISTRIBUTION OF TERRESTRIALLY DERIVED DISSOLVED ORGANIC-MATTER ON THE SOUTHEASTERN UNITED-STATES CONTINENTAL-SHELF	LIMNOLOGY AND OCEANOGRAPHY												Dissolved lignin-derived compounds in seawater indicate the presence of organic matter originating from vascular plants and therefore from terrestrial (upland and coastal marsh) ecosystems. We used a hydrophobic resin to concentrate lignin-rich humic substances and to determine concentrations of lignin oxidation products (vanillyl lignin phenols) for waters of the continental shelf of the southeastern U.S. Lignin phenol concentrations ranged from 0.05 to 4.2-mu-g liter-1 and accounted for 0.002-0.13% of the total dissolved organic carbon (DOC) pool in continental shelf waters. Dissolved lignin concentrations were generally highest near the shore and in those areas receiving greatest river and marsh discharge. Concentrations varied on both short-term (weekly) and seasonal time scales, however, indicating that the contribution of terrestrially derived dissolved organic matter to the C budget of the shelf is quite variable. Salinity (> 31 parts per thousand) was significantly correlated (negatively) with lignin phenol concentrations during three of four cruises, suggesting largely conservative mixing of lignin-derived material on the shelf In selected rivers and salt marshes contributing terrestrially derived organic matter to the continental shelf, lignin phenol C accounted for 0.14-1.0% of the DOC. A simple mixing model which assumes no biological or physical sinks of lignin-derived material during transport from terrestrial sources to the shelf predicts that an average of 6-36% of nearshore DOC derives from terrestrial ecosystems, depending on whether the terrestrial end-member (lignin source) is assumed to be a river or a salt marsh, while 5-26% of inner shelf DOC and 3-18% of mid- to outer-shelf DOC is of terrestrial origin.					Moran, Mary Ann/0000-0002-0702-8167												0024-3590					SEP	1991	36	6					1134	1149								WOS:A1991GW01500006		
J	MORAN, MA; WICKS, RJ; HODSON, RE				MORAN, MA; WICKS, RJ; HODSON, RE			EXPORT OF DISSOLVED ORGANIC-MATTER FROM A MANGROVE SWAMP ECOSYSTEM - EVIDENCE FROM NATURAL FLUORESCENCE, DISSOLVED LIGNIN PHENOLS, AND BACTERIAL SECONDARY PRODUCTION	MARINE ECOLOGY PROGRESS SERIES												Export of dissolved organic matter (DOM) from an island mangrove swamp was traced and quantified by analysis of dissolved lignin-derived humic substances and naturally fluorescing compounds. Concentrations of both lignin phenols and fluorescent compounds indicated the tidally-mediated movement of DOM offshore from the swamp to distances at least 1 km seaward. Laboratory studies documented the formation of significant amounts of DOM from degrading mangrove leaves, about 20% of which was highly-fluorescent humic substances. At the 1 km station, vascular plant-derived material was calculated to account for about 10% of the total DOM, based on simple mixing models. A correlation between apparent concentrations of vascular plant-derived DOM and rates of bacterial secondary production suggests that some components of exported DOM are available for bacterioplankton growth in offshore environments.																	0171-8630					SEP	1991	76	2					175	184		10.3354/meps076175						WOS:A1991GH82300009		
J	CLAIR, TA; KRAMER, JR; SYDOR, M; EATON, D				CLAIR, TA; KRAMER, JR; SYDOR, M; EATON, D			CONCENTRATION OF AQUATIC DISSOLVED ORGANIC-MATTER BY REVERSE-OSMOSIS	WATER RESEARCH												Dissolved organic carbon (DOC) was concentrated from natural streams using reverse osmosis equipment. Quality control tests show that from 95.6 to 98.5% of total DOC was rejected by the membrane, though only 70% could actually be recovered, most likely because of losses within the plumbing system. Comparison of the acid-base characteristics of the original water sample with re-diluted concentrate show that modifications occurred. Visual evidence showed that polycondensation reactions which modify acid-base characteristics occurred in the concentrate. Analysis of the material passing through the membrane (permeate) shows that it is < 200 Da in weight with a pK(a) distribution suggesting that a range of molecules with carboxylic and phenolic acid sites are leaking through the membrane.																	0043-1354					SEP	1991	25	9					1033	1037		10.1016/0043-1354(91)90196-W						WOS:A1991GF85400002		
