PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Fang, Z; He, C; Lia, YY; Chung, KH; Xu, CM; Shi, Q				Fang, Zhi; He, Chen; Lia, Yongyong; Chung, Keng H.; Xu, Chunming; Shi, Quan			Fractionation and characterization of dissolved organic matter (DOM) in refinery wastewater by revised phase retention and ion-exchange adsorption solid phase extraction followed by ESI FT-ICR MS	TALANTA												Although the progress of high resolution mass spectrometry in the past decade has enabled the molecular characterization of dissolved organic matter (DOM) in water as a whole, fractionation of DOM is necessary for a comprehensive characterization due to its super-complex nature. Here we proposed a method for the fractionation of DOM in a wastewater based on solubility and acidic-basic properties. Solid phase extraction (SPE) cartridges with reversed phase retention and ion-exchange adsorption capacities, namely MAX and MCX, were used in succession to fractionate a petroleum refinery wastewater into four fractions: hydrophobic acid (HOA), hydrophobic neutral (HON), hydrophobic base (HOB), and hydrophilic substance (HIS) fractions. According to the total organic carbon (TOC) analysis, 72.6% (in term of TOC) of DOM was extracted in hydrophobic fractions, in which HON was the most abundant. Hydrophobic extracts were characterized by negative and positive ion electrospray (ESI) Fourier transform ion cyclotron resonance mass spectrometry (FT-ICR MS), respectively. Compounds with multiple oxygen atoms were predominant in the HOA, which were responded strongly in the negative ESI MS. Nitrogen containing compounds were the major detected species by positive ion ESI in all hydrophobic fractions. The molecular composition of the DOM were discussed based on the FT-ICR MS results. The fractionation provided salt free samples which enables the direct analysis of the fractions by ESI and a deep insight into the molecular composition of DOM in the wastewater. The method is potential for routine evaluation of DOM in industry wastewaters, as well as environmental water samples.																	0039-9140	1873-3573				JAN 1	2017	162						466	473		10.1016/j.talanta.2016.10.064						WOS:000389088700063	27837858	
J	Zhou, YQ; Shi, K; Zhang, YL; Jeppesen, E; Liu, XH; Zhou, QC; Wu, HW; Tang, XM; Zhu, GW				Zhou, Yongqiang; Shi, Kun; Zhang, Yunlin; Jeppesen, Erik; Liu, Xiaohan; Zhou, Qichao; Wu, Huawu; Tang, Xiangming; Zhu, Guangwei			Fluorescence peak integration ratio I-C:I-T as a new potential indicator tracing the compositional changes in chromophoric dissolved organic matter	SCIENCE OF THE TOTAL ENVIRONMENT												The present study demonstrates that the ratio of fluorescence integration of peak C to peakT (I-c:I-T) can be used as an indicator tracing the compositional dynamics of chromophoric dissolved organic matter (CDOM). CDOM absorption and fluorescence spectroscopy and stable isotope delta C-13 were determined on a seasonal basis in seventeen Chinese inland waters as well as in a series of mixing and photodegradation experiments in the lab. A strong positive linear correlation was recorded between Ic:IT and the ratio of terrestrial humic-like Cl to tryptophan-like C4 (C1 :C4) derived by parallel factor analysis. The r(2) for the linear fitting between I-c:I-T and C1:C4 (r(2) = 0.80) was notably higher than between C1:C4 and other indices tested, including the ratio of CDOM absorption at 250 nm to 365 nm, i.e. alpha(250):alpha(365) (r(2) = 0.09), spectral slope (S275-295) (r(2) = 0.26), spectral slope ratio (S-R) (r(2) = 0.31), the humification index (HIX) (r(2) = 0.47), the recent autochthonous biological contribution index (BIX) (r(2) = 0.27), and a fluorescence index (FI370) (r(2) = 0.07). I-c:I-T exhibited larger variability than the remaining six indices and a closer correlation with stable isotope delta C-13 than that observed for alpha(250):alpha(365), S275-295, S-R, FI370, and BIX during field campaigns. Confirming our field observations, significant correlations were recorded between I-C:I-T and the remaining six indices, and I-c:I-T also demonstrated notably larger variability than the six other indices during our wastewater addition experiment. Compared with HIX, eutrophic water addition and photobleaching substantially decreased I-c:I-T but had no pronounced effect on alpha(250):alpha(365), S275-297, S-R, FI370, and BIX, further suggesting that Ic:IT is the most efficient indicator of the CDOM compositional dynamics. (C) 2016 Elsevier B.V. All rights reserved.																	0048-9697	1879-1026				JAN 1	2017	574						1588	1598		10.1016/j.scitotenv.2016.08.196						WOS:000389090100149	27613668	
J	Chen, Z; Wang, YP; Jiang, XL; Fu, D; Xia, D; Wang, HT; Dong, GW; Li, QBA				Chen, Zheng; Wang, Yuanpeng; Jiang, Xiuli; Fu, Dun; Xia, Dong; Wang, Haitao; Dong, Guowen; Li, Qingbiao			Dual roles of AQDS as electron shuttles for microbes and dissolved organic matter involved in arsenic and iron mobilization in the arsenic-rich sediment	SCIENCE OF THE TOTAL ENVIRONMENT												Microbially-mediated arsenic (As) metabolism and iron (Fe) bioreduction from sediments play crucial roles in global As/Fe cycle, and their mobilization is associated with the various effects within the alliance of "mediator-bacteria-DOM (Dissolved Organic Matter)". The gradient levels (0.05, 0.10 and 1.00 mM) of sodium anthraquinone-2,6-disulphonate (AQDS) as a mediator were investigated for their impact on reductive dissolution of As(V) and Fe(III) from arsenic-rich sediment. For the overall performance of AQDS-mediated reductive dissolution on As(V) and Fe(III), a more positive effect resulting from 0.05 mM AQDS was observed compared to 0.10 mM, whereas an inhibitory effect was observed with 1.00 mM. Compared to the biotic supplementation with acetate as electron donors, approximately 13-and 6 -fold increased levels of As(III) were released with 0.05 and 0.10 mM, respectively, compared to 1.00 mM AQDS (107.51 mu g/L), and approximately 4-and 3-fold increased Fe(II) levels (40.72 mg/L) were observed during the same conditions. Multiple-dynamic effects of "bacteria-AQDS-DOM", which result from AQDS, shifted the microbial community and synchronously derived terrestrial DOM, which potentially changes the DOM substrate and complex formation of As(III)-Fe(II)-humic DOM. High-throughput sequencing results indicated an increase in the abundance of metal-reducing bacteria (e.g., Bacillus (>16%), Lactococcus (>13%), Pseudomonas (>4%) and Geobacter (>3%)) when supplemented with 0.05 and 0.10 mM of AQDS. However, a boost increasing the abundance of metal oxidizing bacteria was observed with Alicyclobacillus (>16%), Burkholderia (>7%), and Bradyrhizobium (>5%) upon supplementation with 1.00 mM AQDS. These novel insights have profound environmental implications and significance in terms of engineering, not only for understanding the cycle of As/Fe in sediment biochemical processes but for considering future alternative bioremediation treatments. (C) 2016 Elsevier B.V. All rights reserved.																	0048-9697	1879-1026				JAN 1	2017	574						1684	1694		10.1016/j.scitotenv2016.09.006						WOS:000389090100159	27616712	
J	Lv, JT; Zhang, SZ; Luo, L; Cao, D				Lv, Jitao; Zhang, Shuzhen; Luo, Lei; Cao, Dong			Solid-phase extraction-stepwise elution (SPE-SE) procedure for isolation of dissolved organic matter prior to ESI-FT-ICR-MS analysis	ANALYTICA CHIMICA ACTA												Characterization of dissolved organic matter (DOM) at the molecular level will greatly improve our understanding of its bio-geochemical role in controlling the fate of contaminants in the environment, and Fourier transform ion cyclotron resonance mass spectrometry (FT-ICR-MS) is the most powerful analytical technique for this purpose. Before FT-ICR-MS analysis, isolation, desalination and concentration of DOM are necessary, and solid-phase extraction (SPE) is the most widely applied pretreatment procedure. However, some molecular information is lost using conventional SPE methods. Here, we propose a novel strategy of SPE enrichment using stepwise elution (SPE-SE). Compounds in DOM were divided into three fractions by this SPE-SE procedure according to their polarity and ionization efficiency. The diversity of DOM molecules identified by ESI-FT-ICR-MS using SPE-SE exceeded those using conventional SPE methods by more than 50%. This method is feasible and has the potential to be used as a pretreatment strategy for complex DOM matrixes prior to ESI-FT-ICR-MS analysis, especially for those rich in nitrogenous molecules, carbohydrates, lipids and/or aromatic compounds. (C) 2016 Elsevier B.V. All rights reserved.																	0003-2670	1873-4324				DEC 15	2016	948						55	61		10.1016/j.aca.2016.10.038						WOS:000388109300007	27871610	
J	Li, P; Lee, SH; Lee, SH; Lee, JB; Lee, YK; Shin, HS; Hur, J				Li, Penghui; Lee, Sang Hee; Lee, Soo Hyung; Lee, Jun-Bae; Lee, Yun Kyung; Shin, Hyun-Sang; Hur, Jin			Seasonal and storm-driven changes in chemical composition of dissolved organic matter: a case study of a reservoir and its forested tributaries	ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH					1st International Caparica Conference on Pollutant Toxic Ions and Molecules (PTIM)	2015	Caparica, PORTUGAL					Many drinking water supplies are located in forested watersheds, which operate as an important source of dissolved organic matter (DOM). In this study, monthly sampling campaigns were conducted from a reservoir (Daecheong Reservoir, South Korea) and its forested tributaries for five consecutive months (June to October) to examine the variations of DOM composition. Excitation-emission matrix fluorescence spectroscopy combined with parallel factor analysis (EEM-PARAFAC) was applied to track the variations of different fluorescent components within bulk DOM. Selected samples were further separated into hydrophobic (Ho) and hydrophilic (Hi) fractions. Water quality and DOM composition varied greatly with the sampling locations including the upstream and the downstream tributary sites, and the reservoir. Non-metric multidimensional scaling (NMDS) provided the information on the DOM sources and the potential processes leading to the observed DOM changes. Four of the five fluorescent components, identified by EEM-PARAFAC, were well correlated with the flow rates of the tributaries, suggesting hydrological control on DOM composition. The greatest effects were found on two terrestrial humic-like components (C1 and C2). The Ho fraction of DOM was more abundant for the post-storm samples versus the non-storm samples, supporting the important roles of hydrology on the changes in chemical composition of DOM. The amounts of the DOM resin fractions, either Ho or Hi, showed strong relationships with C1 and C2, suggesting that DOM fluorescence could be successfully applied to estimate different DOM chemical constituents in forested watersheds.																	0944-1344	1614-7499				DEC	2016	23	24					24834	24845		10.1007/s11356-016-7720-z						WOS:000389301700031		
J	Yang, CM; Wang, YL; Jing, YC; Li, JH				Yang, Changming; Wang, Yulai; Jing, Yachao; Li, Jianhua			The impact of land use on riparian soil dissolved organic matter and on streamwater quality on Chongming Island, China	Regional Environmental Change												Riparian wetland controls the transfer of terrestrial dissolved organic matter (DOM) to surface water bodies. However, the effects of land use on riparian soil DOM quality and its contribution to aquatic environment are largely unknown. In this study, the amount and composition of water-extracted soil organic matter (WSOM) in riparian wetlands were determined to evaluate the effect of land uses on spatial patterns of WSOM and streamwater quality on Chongming Island, China. The fluorescent properties of WSOM and fluvial DOM were analyzed using EEM spectra-combining PARAFAC model and accurate MS and MS/MS identification. Our findings showed no differences in the riparian WSOC contents between land use types (agricultural land, natural wetland, commercial land and industrial land). However, the fluorescent WSOM and its humic-like (Comp.1 and Comp.2) and microbial degradation (Comp.4) components significantly varied under different land uses (P < 0.05). Overall, the fluorescent WSOM quantities and its components (Comp.1, Comp.2 and Comp.4) were present at markedly lower concentrations for agricultural land use relative to the other three land uses. The same distribution pattern was observed for carbonyl compounds and fatty acids in the riparian WSOM molecules (P < 0.05), but the distribution patterns of the lipids were different between the four land uses (P < 0.05). Industrial land could result in the input of more organic matter into the riparian wetland. Our results showed that fluvial Comp.1 and Comp.2 were significantly correlated with WSOM Comp.2 and WSOM Comp.4 (P < 0.05). We also observed that the fluvial trophic status was significantly higher when the fluvial DOM components increased (P < 0.05). These results indicated that land uses can alter the composition of riparian WSOM, reshape fluvial DOM compositions and significantly affect fluvial water quality.																	1436-3798	1436-378X				DEC	2016	16	8			SI		2399	2408		10.1007/s10113-016-0971-x						WOS:000388959100020		
J	Engel, M; Chefetz, B				Engel, Maya; Chefetz, Benny			Removal of triazine-based pollutants from water by carbon nanotubes: Impact of dissolved organic matter (DOM) and solution chemistry	WATER RESEARCH												Adsorption of organic pollutants by carbon nanotubes (CNTs) in the environment or removal of pollutants during water purification require deep understanding of the impacts of the presence of dissolved organic matter (DOM). DOM is an integral part of environmental systems and plays a key role affecting the behavior of organic pollutants. In this study, the effects of solution chemistry (pH and ionic strength) and the presence of DOM on the removal of atrazine and lamotrigine by single-walled CNTs (SWCNTs) was investigated. The solubility of atrazine slightly decreased (-5%) in the presence of DOM, whereas that of lamotrigine was significantly enhanced (by up to-70%). Simultaneous introduction of DOM and pollutant resulted in suppression of removal of both atrazine and lamotrigine, which was attributed to DOM-pollutant competition or blockage of adsorption sites by DOM. However the decrease in removal of lamotrigine was also a result of its complexation with DOM. Pre-introduction of DOM significantly reduced pollutant adsorption by the SWCNTs, whereas introduction of DOM after the pollutant resulted in the release of adsorbed atrazine and lamotrigine from the SWCNTs. These data imply that DOM exhibits higher affinity for the adsorption sites than the triazine-based pollutants. In the absence of DOM atrazine was a more effective competitor than lamotrigine for adsorption sites in SWCNTs. However, competition between pollutants in the presence of DOM revealed lamotrigine as the better competitor. Our findings help unravel the complex DOM organic pollutant CNT system and will aid in CNT-implementation in water-purification technologies. (C) 2016 Elsevier Ltd. All rights reserved.																	0043-1354					DEC 1	2016	106						146	154		10.1016/j.watres.2016.09.051						WOS:000388047500015	27710798	
J	Niu, XZ; Busetti, F; Langsa, M; Croue, JP				Niu, Xi-Zhi; Busetti, Francesco; Langsa, Markus; Croue, Jean-Philippe			Roles of singlet oxygen and dissolved organic matter in self-sensitized photo-oxidation of antibiotic norfloxacin under sunlight irradiation	WATER RESEARCH												Many fluoroquinolone (FLQ) antibiotics undergo rapid photodegradation in sunlit waters and form multifaceted photo-products. The high photodegradation rate is primarily ascribed to their photosensitizing properties. Though widely studied, the photo-reaction pathways are not completely revealed; photo-products mediated by different reactive oxygen species are not identified. In our study, photo degradation of fluoroquinolone norfloxacin was investigated. A rapid degradation in buffered water was observed with a first-order rate constant of 2.45/hr and a quantum yield of 0.039. After light screening correction, selected DOMs (5 mg CM slightly enhanced the photodegradation rate with the exception of Suwannee river hydrophobic organic matter (SR-HPO). Three major photo-products were identified using high resolution mass spectrometry (HRMS). With O-1(2) dark formation and competitor experiments, norfloxacin self-sensitized O-1(2) was found to oxidize norfloxacin by inducing its piperazine chain cleavage. DOMs exhibited a dual role by inhibiting the O-1(2)-mediated reaction while enhancing the heterolytic defluorination pathway. DOMs were proposed to enhance heterolytic defluorination by donating electron to triplet state FLQ this proposal was supported with specific UV absorbance (SUVA) as an indicator for the abundance of pi bonds. Fluoride formation indicated a 79% elimination ratio of fluorine, an important functional group for antimicrobial activity. This work provides important new insights into the photochemical fate of fluoroquinolone antibiotics in natural water. (C) 2016 Elsevier Ltd. All rights reserved.																	0043-1354					DEC 1	2016	106						214	222		10.1016/j.watres.2016.10.002						WOS:000388047500022	27723479	
J	Li, Y; Harir, M; Lucio, M; Gonsior, M; Koch, BP; Schmitt-Kopplin, P; Hertkorn, N				Li, Yan; Harir, Mourad; Lucio, Marianna; Gonsior, Michael; Koch, Boris P.; Schmitt-Kopplin, Philippe; Hertkorn, Norbert			Comprehensive structure-selective characterization of dissolved organic matter by reducing molecular complexity and increasing analytical dimensions	WATER RESEARCH												Deciphering the molecular codes of dissolved organic matter (DOM) improves our understanding of its role in the global element cycles and its active involvement in ecosystem services. This study demonstrates comprehensive characterization of DOM by an initial polarity-based stepwise solid phase extraction (SPE) with single methanol elution of the cartridges, but separate collection of equal aliquots of eluate. The reduction of molecular complexity in the individual DOM fractions attenuates intermolecular interactions and substantially increases the disposable resolution of any structure selective characterization. Suwannee River DOM (SR DOM) was used to collect five distinct SPE fractions with overall 91% DOC recovery. Optical spectroscopy (UV and fluorescence spectroscopy), high-field Fourier transform ion cyclotron mass spectrometry (FTICR MS) and nuclear magnetic resonance (NMR) spectroscopy showed analogous hierarchical clustering among the five eluates corroborating the robustness of this approach. Two abundant moderately hydrophobic fractions contained most of the SR DOM compounds, with substantial proportions of aliphatics, carboxylic-rich alicyclic molecules, carbohydrates and aromatics. A minor early eluting hydrophilic fraction was highly aliphatic and presented a large diversity of alicyclic carboxylic acids, whereas the two late eluting, minor hydrophobic fractions appeared as a largely defunctionalized mixture of aliphatic molecules. Comparative mass analysis showed that fractionation of SR DOM was governed by multiple molecular interactions depending on O/C ratio, molecular weight and aromaticity. The traditional optical indices SUVA(254) and fluorescence index (FI) indicated the relative aromaticity in agreement with FTICR mass and NMR spectra; the classical fluorescent peaks A and C were observed in all four latter eluates. This versatile approach can be easily expanded to preparative scale under field conditions, and transferred to different DOM sources and SPE conditions. (C) 2016 Elsevier Ltd. All rights reserved.																	0043-1354					DEC 1	2016	106						477	487		10.1016/j.watres.2016.10.034						WOS:000388047500049	27770724	
J	Li, YP; Zhang, L; Wang, SR; Zhao, HC; Zhang, R				Li, Yanping; Zhang, Li; Wang, Shengrui; Zhao, Haichao; Zhang, Rui			Composition, structural characteristics and indication of water quality of dissolved organic matter in Dongting Lake sediments	ECOLOGICAL ENGINEERING												This study aims to establish the relationship between the composition, structure of sediment dissolved organic matter (DOM) and water quality based on changes of environmental conditions in Dongting Lake. Hence, UV-vis absorbance and fluorescence spectroscopy were combined to characterize the components and structure of DOM in surface sediments of Dongting Lake. The relationship of the structural characteristics of DOM with N, P contents and water quality was also explored. The results showed that the DOC contents of Dongting Lake sediments were between 60.004 and 368.286 mg kg(-1), with the general trend of Eastern > Southern >Western for the Dongting Lake regions. The DOM in the sediments mainly comprised humic-like substances, which were greater in the Eastern than in the Southern and Western Dongting Lake regions by 4.1% and 6.43%, respectively. The humification degree of DOM in the sediments was high, and the substitution groups in the aromatic rings mainly contained carbonyl, carboxyl, hydroxyl, and esters. The source of DOM in the Dongting Lake sediments was significantly influenced by terrestrial input and biological metabolism. Furthermore, the composition and structural characteristics of DOM in the Dongting Lake sediments were found to be closely related to the contents of N and P in the sediments, as well as the water quality. Especially, the ratio of humic-like substances to protein-like substances (P ((III+V,n))/P-(I+II,P-n)) can be indirectly taken as an indicator of water quality. Thus, the changes of composition and structure of sediment DOM can establish a relationship with the water quality, and will have an indicative effect on lake trophic status. (C) 2016 Elsevier B.V. All rights reserved.																	0925-8574	1872-6992				DEC	2016	97						370	380		10.1016/j.ecoleng.2016.10.035						WOS:000388580200039		
