study_id,doc,absorption,latitude,longitude,temperature,salinity,date,wavelength
retamal2007,133.33333333333334,0.1299372739129558,69.505,-133.23,NA,24.46,2002-10-02,443.0
retamal2007,205.83333333333334,0.11338627746490611,69.51,-133.23,NA,25.44,2002-10-03,443.0
osburn2009,133.0,0.08576715754154594,69.55,-133.42,-0.54,25.4,2002-10-01,443.0
osburn2009,166.0,0.19670465500810935,70.85,-133.65,-0.61,20.3,2002-10-01,443.0
osburn2009,120.0,0.07016657196031047,71.26,-128.46,-1.34,25.2,2002-10-01,443.0
osburn2009,126.0,0.12043512549984701,70.82,-127.67,0.12,22.8,2002-10-01,443.0
osburn2009,144.0,0.07189997035822553,70.31,-133.34,NA,21.1,2003-10-01,443.0
osburn2009,453.0,1.7047612611942053,69.86,-132.64,1.2,1.0,2004-04-01,443.0
osburn2009,267.0,0.8120610862679529,69.36,-133.74,14.39,1.6,2004-08-01,443.0
osburn2009,250.0,0.7565923375346714,69.43,-133.52,14.01,4.5,2004-08-01,443.0
osburn2009,231.0,0.6993901904034746,69.46,-133.15,12.21,8.2,2004-08-01,443.0
osburn2009,160.0,0.32150933965799317,69.72,-133.42,21.81,21.8,2004-08-01,443.0
osburn2009,229.0,0.6387212464764477,70.02,-138.6,8.06,15.8,2004-04-01,443.0
osburn2009,142.0,0.11003473511235669,70.05,-133.42,9.23,25.2,2004-08-01,443.0
osburn2009,136.0,0.08923395433737609,69.88,-133.42,7.35,27.0,2004-08-01,443.0
osburn2009,109.0,0.026831612012434156,70.41,-130.45,-1.2,28.9,2004-04-01,443.0
osburn2016,231.0,0.6679945599999999,69.46,-133.15,NA,8.2,2003-06-01,443.0
osburn2016,250.0,0.7100562399999999,69.43,-133.52,NA,4.5,2011-06-01,443.0
osburn2016,160.0,0.31748055999999986,69.72,-133.42,NA,21.8,2003-06-01,443.0
osburn2016,136.0,0.10717215999999978,69.88,-133.42,NA,27.0,2011-06-01,443.0
osburn2016,142.0,0.13755003999999982,70.05,-133.42,NA,25.2,2003-06-01,443.0
osburn2016,144.0,0.09081483999999974,70.31,-133.34,NA,21.0,2011-06-01,443.0
osburn2016,229.0,0.7123929999999998,70.02,-138.6,NA,16.6,2003-06-01,443.0
osburn2016,453.0,1.9906007200000002,69.86,-132.64,NA,1.0,2003-06-01,443.0
osburn2016,109.0,0.06043695999999975,70.41,-130.45,NA,28.9,2011-06-01,443.0
russian_delta,533.0,2.2873692400000003,71.77722,130.088,7.9,5.1,2013-09-01,443.0
russian_delta,555.0,2.4509424400000004,71.77722,130.088,8.7,4.0,2013-09-01,443.0
russian_delta,732.0,3.2734819600000007,71.74147,129.83706,10.0,1.0,2013-09-01,443.0
russian_delta,680.0,3.42770812,71.74147,129.83706,10.3,2.0,2013-09-01,443.0
russian_delta,413.0,1.7405674000000004,71.902,130.69,8.0,6.6,2013-09-02,443.0
russian_delta,365.0,1.2101228800000001,71.902,130.69,6.3,10.5,2013-09-02,443.0
russian_delta,372.0,1.16338768,71.902,130.69,3.3,18.2,2013-09-02,443.0
