sample_id,latitude,longitude,date,Season,depth,salinity,temperature,secchi,doc
KY2-01B,63.3875,22.2233333333333,2010-08-17,Summer,2,0.3,19.4,"NA",1261
KY2-01A,63.3875,22.2233333333333,2010-08-17,Summer,1,0.3,20.1,0.5,1332
KY2-000,63.1366666666666,22.3558333333333,2010-08-17,Summer,1,0,21.8,"NA",1452
KY1-04B,63.3552777777777,22.005,2010-05-03,Spring,10,2.9,1.2,"NA",366
KY1-04A,63.3552777777777,22.005,2010-05-03,Spring,1,2.9,1.2,2,339
KY1-03B,63.3725,22.0066666666666,2010-05-03,Spring,5,3.3,2.3,"NA",385
KY1-03A,63.3725,22.0066666666666,2010-05-03,Spring,1,2.5,2.8,1.5,470
KY1-02B,63.2791666666666,22.0811111111111,2010-05-03,Spring,2,1.5,"NA","NA",697
KY1-02A,63.2791666666666,22.0811111111111,2010-05-03,Spring,1,0.1,6.1,1,847
KY1-01B,63.3875,22.2233333333333,2010-05-03,Spring,2,0.1,5.7,"NA",792
KY1-01A,63.3875,22.2233333333333,2010-05-03,Spring,1,0.1,5.7,1,802
KY1-000,63.1366666666666,22.3558333333333,2010-05-03,Spring,1,0,"NA","NA",949
KI6-04B,65.4966666666666,25.3716666666666,2011-10-19,Autumn,10,"NA","NA","NA","NA"
KI6-03B,65.2222222222222,25.3738888888888,2011-10-19,Autumn,10,"NA","NA","NA","NA"
KI6-02B,65.3311111111111,25.3422222222222,2011-10-19,Autumn,5,"NA","NA","NA","NA"
KI3-XXB,65.3052777777777,25.39,2010-10-05,Autumn,2,"NA","NA","NA","NA"
KI3-XXA,65.3052777777777,25.39,2010-10-05,Autumn,1,"NA","NA","NA","NA"
KI2-XXB,65.3052777777777,25.39,2010-08-03,Summer,2,"NA","NA","NA","NA"
KI2-XXA,65.3052777777777,25.39,2010-08-03,Summer,1,"NA","NA","NA","NA"
KI1-XXB,65.3052777777777,25.39,2010-05-17,Spring,2,"NA","NA","NA","NA"
KI1-XXA,65.3052777777777,25.39,2010-05-17,Spring,1,"NA","NA","NA","NA"
KI1-04B,65.4966666666666,25.3716666666666,2010-05-17,Spring,10,2.8,0.6,"NA",490
KI1-04A,65.4966666666666,25.3716666666666,2010-05-17,Spring,1,1.9,6.1,2.8,547
KI1-03B,65.2222222222222,25.3738888888888,2010-05-17,Spring,10,2.8,0.6,"NA",308
KI1-03A,65.2222222222222,25.3738888888888,2010-05-17,Spring,1,2.1,4.5,3.7,441
KI1-02B,65.3311111111111,25.3422222222222,2010-05-17,Spring,5,2.8,1.3,"NA",306
KI1-02A,65.3311111111111,25.3422222222222,2010-05-17,Spring,1,2.3,4,2.9,359
KI1-01B,65.2788888888888,25.3849999999999,2010-05-17,Spring,2,2.6,2.6,"NA",571
KI1-01A,65.2788888888888,25.3849999999999,2010-05-17,Spring,1,0.7,11,0.8,907
KI1-000,65.4397222222222,25.7425,2010-05-17,Spring,1,0,"NA","NA",1050
KA1-05B,60.0719444444444,23.3463888888888,2010-04-19,Spring,10,5.6,1.5,"NA",306
KA1-05A,60.0719444444444,23.3463888888888,2010-04-19,Spring,1,5.6,1.9,4,342
KA1-04B,59.9427777777777,23.4494444444444,2010-04-19,Spring,10,5.3,1.3,"NA",309
KA1-04A,59.9427777777777,23.4494444444444,2010-04-19,Spring,1,5.3,1.8,3.5,429
KA1-03B,59.9272222222222,23.4461111111111,2010-04-19,Spring,10,4.6,1.9,"NA",282
KA1-03A,59.9272222222222,23.4461111111111,2010-04-19,Spring,1,2.5,4,1,420
KA1-02B,60.1522222222222,23.4938888888888,2010-04-19,Spring,2,2.1,3.5,"NA",442
KA1-02A,60.1522222222222,23.4938888888888,2010-04-19,Spring,1,1.7,3.8,1,423
KA1-01B,60.0886111111111,23.4975,2010-04-19,Spring,10,1,3.7,1,547
KA1-01A,60.0886111111111,23.4975,2010-04-19,Spring,1,1,3.8,1,565
KA1-000,60.2855555555555,23.7088888888888,2010-04-19,Spring,1,0,"NA","NA",652
