cruise,station,latitude,longitude,bottomdepth,niskin,pressure,sample_id,doc,salinity,temperature,date
2,6.01,68.5053333333333,-26.0091666666667,369,8,27,178,78.1831655094653,31.17999778012,1.3798,2012-09-11
2,5.01,70.6198333333333,-20.4548333333333,259,8,10,170,NA,29.613113333744,0.3221,2012-09-10
2,5.01,70.6198333333333,-20.4548333333333,259,4,50,173,NA,32.954171215056,-1.6044,2012-09-10
2,4.01,71.984,-18.0546666666667,929,2,750,119,55.1603989797108,34.926821353048,0.4692,2012-09-09
2,3.03,73.3905,-15.0073333333333,2133,5,801,93,54.1478154901176,34.912801807928,-0.1968,2012-09-08
2,1.14,66.921,-25.7328333333333,820,12,6,52,71.0971654254097,31.74778935748,4.3582,2012-09-05
2,1.1,67.9846666666667,-28.7458333333333,224,6,39,17,81.1486114811691,31.825597832896,0.3085,2012-09-04
2,1.1,67.9846666666667,-28.7458333333333,224,5,61,18,77.1880274818755,32.454374431528,-1.323,2012-09-04
2,1.1,67.9846666666667,-28.7458333333333,224,3,142,20,62.336250392612,33.968986002528,-1.3712,2012-09-04
2,NA,65.6715,-25.0363333333333,NA,2,75,NA,NA,35.088046121928,8.7828,2012-09-03
2,NA,65.6715,-25.0363333333333,NA,4,51,NA,NA,35.05690270384,9.2076,2012-09-03
2,NA,65.6715,-25.0363333333333,NA,6,33,NA,NA,35.015945604168,10.7298,2012-09-03
2,NA,65.6715,-25.0363333333333,NA,8,26,NA,NA,34.956562816624,11.3186,2012-09-03
2,NA,65.6715,-25.0363333333333,NA,10,10,NA,NA,34.853419020384,11.3883,2012-09-03
2,NA,65.6715,-25.0363333333333,NA,12,6,NA,NA,34.858726419608,11.3861,2012-09-03
2,1.01,65.6583333333333,-25.034,81,1,32,NA,NA,34.964373706048,11.3886,2012-09-03
2,NA,65.6583333333333,-25.034,NA,2,32,NA,NA,34.964373706048,11.3886,2012-09-03
2,NA,65.6583333333333,-25.034,NA,3,32,NA,NA,34.964373706048,11.3886,2012-09-03
2,NA,65.6583333333333,-25.034,NA,4,32,NA,NA,34.964373706048,11.3886,2012-09-03
2,NA,65.6583333333333,-25.034,NA,5,32,NA,NA,34.964373706048,11.3886,2012-09-03
2,NA,65.6583333333333,-25.034,NA,6,32,NA,NA,34.964373706048,11.3886,2012-09-03
2,1.01,65.6583333333333,-25.034,81,7,6,NA,NA,34.847310504296,11.4039,2012-09-03
2,NA,65.6583333333333,-25.034,NA,8,5,NA,NA,34.847310504296,11.4007,2012-09-03
2,NA,65.6583333333333,-25.034,NA,9,5,NA,NA,34.847310504296,11.4007,2012-09-03
2,NA,65.6583333333333,-25.034,NA,10,6,NA,NA,34.847310504296,11.4039,2012-09-03
2,NA,65.6583333333333,-25.034,NA,11,5,NA,NA,34.847310504296,11.4007,2012-09-03
2,NA,65.6583333333333,-25.034,NA,12,5,NA,NA,34.847310504296,11.4007,2012-09-03
2,NA,65.9143333333333,-25.8333333333333,NA,2,183,NA,NA,35.191790755816,6.8309,2012-09-03
2,NA,65.9143333333333,-25.8333333333333,NA,4,100,NA,NA,35.204808904856,7.1091,2012-09-03
2,NA,65.9143333333333,-25.8333333333333,NA,6,51,NA,NA,35.205509882112,7.4779,2012-09-03
2,NA,65.9143333333333,-25.8333333333333,NA,8,35,NA,NA,35.213821469576,8.5628,2012-09-03
2,NA,65.9143333333333,-25.8333333333333,NA,12,5,NA,NA,35.127801546304,9.814,2012-09-03
2,1.02,65.9125,-25.834,204,1,12,NA,NA,35.130805734544,9.8269,2012-09-03
2,NA,65.9125,-25.834,NA,2,12,NA,NA,35.130805734544,9.8269,2012-09-03
2,NA,65.9125,-25.834,NA,3,12,NA,NA,35.130805734544,9.8269,2012-09-03
2,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
2,NA,65.9125,-25.834,NA,6,12,NA,NA,35.130805734544,9.8269,2012-09-03
2,NA,65.9125,-25.834,NA,7,12,NA,NA,35.130805734544,9.8269,2012-09-03
2,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
2,NA,65.9125,-25.834,NA,9,12,NA,NA,35.130805734544,9.8269,2012-09-03
2,NA,65.9125,-25.834,NA,10,12,NA,NA,35.130805734544,9.8269,2012-09-03
2,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA
2,NA,65.9125,-25.834,NA,12,12,NA,NA,35.130805734544,9.8269,2012-09-03
2,NA,67.9846666666667,-28.7458333333333,NA,9,20,NA,NA,31.094778973712,4.3374,2012-09-04
2,NA,67.9846666666667,-28.7458333333333,NA,11,5,NA,NA,31.08686794468,4.3788,2012-09-04
2,NA,67.9846666666667,-28.7458333333333,NA,12,5,NA,NA,31.08686794468,4.3788,2012-09-04
2,1.1,67.9925,-28.7616666666667,224,1,40,NA,NA,32.098478264696,-0.5453,2012-09-04
2,NA,67.9925,-28.7616666666667,NA,2,41,NA,NA,32.127418611408,-0.6159,2012-09-04
2,NA,67.9925,-28.7616666666667,NA,3,40,NA,NA,32.098478264696,-0.5453,2012-09-04
2,NA,67.9925,-28.7616666666667,NA,4,40,NA,NA,32.098478264696,-0.5453,2012-09-04
2,NA,67.9925,-28.7616666666667,NA,5,41,NA,NA,32.127418611408,-0.6159,2012-09-04
2,NA,67.9925,-28.7616666666667,NA,6,41,NA,NA,32.127418611408,-0.6159,2012-09-04
2,NA,67.9925,-28.7616666666667,NA,7,40,NA,NA,32.098478264696,-0.5453,2012-09-04
2,NA,67.9925,-28.7616666666667,NA,8,40,NA,NA,32.098478264696,-0.5453,2012-09-04
2,1.1,67.9925,-28.7616666666667,224,9,5,NA,NA,31.091674645864,4.3436,2012-09-04
2,NA,67.9925,-28.7616666666667,NA,10,5,NA,NA,31.091674645864,4.3436,2012-09-04
2,NA,67.9925,-28.7616666666667,NA,11,5,NA,NA,31.091674645864,4.3436,2012-09-04
2,NA,67.9925,-28.7616666666667,NA,12,6,NA,NA,31.091474366648,4.3442,2012-09-04
2,1.1,68.0128333333333,-28.7635,224,1,76,NA,NA,32.9534702378,-1.5817,2012-09-04
2,NA,68.0128333333333,-28.7635,NA,2,76,NA,NA,32.9534702378,-1.5817,2012-09-04
2,NA,68.0128333333333,-28.7635,NA,3,74,NA,NA,32.927834498152,-1.5682,2012-09-04
2,NA,68.0128333333333,-28.7635,NA,4,74,NA,NA,32.927834498152,-1.5682,2012-09-04
2,NA,68.0128333333333,-28.7635,NA,5,77,NA,NA,32.972596902928,-1.5865,2012-09-04
2,NA,68.0128333333333,-28.7635,NA,6,74,NA,NA,32.927834498152,-1.5682,2012-09-04
2,NA,68.0128333333333,-28.7635,NA,7,74,NA,NA,32.927834498152,-1.5682,2012-09-04
2,NA,68.0128333333333,-28.7635,NA,8,76,NA,NA,32.9534702378,-1.5817,2012-09-04
